Titre,Lien_du_titre,image,note,venueindex,catégorie,adresse,étiquette,avatar,tiptext,auteur,utilisateur_lien,utilisateur
Les Fermes de Gally,https://fr.foursquare.com/v/les-fermes-de-gally/4b927fa5f964a52070fe33e3,https://fastly.4sqi.net/img/general/600x600/212274063_gTZ-upp1PMU-yU2rCOAk6g-JsDR2eH1F3Nt9yAd3db0.jpg,8.8,1,Jardinerie,"Route de Bailly (D7), Saint-Cyr-l'École",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/NX0HBANQIGBIRM0O.jpg,"Clémence J. • Juin 2, 2011
Les fruits et légumes sont vraiment super bons et pas chers. Mais pour avoir des fraises, il faut mieux y aller tôt le matin !","Clémence J. • Juin 2, 2011",https://fr.foursquare.com/clemencj3412236,Clémence J.
Port Cergy,https://fr.foursquare.com/v/port-cergy/4b891812f964a520501c32e3,https://fastly.4sqi.net/img/general/600x600/50014161_CeuCVHPCgU9HaIgFaUymDI3BjnaEZSwlsCRP74GAZFM.jpg,8.7,2,Restaurant,"8 avenue Jean Bart, Cergy",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/37742264-ZYYWLBK5JRR1JNFU.jpg,"Bnjqmn • Mai 10, 2014
Endroit très charmant, et étonnamment dépaysant. Un petit air de vacances sur le littoral...","Bnjqmn • Mai 10, 2014",https://fr.foursquare.com/bnjqmn,Bnjqmn
La Clef,https://fr.foursquare.com/v/la-clef/4adcda1bf964a520ee3821e3,https://fastly.4sqi.net/img/general/600x600/134169482_59MWBxG2wQTJ07BzvszSi3O0_U3moEr3Ck58CLT6eh0.jpg,8.7,3,Salle de concert,"46 rue de Mareil, Saint-Germain-en-Laye",Enregistrer ,,,,,
Villa Savoye,https://fr.foursquare.com/v/villa-savoye/4adcda0af964a5206c3421e3,https://fastly.4sqi.net/img/general/600x600/25938300_odW4sPts6alvI4kf3MYZklk3sQsh8Wg1-6rUcqrVp00.jpg,8.7,4,Site historique et protégé,"82 Rue de Villiers, Poissy",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/RKTNCACEXKGC01TJ.jpg,"Etienne R. • Mai 25, 2013
Un bâtiment unique et toujours aussi futuriste (construit en 1929)","Etienne R. • Mai 25, 2013",https://fr.foursquare.com/etienner2041438,Etienne R.
Parc du Château de Saint-Germain-en-Laye,https://fr.foursquare.com/v/parc-du-ch%C3%A2teau-de-saintgermainenlaye/4adcda09f964a5201f3421e3,https://fastly.4sqi.net/img/general/600x600/450891264_rDPvEJbFJcTRHL7uDMuTOA2oBMM4kJzhXQPfAjBBdC8.jpg,8.7,5,Parc,"Place Charles de Gaulle, Saint-Germain-en-Laye",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/GX2IHTBVLWUIY4AJ.jpg,"Eric M. • Mai 6, 2014
Un espace magique que je recommande. J'ai passé de magnifiques moments d'adolescents.","Eric M. • Mai 6, 2014",https://fr.foursquare.com/ericmesseca,Eric M.
Château de Breteuil,https://fr.foursquare.com/v/ch%C3%A2teau-de-breteuil/4adcda0af964a5203d3421e3,https://fastly.4sqi.net/img/general/600x600/17534013_9bIdKfHU7FBphyFcjZkT7TLSiwhHToI1Saw7YX5Lf34.jpg,8.6,6,Château,"Allée du Château, Choisel",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/483629486_VqcbeZel_pbIDi-tz80uqhd84APanYMlr0AMP2bqk7DwBal4EUDazbOBKn0_Rtml3Q22IiqWr.jpg,"Margie B. • Décembre 31, 2018
Laissez-vous embarquer dans une balade dans la forêt en contrebas du château. Un moment de calme à partager !","Margie B. • Décembre 31, 2018",https://fr.foursquare.com/margieb3915314,Margie B.
Daisy Cake,https://fr.foursquare.com/v/daisy-cake/4edf9a8e991168b109fa4ff7,https://fastly.4sqi.net/img/general/600x600/gDklX8rurbf3hbu1EvtVViZOHFZPTYEtP0uwtq7GNLc.jpg,8.6,7,Cupcakes,"4 rue de la Procession, Saint-Germain-en-Laye",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/2LHEUL55G2LHGFL5.jpg,"Sabrina • Septembre 2, 2012
Les cupcakes sont excellent !!!!","Sabrina • Septembre 2, 2012",https://fr.foursquare.com/queeniie,Sabrina
La Taverne des Rois,https://fr.foursquare.com/v/la-taverne-des-rois/5738686c498ed8ebd68f6225,https://fastly.4sqi.net/img/general/600x600/10219588_UT8A6AtzonNBS85T6ltGdZim-JxvjQIn0elCg2GcKrA.jpg,8.6,8,Restaurant,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/167007909-MZFWPYQLWXWPJMWE.jpg,"Ayan I. • Août 30, 2017
Very tasty food, great and cosy atmosphere and delicious wine!","Ayan I. • Août 30, 2017",https://fr.foursquare.com/ayani3498004,Ayan I.
Château d'Écouen – Musée de la Renaissance,https://fr.foursquare.com/v/ch%C3%A2teau-d%C3%A9couen--mus%C3%A9e-de-la-renaissance/4adcda10f964a520ba3521e3,https://fastly.4sqi.net/img/general/600x600/3381234_cHzdYTX6hVe4vCJ_P903CHEbh3E50FBpGoFwHrzeTxw.jpg,8.5,9,Château,"Château d'Écouen, Écouen",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/66379638_KVA65t2O_K-kZkiy--mR9ZRc_SXNGaM01eRnZ2KFgeZQOK5IUhZCKIYL5-21bWWvZXCOK1tax.jpg,"Ryadh B. • Août 21, 2014
Très beau cadre visiter un château et un musée en même temps ça vaut le coup si vous êtes de passage dans le coin. Essayez le restaurant aussi il est pas mal ou bien un café sur la magnifique terrasse","Ryadh B. • Août 21, 2014",https://fr.foursquare.com/ryadhb5706356,Ryadh B.
Château de Rambouillet,https://fr.foursquare.com/v/ch%C3%A2teau-de-rambouillet/4be6c8fb8a8cb7131f83c4a0,https://fastly.4sqi.net/img/general/600x600/3381234_WgiRNVd8_3MOSWFU_Wd4SIWfdzPYL9MJAF5eniIZalA.jpg,8.5,10,Château,"Rue de la Motte, Rambouillet",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/144054538-MMIZORFB5IHS3V51.jpg,"Marine Adélie D. • Octobre 27, 2015
Promenade dans le parc du château et son joli jardin. Endroit reposant","Marine Adélie D. • Octobre 27, 2015",https://fr.foursquare.com/marinead6400091,Marine Adélie D.
La Ferme de Voisins,https://fr.foursquare.com/v/la-ferme-de-voisins/4e52a7dbaeb7560ca4b001bc,https://fastly.4sqi.net/img/general/600x600/502469247_I5L653zRRDajSZ9kiPWHo_5Q-uG_8WZyrEcC3M_8D5s.jpg,8.5,11,Restaurant,"4 rue de Port Royal, Voisins-le-Bretonneux",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/93851696-2DJEVM0MVNL3QDZP.jpg,"Ernesto • Avril 7, 2017
Tres bon restaurant avec un bon service et une cuisine savoureuse","Ernesto • Avril 7, 2017",https://fr.foursquare.com/ernesto3257858,Ernesto
Abbaye des Vaux-de-Cernay,https://fr.foursquare.com/v/abbaye-des-vauxdecernay/4b8fc24ef964a520b86033e3,https://fastly.4sqi.net/img/general/600x600/489151_WO4Y7bjNE09DLwUoSmMpq36FcdDdM-kOW9e3I_FqHtA.jpg,8.5,12,Site historique et protégé,"Route d'Auffargis (D24), Cernay-la-Ville",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/I1DVPNFZBEMVI5DY.jpg,"Nicolas B. • Août 6, 2010
Le brunch du dimanche au bord du lac ""une tuerie"" par beau temps bien sûr","Nicolas B. • Août 6, 2010",https://fr.foursquare.com/nbosma,Nicolas B.
The Bitter End,https://fr.foursquare.com/v/the-bitter-end/4b9a9973f964a52026c535e3,https://fastly.4sqi.net/img/general/600x600/229943_v52DhzTh6JnFcHX4hI0N5NmZR-qSXLHgivDMIjEXIqQ.jpg,8.5,13,Pub,"20 r St Pierre, Saint-Germain-en-Laye",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/FP2ENYSHMTVIQ2F5.jpg,"Simon J. • Août 19, 2013
Ambiance au top pour ce lieu qui est devenu ma cantine, mention spéciale pour les bières Becks, les cheesecakes maison et le super Fish and ships extra frais !","Simon J. • Août 19, 2013",https://fr.foursquare.com/janvier005,Simon J.
Place du Marché Neuf,https://fr.foursquare.com/v/place-du-march%C3%A9-neuf/4e4167c27d8be0ba11c58bd6,https://fastly.4sqi.net/img/general/600x600/229943_ePJhVxg9y_TBaOpNhQDp_kYkl5CzmHSwC9iysJ6P34M.jpg,8.4,14,Place,"Place du Marché Neuf, Saint-Germain-en-Laye",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/blank_boy.png,"Olivier P. • Avril 14, 2019
Les marchés le mardi, vendredi et dimanche sont un régal","Olivier P. • Avril 14, 2019",https://fr.foursquare.com/olivierp9452913,Olivier P.
Parc du Patis,https://fr.foursquare.com/v/parc-du-patis/4c442b41429a0f474650481e,https://fastly.4sqi.net/img/general/600x600/57934256__2CD-hJYGx9kzjJPxoAKqzUF_rbPV8GmptIeZ-bKrMQ.jpg,8.4,15,Belvédère / Panorama,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/3WNCLCYQPJYORX5U.jpg,"Cécile A. • Février 6, 2011
Joli, agréable, vaste et pleins d'animaux ! L'endroit idéal pour balader son chien :o)","Cécile A. • Février 6, 2011",https://fr.foursquare.com/cecilea1777971,Cécile A.
Boulangerie Laird,https://fr.foursquare.com/v/boulangerie-laird/5867be458f0be4617e814bdb,https://ss3.4sqi.net/img/categories_v2/food/bakery_512.png,8.4,16,Boulangerie,"5 Pl. de l'Europe, Bailly-Romainvilliers",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/MYW4QOY2O2VST5VG.jpg,"Caroline G. • Janvier 9, 2017
Leurs croissants au beurre...","Caroline G. • Janvier 9, 2017",https://fr.foursquare.com/caroling7674190,Caroline G.
Châteauform’ Château de Rochefort,https://fr.foursquare.com/v/ch%C3%A2teauform-ch%C3%A2teau-de-rochefort/4c2af59cd1a10f47863ef764,https://fastly.4sqi.net/img/general/600x600/24116355_sg4v0LugafGI4p-rQUgVIJj5b3vlJ7t92Yw7Ya-aMgs.jpg,8.4,17,Château,"1 route de la Bâte, Rochefort-en-Yvelines",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/1AWAI3BV2D0HBBPH.jpg,"Serge d. • Juin 14, 2013
Endroit trop grand. Tres agreable dans le concept.","Serge d. • Juin 14, 2013",https://fr.foursquare.com/serged7078908,Serge d.
Chi Fan,https://fr.foursquare.com/v/chi-fan/4d96ff8a0caaa143d2f385b3,https://fastly.4sqi.net/img/general/600x600/8492500_3njRakPjrL5a7jDYpCq3SCJrOOsYZVgWanjS0FhDB-w.jpg,8.4,18,Asiatique,"2 place de la Libération, Montfort-l'Amaury",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/0BKRBILYQEOLJWZR.jpg,"Mathias V. • Août 31, 2014
La soupe nouille bœuf est à tomber! Meilleur restaurant de Montfort, voir même de la région!","Mathias V. • Août 31, 2014",https://fr.foursquare.com/mathiassssss,Mathias V.
Le Moulin Jaune,https://fr.foursquare.com/v/le-moulin-jaune/55ad678c498ee984181acd9c,https://fastly.4sqi.net/img/general/600x600/79285698_bTjbSpRQaNgwR8iigTUsny7T8cw6BHASebR45krwkbQ.jpg,8.4,19,Sculpture extérieure,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/414726_p7mzqe25_3zKQMx7bBLEGkhXTawW4qjWGlCKs5yTo00REuUUigyai7yySlzZ-WBMGFFg-vu6P,"François V. • Octobre 4, 2015
Très beau jardin bohème :)","François V. • Octobre 4, 2015",https://fr.foursquare.com/francoisverron,François V.
Block Out,https://fr.foursquare.com/v/block-out/4c25abd9905a0f47dd016260,https://ss3.4sqi.net/img/categories_v2/building/gym_512.png,8.3,20,Salle de sport,"Parc des Beaux Soleil, Val-d'Oise",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/UUJOFEBOHX40GYBF.jpg,"Audrey A. • Décembre 14, 2013
Que ce soit pour grimper ou manger, l'ambiance est très sympa !","Audrey A. • Décembre 14, 2013",https://fr.foursquare.com/audreya7866783,Audrey A.
Le Grand Cercle,https://fr.foursquare.com/v/le-grand-cercle/4d3589976c7c721e91b0cb56,https://fastly.4sqi.net/img/general/600x600/75315614_tWtWdyRYnoymvGqnZNZ8g6iu4Iz_PiVuuwei7aE9vLw.jpg,8.3,21,Magasin d'arts plastiques,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/JEHL1SAPZHLI2YUW.jpg,"Samuel LoÏc M. • Juin 11, 2012
j'aime un lieu qui laisse place a la créativité hihihhihihhihhihhi","Samuel LoÏc M. • Juin 11, 2012",https://fr.foursquare.com/samuellm1978348,Samuel LoÏc M.
Gontran Cherrier,https://fr.foursquare.com/v/gontran-cherrier/50efe25ee4b08420e0cef436,https://fastly.4sqi.net/img/general/600x600/1265159_UMnSG9gZ-pTC-RwM1fzCqdepgHJrFO6Iy4c8hsNJG4c.jpg,8.3,22,Boulangerie,"3 rue Grande Fontaine, Saint-Germain-en-Laye",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/104935350-WMEY5EWH2LR53GNX.jpg,"Damien • Novembre 18, 2017
Les viennoiseries et les pâtisseries sont délicieuses. Idéal pour ramener des croissants ou pain en chocolat chez soi.","Damien • Novembre 18, 2017",https://fr.foursquare.com/damienlehericy,Damien
