Titre,Lien_du_titre,image,note,venueindex,champ,champ1,catégorie,adresse,étiquette,avatar,auteur,utilisateur
"Pierre B. • Novembre 8, 2014
Fontaine au centre d'une très belle place.",https://fr.foursquare.com/pierre_besses,https://fastly.4sqi.net/img/general/600x600/38900324_eIGK5Gs_pVu8pDCBPBfC1yDgpOjc57Yzu94Ic5KFQVU.jpg,9.6,1,https://fr.foursquare.com/v/fontana-dei-quattro-fiumi/4adcdac9f964a520055421e3,Fontaine des Quatre-Fleuves,Fontaine,"Piazza Navona, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/43571501-J0F10BMRJ2PHVNFB.jpg,"Pierre B. • Novembre 8, 2014",Pierre B.
"Jas • Novembre 18, 2014
Un vrai chef-d'œuvre architectural: c'est la plus grande coupole de toute l'Antiquité, une énorme pièce de béton parfaitement sphérique posée sur les colonnes.",https://fr.foursquare.com/jas6088485,https://fastly.4sqi.net/img/general/600x600/53963489_ol-taSCOvmmAYhesGVtZlxsFWqtZB5_kU3_iFD7s45M.jpg,9.5,2,https://fr.foursquare.com/v/pantheon/4adcdac6f964a5202f5321e3,Panthéon,Monument,"Piazza della Rotonda (Via Palombella), Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/5UMHA1RLEW5SUXWY.jpg,"Jas • Novembre 18, 2014",Jas
"Naz C. • Mars 20, 2016
no words to describe! 😱😱😱 its massive, so much detail, amazing architecture & art 👌🏼👌🏼👌🏼",https://fr.foursquare.com/nazc1718785,https://fastly.4sqi.net/img/general/600x600/8582949_O7sFgj_DyysZeNBOVNwbWSOwlSQ9YBblUq6Vw87SKV0.jpg,9.5,3,https://fr.foursquare.com/v/cupola-di-san-pietro/5043382de4b072dc96b3796d,Cupola di San Pietro,Belvédère / Panorama,"Piazza San Pietro, Vatican",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/122396272-OBCYDGWBFSRTYZBS.jpg,"Naz C. • Mars 20, 2016",Naz C.
"Neriman K. • Il y a 1 semaine
En güzel manzaraları görebileceğiniz bir yer. Eğer roma forumundaysanız burayı görmeden terasta bir fotoğraf çektirmeden gitmeyin.",https://fr.foursquare.com/nerimank1306519,https://fastly.4sqi.net/img/general/600x600/461541487_fRF4C_k-LB5g3aWM-rvIl4sjUKMvO2uRMD4qBoR35n4.jpg,9.5,4,https://fr.foursquare.com/v/farnese-gardens/50801134e4b01136c1c5a38c,Jardins Farnese,Jardin,Rome,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/67074300_4yAFJ-3k_5TuiJt4G-Ld6qym9x5uyLnnmL1_-qh7N7Ju45cwx6D7ewK1dj4RjYeDJPvXcCpeK.jpg,Neriman K. • Il y a 1 semaine,Neriman K.
"Pierre B. • Novembre 8, 2014
Au centre de la place Saint-Pierre, l'obélisque a été ramenée par Caligula.",https://fr.foursquare.com/pierre_besses,https://fastly.4sqi.net/img/general/600x600/17431090_-SOcpO6T877r1oNsn1ykVT5gGec2bnN1vwZ257KuYyk.jpg,9.5,5,https://fr.foursquare.com/v/obelisco-vaticano/4adcdac8f964a520c85321e3,Obélisque du Vatican,Monument,"Piazza San Pietro, Vatican",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/43571501-J0F10BMRJ2PHVNFB.jpg,"Pierre B. • Novembre 8, 2014",Pierre B.
"Pierre B. • Novembre 8, 2014
Sûrement l'une des plus belle églises au monde, il faut absolument y pénétrer. L'incroyable file d'attente va très vite.",https://fr.foursquare.com/pierre_besses,https://fastly.4sqi.net/img/general/600x600/3387461_boYfrPPYM5iogVvkusWHwoU1qap3pkLnneYKNSJjsvk.jpg,9.5,6,https://fr.foursquare.com/v/basilica-di-san-pietro/4adcdac6f964a520105321e3,Basilique Saint-Pierre du Vatican,Église,"Piazza San Pietro, Vatican",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/43571501-J0F10BMRJ2PHVNFB.jpg,"Pierre B. • Novembre 8, 2014",Pierre B.
"Samia A. • Juin 24, 2018
Magnifique cathédrale. Vaut le détour.",https://fr.foursquare.com/samiaa3370565,https://fastly.4sqi.net/img/general/600x600/7285702_C_9VCOivl_1Nyk0wmjHU0A9C9M6ANWJYNXcxu0jTkkE.jpg,9.5,7,https://fr.foursquare.com/v/basilica-di-santa-maria-maggiore/4c1df65ffcf8c9b6fb8bac0b,Basilica di Santa Maria Maggiore,Église,"Piazza di Santa Maria Maggiore, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/blank_girl.png,"Samia A. • Juin 24, 2018",Samia A.
"Pierre B. • Novembre 9, 2014
Au centre de la place del popolo, cette obélisque est très belle.",https://fr.foursquare.com/pierre_besses,https://fastly.4sqi.net/img/general/600x600/13509331_j7gk-FJAxv91QQ45htBEz-J8AeDAw6rtOQFmLs6-fjo.jpg,9.5,8,https://fr.foursquare.com/v/obelisco-flaminio/4e9474c2775b564ca3221e61,Obelisco Flaminio,Monument,"Piazza del Popolo, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/43571501-J0F10BMRJ2PHVNFB.jpg,"Pierre B. • Novembre 9, 2014",Pierre B.
"Pierre B. • Novembre 10, 2014
Place incontournable de Rome, pour sa situation par rapport aux monuments.",https://fr.foursquare.com/pierre_besses,https://fastly.4sqi.net/img/general/600x600/1835023_mYm-83PTbD0x2tdfbmbaXtPYNT6mzhZE-vR79DMtuGI.jpg,9.4,9,https://fr.foursquare.com/v/piazza-venezia/4adcdac6f964a520465321e3,Piazza Venezia,Place,"Piazza Venezia, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/43571501-J0F10BMRJ2PHVNFB.jpg,"Pierre B. • Novembre 10, 2014",Pierre B.
"Patrick P. • Août 1, 2018
For me the best ice cream in Rome, definitely try the Apricot flavour.",https://fr.foursquare.com/patrickp1963059,https://fastly.4sqi.net/img/general/600x600/39031655_xkevqj-3mlyCguayQ8Um4r_XfGhQOnsMIV6Vwo3FiR4.jpg,9.4,10,https://fr.foursquare.com/v/la-romana/55859646498ee5701031b5c7,La Romana,Glace,"Via Cola Di Rienzo, 2, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/499225919_cKacLyLY_3-PQH-tfksT4NK-Y6o6V_39VvjtNGCoCOxc9erpqSaDgECZcrnTqZiLpsSMe-3xL,"Patrick P. • Août 1, 2018",Patrick P.
