Titre,image,note,venueindex,champ,champ1,catégorie,prix,étiquette,avatar,tiptext,auteur,utilisateur_lien,utilisateur
"Monteliusvägen, Stockholm",https://fastly.4sqi.net/img/general/600x600/59081018_zAlXzAe5z1_ctBXn5MKy_wqv4rDbmR_1wkgO6C0bRLo.jpg,9.5,1,https://fr.foursquare.com/v/monteliusv%C3%A4gen/4f2808fae4b03421b8718ae3,Monteliusvägen,Chemin,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/95050916-FLMJH1VK1SIOU0UL.jpg,"Chocolover • Janvier 31, 2016
Amazing view! Prefer to go at night!","Chocolover • Janvier 31, 2016",https://fr.foursquare.com/chocolov5626352,Chocolover
"Bergsunds Strand 51, Stockholm",https://fastly.4sqi.net/img/general/600x600/91124_U_H54zbrD84WEc82h0W0W5DBtNS_BVIEuCrFNl5vwQs.jpg,9.4,2,https://fr.foursquare.com/v/shaka-shaka-pok%C3%A9bar/58c3f7529ab6636a0996e71c,Shaka Shaka Pokébar,Restaurant de poké bowls,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/87390307_Ls0F4z1a_ld4OCpJAA-yXEbsFiOlG6IWVPd6MUomKfzISlzKkeopI_r94uUqUnin3KzaApiYD.jpg,"Joao F. • Juillet 27, 2018
Portions are plenty and delicious! Wasabi sauce 👌🏼","Joao F. • Juillet 27, 2018",https://fr.foursquare.com/joaof2196907,Joao F.
"Rörstrandsgatan 12, Stockholm",https://fastly.4sqi.net/img/general/600x600/89183527_EYubfGt6FqnjHgdTM06gujI-rei61HyAkbHgYC5Q9TI.jpg,9.4,3,https://fr.foursquare.com/v/lillebrors-bageri/584adf7a0319b8761c0de9d4,Lillebrors Bageri,Boulangerie,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/351593924-15ZGKMFMNUKBUP45.jpg,"Tilda L. • Février 3, 2018
The freshly baked croissants on weekend mornings are probably the best in town.","Tilda L. • Février 3, 2018",https://fr.foursquare.com/tildal8550652,Tilda L.
"Stadsgårdshamnen 22, Stockholm",https://fastly.4sqi.net/img/general/600x600/8011935_OlMdlJILFkFoCdPiqW6_Rb4KmLjDSkA8FUzsCD68vMc.jpg,9.4,4,https://fr.foursquare.com/v/fotografiska/4bf57390706e20a1067daa98,Fotografiska,Musée d'art,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/426632423_l9Tg8W20_Qo5eZeIt6IAkrgYKAN2Sa-KKG1Rbgymsm7TBYh_u79OivJfCOSCErQbYIA0-_o9u.jpg,"Olivia D. • Juillet 16, 2017
Genial! Meilleure activité faire à Stockholm. Une superbe collection. Des expositions temporaires impressionnants. À faire avec de la musique dans les oreilles, au rythme qui vous plaira. Coup de cœur","Olivia D. • Juillet 16, 2017",https://fr.foursquare.com/oliviad1010131,Olivia D.
"Västerlånggatan 48 (Gamla Stan), Stockholm",https://fastly.4sqi.net/img/general/600x600/38238981_sgHEO6DTK_IbbB20aZI2ZymScMXV-L3hZ0QGCi809bk.jpg,9.4,5,https://fr.foursquare.com/v/science-fiction-bokhandeln/4b06fe89f964a520fef422e3,Science Fiction Bokhandeln,Librairie,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/582847_08VSx-EC__-L5gA-jQXgewD4IYlyT0VJb52CexzijJoH1mgYrJQ6COIzEN4P-SD2vLA1cyFvL.jpg,"Dinesh B. • Octobre 29, 2018
books and board games and memorabilia galore! the best.","Dinesh B. • Octobre 29, 2018",https://fr.foursquare.com/consoleme,Dinesh B.
Nacka,https://fastly.4sqi.net/img/general/600x600/24658657_8sXy8IH56IH1v1M6sAH9_52UZrw54JbeZZiyk50Kqp0.jpg,9.3,6,https://fr.foursquare.com/v/nackareservatet/4d1f0fd25c4ca1cdab96963d,Nackareservatet,Réserve,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/blank_boy.png,"Freddy S. • Avril 2, 2019
The nature is wonderful, for nice walks, relaxing with fishing","Freddy S. • Avril 2, 2019",https://fr.foursquare.com/freddys2109850,Freddy S.
"Västmannagatan 69, Stockholm",https://fastly.4sqi.net/img/general/600x600/24658657_FtwdFgm2244b0Gmrxx1JeS3a-vpx3w-wLoR0SewX3ks.jpg,9.3,7,https://fr.foursquare.com/v/lilla-ego/5237249a11d239c3d043753e,Lilla Ego,Scandinave,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/DHGXKOTVASWFB4VK.jpg,"Sanna W. • Mars 20, 2015
Fab Horse tartar and amazing variation of carrot with ""brottarkorv"". Large portions, order and share!","Sanna W. • Mars 20, 2015",https://fr.foursquare.com/sannaw5522235,Sanna W.
"Norrtullsgatan 4 (Sandåsgatan), Stockholm",https://fastly.4sqi.net/img/general/600x600/47920209_N7DHnC93cXZMOU_vsCWmo-CmQPJW8WQoZWTToBMFW_Y.jpg,9.3,8,https://fr.foursquare.com/v/caf%C3%A9-pascal/53062212498e13c3403aac70,Café Pascal,Café,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/70358180_t7je5f5Y_O6aQFCR_7SYXepKyMAlfmlkKy3Bt9A6gGKs_3EqaszdKsYmsr6xUNNNEJan-xZ9z.jpg,"Niklas E. • Janvier 12, 2016
Great veggie sallad if you like lots of creamy mozzarella.","Niklas E. • Janvier 12, 2016",https://fr.foursquare.com/ekniklas,Niklas E.
"Swedenborgsgatan 7 (Maria Prästgårdsgata), Stockholm",https://fastly.4sqi.net/img/general/600x600/17487122_etJfLjPQrT93_a0mcQTgE-vGALOsZB2xogPCC0tIu3Y.jpg,9.3,9,https://fr.foursquare.com/v/johan--nystr%C3%B6m/4b025696f964a520614822e3,Johan & Nyström,Coffee Shop,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/12808646-SKMBYEBBER3UAV2M.jpg,"Warren • Octobre 23, 2016
Très bon cafés","Warren • Octobre 23, 2016",https://fr.foursquare.com/wrnblvc,Warren
"Skånegatan 76, Stockholm",https://fastly.4sqi.net/img/general/600x600/508131537_S5-HWD2AuvpBMn2oCM9MomUZlXzBbMmbTVgF7_vr_uY.jpg,9.3,10,https://fr.foursquare.com/v/caf%C3%A9-pascal/5aad22a00e5da802a686cf1b,Café Pascal,Coffee Shop,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/450960665_knlXZp7Y_6XBmloRVIJtWOmxmoXgeXpN4HfuWRjIapLRcxDcHnvtDZNtq9QA5mQyf9SoYZufx.jpg,"Tim L. • Novembre 5, 2019
Cosy little place! Super friendly staff. Best hot chocolate, good cappuccino, very good fresh bakery. Definitely worth a visit when nearby.","Tim L. • Novembre 5, 2019",https://fr.foursquare.com/timl9840882,Tim L.
