Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Studio Standard,https://cf.bstatic.com/xdata/images/hotel/square600/502747411.webp?k=aba3989edf940a53d139dedf3de27568639c8789aa8a66282b92498ceab18305&o=,Black House Otel,https://www.booking.com/hotel/tr/black-house-otel.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928303&all_sr_blocks=1099168201_382780243_2_0_0&highlighted_blocks=1099168201_382780243_2_0_0&matching_block_id=1099168201_382780243_2_0_0&sr_pri_blocks=1099168201_382780243_2_0_0__3200&from=searchresults&map=1,Ankara,"2,2 km du centre",,,1 lit double,Plus que 2 à ce prix sur notre site,"1 nuit, 1 adulte",Taxes et frais compris,Taxes et frais compris,Studio entier • 1 salle de bains • 30m²,€ 32
Chambre Deluxe - Vue sur Ville,https://cf.bstatic.com/xdata/images/hotel/square600/426615635.webp?k=d52c9edb1c4e21b14a499b28c8aebd87357b8dc8379d4eff5950f9d77ddb9540&o=,JW Marriott Hotel Ankara,https://www.booking.com/hotel/tr/jw-marriott-ankara.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928303&all_sr_blocks=29733301_246444481_1_2_0&highlighted_blocks=29733301_246444481_1_2_0&matching_block_id=29733301_246444481_1_2_0&sr_pri_blocks=29733301_246444481_1_2_0__41633&nad_id=bb64d590-f865-4df9-9d40-7c4b85cf186b_0&nad_cpc=0.45&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IjZTNGRwdS9xTEd5bzVXcXkrbVJDUnRNZjlPNXAycHZ5ODUva3JtSEtUTXZBa0lFcm9iRmQrZUY3QTZSM2gxdUQxU3NkYXEvNGR0T0NZdEhOb21EZ3B1R3dBK0M0NU1EV0J2eFAxcjBYQjBpUGl1VXJUcHdkMnRDWisyNFdMdyticUU1TDNsYlRKUlQrbVhzUWQrQ0Yrcm0xeFhWTjc5dll2aStPa2Y4a0haU2lVL0hRaFZvRTgyWXY4MzZ3VmVtSG44aUFubHhXL2VkakpyU0JyTlNhRzBodG9Mclhzamt6a1NkWWhiT1JsWERtUkFlSjg0WkM4U0ROL0ExVlk1cTYxUHFpVmVNT0RkdHcwZFIvRC92cFlxMFhJYkZZcngreG5XZzlqN2tPQVByZFhiMFhYckp4SWhCOEsxRkFibERvbURqenVrbVN5ckpKNXJvRlNHdHdYOGlRMkZhRFRXdkNRK1ZGUkk2c0paSm9DamtyRGlsdDFlN3VSaGVsc1owQk9tN0U2RHBwT3lwNld4Vkt6M1Vqa2h0Vm14NXkyNkZYTjQ4WEdDYnFGYko2clRFR1NJQzA2MTI1dHd5YTZ2bzRMY1hVRk5iWlZRL3dUQmpJaFNVTDlnc3h1YVU3NVA3akxXNXNneXY3bjZPWGpMTFF6dmJudUhFR1FUSXRidWNhQ0RBMTZxWmRGTk5PdndzMjFjSFNjR3htN3R6RjZKUDRaUXNCeWRjamFvZXdlOXl2TFpvR25reGU0Q1JzWHFjYlBBU0xvYzA4SjFlQlo5SkpOb1FSUkxlamtkYTA1UUJRWEdzQUIzckI4K1dWeVpNSkt5L3ZKRm5US2tlTGl1TUFyVmc4UVR1TUtPelRSUVVXdHdwZEhaTHhXRFd6VUF0Rk5mYkhzSXFGODkydlJrOC8rRkFoV1R3OEx5dDNxdmcrTWw2bVhETTl6R3ZOY2ZWNExGbEhHSXp0d21kdVQ0ZGkycEp3eSs0dEZCQnRvbzh2cStTRWdtQ0lEMXZVMlg5TllEVm1XMjFoVXRhRHRqYTZqanNLZDU1MzA4NHZEcWdGMmpOaU9tejdubktpeHp3cmpVczArQVNmVVI3S0g0bkhRRVlndmQxdlM2ckNybE1UQnlLWHQyNWprRStza243c2x1NHp4UlBsK04rS08xNGd5bUU4NlFNMHdRbWNCYWRtL09OQnZlYVVma1BDWHU4TnNlczZxZXM1WWFZVGhUdC80RHZ0VDZsKzIrN3ZGbXc2ajRaSFkxdnJkWDExVjREWjlIdUVycE9zRFJiN2JVNkVTZnBoeGpRZGl3TEpCQ2hBWWFjTXVlYThPRDhVdDlGSFZtSDJINExSQ3AycjZzR0VjZWpxQUphdVhwSmMzK1hWN3JuTVlZZTl3OW55eW9iS011L09HdStqd3llV0M1dzJQcm1xMXRwekJITzNZVVRkVU9RdVZCUlBTYU9BVVVWM2NJZkRUU21idXdORStJV1RORkEzazRHaHBjL0h5OWRoWDEzUlMrTmFoSllaZThhaDJ2WUYyYjNCTXN1K0dKY3VvQXBzQTE3TlB2UXRJdjNta0lkVVZqbkFzSm9WL0w0c3pOL2N6Y21VM1ZsL1hMVEdFYWNQdDg5ZElzbUdTNFJpZm5PeVhSYWxwc3R2Q2pKUGJocy8yQ1ZBTEJlZ0NhdjlkZWY0WGdLR1pUZnM3UmJ4M3NIMC95M2N3NVRjRGI0T3EvSHdIbXFhbjZjMWdIek5LcGlNR1pCcnBHY3F0RXpjeHgzQld0OVFXSE54K2EwUFZLUGpSMWduWVNNZHpZZElScnRORkFTWjNnVGpHRVZ5NDYzdHVabGhidkdPVVluUU12dmpLWERoY2txcVFaU21taGhCR3dYOWlydTNrWloxa3dqRHY3WTVsOC8wL3ZpemJrOXI5ZStPai9XcEF5STJvK0plV1cwRTVFZm15M3JZcnJKeUFDRFhwSlhrbTl2UjRGR29COUl1R1NLam5zMEM4NnVlb0dGeXJvR3QyQlN3Wk9ITVNINWQ1ZXVySlM4YmJtem9qZWVTeFQ4Y3RjdWg2WWxnQmZDalJzV3lhcW1vM0VnbkI4a3VYcjhHb0lkZml6THpBNjZNTTIwejFqQUUzMTYwdmQyTUgzOG5SS2RkWXFmdmsvbkg1OVRnZDNHaUlORTBMOCt4dEZSWmR5WXBjVFJ5SlU3Y2tGT2Vwc1lIK1JjNnlaeVVpWTFSakRDWDV6YVo2KytDb1owVEwzU1p4Nzlsc3Y3NHlPak5XRDJuOGVFVkYrdW8waUxqdXRMUHhjRmtuTnRWZjFMN2NrbXFTN2twSmUrK2IvRzBTaHFOTGtkQmNxd2hqWUI5NUZ3ZmwvYU1meSsxdnBwTXlWSmdnMXBhSkhCcytDZ1ZDc1RTOFViNERVaFluNnRMc1NCOEd6V3pLZS9TKzRadUtzSCtGRDdqM3ZHcXdzM09jR3ZEWUxWa0NiaFhDL3RRcXh4V05uNFEzV0UvZXBjK3NRdnIxOVNxRGJKZElEUEg1ODEvTi9vdElyemxpUWE5N0NZNEdXTkFjdWpUd0ZQRTdEVmRCU2dVZUNaam1DaHBHdFpoajNoSGtvSFRnYm1ISTlWQ29VdmFsUXdITUJYSnQvbmRndzc2VU9YTzdLL3FaZk5YblUrc0hIS1ZPMnVOcTZtZzRhRU9BNjFDVHRGdXFBS2ZzU083Nzc4eDBzNmY0TCtQc2IzY1NjRVFweitHZkQ4RXZZdkgzb3U4TU9BMnpnRmdoWHZIUUZsa3U2VENOSFFTbkNPUlUvVFJmRG9BWnVVVXJyVGNnQUx3RjJQU3RnYzdtY3hVRHRtTFQ2WmtwZ0J4YUE4TWQ1RXNFRDNSTnd6RnFyRE54eU5aYi90VmYvNzM3Mkw5eTRuNFF0UHV2R1hlWWxEc3cwVmxvQmlSYTlreXNuOE1aUTYvaEFqMHhsWHhBMFJrSWJFYlVGSzVmcGQ3ZXpWbmE1a0tMVWxQeXZ2ZmJnak9hbWdGUFpiZWhBTGo3akVvSE9Kcy9ZZ0tsdjZYMy9NN2xiT3IwVTliYjF3dlRzcGZiNlBGSVhQd3BETi9Vd2RkTjYzS0ppNExBLy84S2tIUTV2ZHRVSDJuM3daK0x3TnU4TzVYVEFINDBzdzNGSlNrc0ZQZE1WQUYxdStHRklycmFkOVVQTFEwd2c5M1lsT3Vra0wwSkNieHFPRngwZkxwVWlSenhsNVhZbmU0QlJnK3RBZmdld0FCUktsTmpoTFdJUVJFOU1BSUdHeVdVdlZOTEk3b2EzVjg1d3k5M3ViQmpkWmhWNXplM3NYUlNlY3VtWkpMdVlHcnMxS1FtVUVab0lISXlyU0tVWTFONUZGQlowZmc5ZWY1Z0kyMnFoam1aOEljVHc5OTF0WFdwQ0lXWkpPT0lRZGRYWnRIQUhnazBFc2crL1VFa1hlcmNGcGtCV0p6Wkc2ZkdCY0IzbzJDLzlFTy80QTF2K0UydCt5dDFzR1IrSUQ2R0F2dFJ4eUFSZ2E4ME5tVERnV21GRkgwMGgyekpISW9XRlhwUktQb3FSMzNrcjB4ckRNbTI4ZDdadmdpbld1NUxmVjRiZjFkM1lKZjFoTTZXT0pINXNYcktOeWZYWHM5UkUvWVVTSWpXa3BUaVM4anJkUnQwelhJNUd5WXplNmJVREpFaFlhRUVnS0IvcUhkN2lsS1RWSGMvSmFlbTFabUQ0T09yWXlrN2pJUFk3cldNUjU4bnpBblplVHVVV25oMUZZcnpUVjFPSkowcWdoUjlBK0MyQy94cnc9PSJ9&from_sustainable_property_sr=1&from=searchresults&map=1,"Sogutozu, Ankara","3,9 km du centre","8,4",Très bien ,1 grand lit double,Plus que 5 hébergements à ce prix sur notre site,62 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 416
Suite Exécutive,https://cf.bstatic.com/xdata/images/hotel/square600/261100905.webp?k=5797da4dbcfea46223b0468375d5b632573bd58961a40ee6bc3862303cc749ae&o=,Ilci Residence Hotel,https://www.booking.com/hotel/tr/ilci-residence.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928303&all_sr_blocks=18704707_195407837_1_1_0&highlighted_blocks=18704707_195407837_1_1_0&matching_block_id=18704707_195407837_1_1_0&sr_pri_blocks=18704707_195407837_1_1_0__20900&from=searchresults&map=1,"Maltepe, Ankara","2,4 km du centre","8,5",Très bien ,1 lit double,Plus que 1 à ce prix sur notre site,150 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 209
Chambre Standard avec 1 Lit Double,https://cf.bstatic.com/xdata/images/hotel/square600/421610712.webp?k=1875ea31f7ae6f30348b8f52b3165434523bf242f880cd5e8de22f18aae292d2&o=,ibis Ankara Airport Hotel,https://www.booking.com/hotel/tr/ibis-ankara-airport.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928303&all_sr_blocks=91021902_93772134_2_34_0&highlighted_blocks=91021902_93772134_2_34_0&matching_block_id=91021902_93772134_2_34_0&sr_pri_blocks=91021902_93772134_2_34_0__6597&from_sustainable_property_sr=1&from=searchresults&map=1,Ankara,"23,4 km du centre","8,0",Très bien ,1 très grand lit double,,1 070 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 66
Chambre Lit Queen-Size Standard - Fumeurs,https://cf.bstatic.com/xdata/images/hotel/square600/447176791.webp?k=7f28d9c2e16c0105c18efbc5c2c67fc3e9db9247eda8b81b68ea605dd85e8fe6&o=,"Holiday Inn Express - Ankara - Airport, an IHG Hotel",https://www.booking.com/hotel/tr/holiday-inn-express-ankara-airport-an-ihg.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928303&all_sr_blocks=907547802_361897647_1_1_0&highlighted_blocks=907547802_361897647_1_1_0&matching_block_id=907547802_361897647_1_1_0&sr_pri_blocks=907547802_361897647_1_1_0__7315&from_sustainable_property_sr=1&from=searchresults&map=1,Ankara,"20,8 km du centre","8,9",Superbe ,1 grand lit double,,194 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 73
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square600/474865490.webp?k=f2190648a8e5585d13f1675af4fd105fa33d2a2f1a9d8fa6673896f23b09ea3f&o=,Dab Hotel Ulus,https://www.booking.com/hotel/tr/dab-ulus.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928303&all_sr_blocks=1038492604_376344390_1_1_0&highlighted_blocks=1038492604_376344390_1_1_0&matching_block_id=1038492604_376344390_1_1_0&sr_pri_blocks=1038492604_376344390_1_1_0__4050&from_sustainable_property_sr=1&from=searchresults&map=1,"Ulus, Ankara","3,5 km du centre","8,9",Superbe ,1 lit simple,Plus que 2 hébergements à ce prix sur notre site,313 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,"€ 45€ 41
-10 %"
Chambre Lit King-Size Standard,https://cf.bstatic.com/xdata/images/hotel/square600/443875878.webp?k=a57a65a76cdc859572db9cddaf753e8d165d103086a887ef69da9b22e4faba21&o=,SPOR HOTEL,https://www.booking.com/hotel/tr/spor-ankara2.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928303&all_sr_blocks=971239001_369515719_1_1_0&highlighted_blocks=971239001_369515719_1_1_0&matching_block_id=971239001_369515719_1_1_0&sr_pri_blocks=971239001_369515719_1_1_0__1707&from=searchresults&map=1,"Ulus, Ankara","3,5 km du centre","7,5",Bien  ,1 grand lit double,Plus que 2 hébergements à ce prix sur notre site,262 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 18€ 17
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square600/360488077.webp?k=25d3548e424ae532c5c1aae4cc4d49fbf50915229ba683b6d9168de266b19c46&o=,The Wings Hotels Neva Palas,https://www.booking.com/hotel/tr/neva-palas.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928303&all_sr_blocks=27350903_200957340_0_2_0&highlighted_blocks=27350903_200957340_0_2_0&matching_block_id=27350903_200957340_0_2_0&sr_pri_blocks=27350903_200957340_0_2_0__8690&from=searchresults&map=1,"Kavaklidere, Ankara","0,7 km du centre","9,2",Fabuleux  ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,1 114 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,"€ 110€ 87
-21 %"
Chambre Supérieure avec Balcon et Vue sur la Ville,https://cf.bstatic.com/xdata/images/hotel/square600/313620115.webp?k=fd2538ba0d5c31852cb7d45038292dc2d6f95b85c0e59fcea5556177231be422&o=,Radisson Blu Ankara,https://www.booking.com/hotel/tr/radisson-sas-ankara.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928303&all_sr_blocks=2311707_95147194_2_42_0&highlighted_blocks=2311707_95147194_2_42_0&matching_block_id=2311707_95147194_2_42_0&sr_pri_blocks=2311707_95147194_2_42_0__10593&from_sustainable_property_sr=1&from=searchresults&map=1,"Ulus, Ankara","2,9 km du centre","7,4",Bien  ,Types de lits : 1 lit double ou 2 lits simples,Plus que 4 hébergements à ce prix sur notre site,330 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 106
Chambre Double ou Lits Jumeaux Standard,https://cf.bstatic.com/xdata/images/hotel/square600/443605019.webp?k=631ad63bde2eeb3085c132f86a1a4fae48e84b1818510971f6898903424fbd62&o=,New Park Hotel,https://www.booking.com/hotel/tr/bera-ankara.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928303&all_sr_blocks=28305507_88802693_1_41_0&highlighted_blocks=28305507_88802693_1_41_0&matching_block_id=28305507_88802693_1_41_0&sr_pri_blocks=28305507_88802693_1_41_0__32143&from_sustainable_property_sr=1&from=searchresults&map=1,"Kizilay, Ankara","1,6 km du centre","8,5",Très bien ,1 lit double,,2 656 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,"€ 440€ 321
-27 %"
