Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Appartement 1 Chambre avec Balcon,https://cf.bstatic.com/xdata/images/hotel/square600/492508765.webp?k=532f67c045835d05ff23425b5e4b388cecabf10c9723c75ea7636dbff03c31f6&o=,Elliot,https://www.booking.com/hotel/gr/elliot.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-814876&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=00a34883204d010e&srepoch=1698920332&all_sr_blocks=1046743302_380345033_2_0_0&highlighted_blocks=1046743302_380345033_2_0_0&matching_block_id=1046743302_380345033_2_0_0&sr_pri_blocks=1046743302_380345033_2_0_0__10846&from_sustainable_property_sr=1&from=searchresults&map=1,"Exárcheia, Athènes","1,2 km du centre","9,0",Fabuleux  ,"2 lits (1 canapé-lit, 1 grand lit double)",Plus que 2 à ce prix sur notre site,37 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 canapé-lit, 1 grand lit double)",€ 214€ 108-49 %
Chambre Lit King-Size Classique,https://cf.bstatic.com/xdata/images/hotel/square600/230440150.webp?k=e903cfb13bed42d589aec3811b42d5ff551889b2c58a17e76ef5a58dabe5f925&o=,"Athenaeum Intercontinental, an IHG Hotel",https://www.booking.com/hotel/gr/athenaeum-intercontinental.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-814876&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=00a34883204d010e&srepoch=1698920332&all_sr_blocks=9626932_368573308_2_34_0&highlighted_blocks=9626932_368573308_2_34_0&matching_block_id=9626932_368573308_2_34_0&sr_pri_blocks=9626932_368573308_2_34_0__20729&nad_id=bcbb5c1f-f63c-42cf-b0fd-f06358b6f3be_1&nad_cpc=0.6&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IjJVdzZWZkRwc3J4dWJLM3czY3RrbzNJaU9BTE9yN2tRa1BlTXRGaW1XbllCaCt5ZjQzWFI5R0V6dDZLTmdXVnR2ZDY1Y3gvY0E5bUFpQ0Y2aFZTVitZWkEyRlozMVJvcFNBUTFYVkV4bW9Vb0JWMlBaQWVVdDlTK2hmR0Z4ODkxZDRrNWNjUnFGUGRMaXN1U3pON0NTd3R6UFBnd0pCY2VRclp0OTBSdG5sSVBMUzZJMDV1OUl2cU9FTmJDM0ZBSHFNbnA5WXNaKzRsdGh3ZUtmTlNTZ3NXRW1RMlRtZ3ZYK3U3NkcwWStjVnNma1dUU0J5UGozR3ltTkJSKzBNL0J2REZITjU5NkRzNGZvdFp6WklPQUxCSytYRGxSSWcyT1YzVjRNMkFvNHU3Qk94SGM5M2RSRFNJZ0RWUSs5d3pObThOdGFEYzdWL0V2SzJBeDNta0EvdFdUVVpJS1g2ekxmZUNJdHRBYTZINDhoL1RMMlN6Mmt3My9PQ0pIaVZIbHJOMzJQZFVJZDRkbDVyWWI5U0hOTEZSN1I2UGFLZDZpeVFQNXRkclkwbXRWa2VURmVJOWVOckpsSEkzc2tyT1ordmV1ZmMra0xMTUhSbTlOcEpuUVNlMFRNcDhRMW9EQUFad3IrVnlKNlhJSDJGL2IxcEZBWS9zdW9wa3lNRis4YUE5VzEwOGZiUkF3VXJRUHE2ZFNMWUlrTFJaM2FoRVV5OU5SVlFoM3VsRDNqazh4Z09Db2tTMEFRclRISzhYNXVyYkVpS2p4dEpVVTJxZDVnTUVXWjNsTXRGRVlDMHRDYU1vcndWTzcybjFBZjFrRXE3K1FGbisyZVNGcDVhZ0xaa2tlTWFaQ0t1aTNPQm5rMk1zMEhFMm15bnhtbk1nQnowZnFKTGRQSUZ3a3dmTEYzWE0ycXRVWEJaMkg4c2JraTBpdTczeVdZTnM1ZVcySWg5c2xTV3BTNDZEYTk4UDBBREFSQXh3RFZCY2UzaEQ5QVlQLzlTdGdQa3JMSXE2TDY5YlZ0eUtXV1IrK1VLMFF6aGlkR3FRODdwUDJSSFZvSHRaSC9LM0JMVjVKdlRUK1d0V0MwWWEzbCs1dW9mbXBjYU00Y3d5Z00yNXU1emwrVWpCMFZTRFdzU3JVVDlGdFhpdVRiYnhiS2JLdU12Q0VueHlqQkJkUFJRcEFXWlFBQVd5TzdEdGV6ZUhDaWxEQnJuZWZvdS9HbUtodmlFOGtLTG5SUGpXN3VrM1RVd1liZ0x3dlZhL3lQTjhjbWxQWGZRMnlMWXV1ekdNck5TeHVPWmdSSkJlOVJHbXJ6T2ZZNVhJNGFnQmJkRWJ5a2doWVdvMlUwbkhiVUZCMENDaGNpOWxvaUk0K1o3UmFVZERnM1dENkp3NjEreSt6YmZFTkg4U1NyOHZja1NRTUxZUGp6VFptQXZvVlhPaWt4d1dobFBqYW1VK3oyYzg4ZUZFS3NjdFJHT1pkeENmY205bGJ0WHpCU0poSEVZMGIzb2g4VkpBNkxOQ05YRHdWbGlxR1N5MENRbFpnbDdCa3NxN1p2Y0UyMDRMcnZtRUx5RDc1Q0JIN3RQVEFHVlZDNDU3NmtlaEdzSy9Vcy9GaE00Q2p2ZFJ3U05MS29PQW94SWJnbFhOa3prTFdqMFlnaGxIMTlMV0g2UmFkQkV0dkFOY09JaFR3eHhJT0pwMmdwNUpjNW16UnVvZHo1U1hYZDlBNmR0UkVhdDhXM2tTTUc4UzRBN05xaXlCQjJ5bGo4bTVPcmREZUxNdEY3eEczMU1QZTZJdFE0VVl5K3B3Tk0vZGM1MnZIUTluY29lM1JZUzNmcWlOdEJVdzludDBHeXFBczJwRnNYd2MxV3RjcnprcDlGTGtmMENicEh0cXVtU09YVmJTYVdDM3pEUDhHY0ZvcHhrbWZLdkJYaXFnUmpQRzFIejQrREE4WG00aHVqSzF0NkxaN1poTXlkVUJJKzE2SC9RMk1SczEvRjRqcjFSSzdGVG1LSU4rVUo4d3hLWk1uWXJVSVRscHFRcXRlcDRBdzZuaG9Uc2ZuaThBOC80bzllQ3lubHV6d2UyYjVEK1g5WDJ6WUxISEJIcW1pOU1PazB6TElmUW1sM3h3a0V5R2kwK0VOTDRlSitWdDF2aFN5Ny8rWitiU1RET0w3SEJ2NVRQMkxIKzBMUUo5V0YwNDI2TFVOam5GTnJhZVdjK3FwVXpYTFR2cC8yVGxSZUZrM09lZlJtRDUyOTFTTldwSklzV0E3SnBnM3d0bE8zazJrajdySnZ0WEI3VmYxSWREdlREMHh4cmF3YVZMd2toaHNwSUQ3bHZXNEJ3cDBnZjdmNHBqbHZha3dVV2QyMWxzY2Nnb0lsNGJZZ29QQVFRVnN2ZG9MQm1QZWlQNytkVjVZZzgwT2c3RUUzNngxU0hEMFl5cE03MDRnakxnS2FCN1RaVmNCVnp4ajdzTXZhYlByQitKYjlNeTNlODA5RFBveldCZWtVLzZ3czdJMjRDWEE4Wk0veE5McjQzQmY2bDYrRTUrWkM4MmpqbEVQZ2kxNi9zWFllbTc0ZmZwcGdocXpvcFR0NUttZWFtZkVtVWpXc096YUJjU3AxbERGR1pXL291NzJTYm5wNWNvRnZ0aWZ1V3NGRHJwbENscWlMMkwzV05DU0FaZTYrc2h4bWlPbGxMV1ZrWnpHcXJmVW9OMmlsblA1NWF2R01tb2JiSGM2UEVGcUhML056UTlyblVWMTZCVUI3V3FEeGNXSE02QXY1TlhuRmxwdTB4TnhVOEE4YWZURWRHdVlYWW45cHdML3NDQmpBR1NDWFFTRC9wSDJ1K0hoZ2FCOG12YUNUZElLVDNkWmhoeG1hcm5sdHNISDNyWkszcWtaQnQ2OGJDQU1PMUhSbUlEV0x5a1czV1RkUURMOFJWcncvZTVDK0VlM254cHNMazAvTytDZFdHdWRXY2tCVGFiY2JERzNOaHg1R3o1bkFlcmVSYjJFeGRSeXhoa0NrQ3pJNWRRNEE2Q0dYeW5vbnhUelNLTmhQTjNDYXVoNUNFdGwvbTZYeFRXWVFnWEVCbHovNkxLUzFMQUc5ZHFUbytwWGcvVjV5RmlZZ0JnL2R1SGlTTU4xTGF1SEh6Q21GNkgveW9GQ2hLOFBSYlk5bVZKcm81SmM1M2ZOcWxpMXBEQks0QURGM3kvQitPdlJuNkVuVnJiQ2pBYUI0c2t1V1pKeE9FRE8rWFM1VVZZYnRQYkRPRVBiQ3lsMlVPbW84NGpFaE9zcU53UVJnbTNKUDNPbEYzVDNNZmdKRW1qS3BnOFFoMjJOdnlTalhPbUlHV2kwT1podktBTG85WWQvd3BONUJNcDZ5RzNRQ0tZNXlnUFNoSXNiUmVtV1RpSXRlWnZQMFRzdkhEZ0xXU01VY1NGemxnU0ttNmxkZjNsbnlHdjk2NVJGVWV5bHZ1UTBGeEl0N1ZkUFZhdmFTMkJZVHRuRFJESGxOMWRRSU1TditCc0paaGJOWStNZXdyeEFtYnNOWUlZSGkrWmJhUGZCUVRCVHhabkJhbmZINElxdjc4cjlneXp6MGQxd2hTbzAxajB0clEyQUkyU3lJZWdDY1hsbEUyZ3JBVTMxYTZtYnpOLzBwc3lFUlhCZkt4YVk2c1B2WHpHTVBieEpMMitxUWpEcjR6TW5Pa2VBazhVZG5Pa2U0NmFtQU10alBmNVg4QUxUbVJEdGNCYlhueXlHaklON0JHYUN6VTNpVU0xQytqYUd0QnUvRExaMnNKNnBGUGpFTmJwazQ5VGJrdz09In0%3D&from_sustainable_property_sr=1&from=searchresults&map=1,"Néos Kósmos, Athènes","2,2 km du centre","8,5",Très bien ,Plusieurs types de lits,Plus que 6 hébergements à ce prix sur notre site,1 211 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Plusieurs types de lits,€ 207
Chambre Double avec Balcon,https://cf.bstatic.com/xdata/images/hotel/square600/500791872.webp?k=1d6453980d821562cbbef1c10276483138cf233bf0bf0e1088d5e8a5d5397810&o=,Acropolis view 3 shared room,https://www.booking.com/hotel/gr/acropolis-view-3-shared-room.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-814876&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=00a34883204d010e&srepoch=1698920332&all_sr_blocks=1095306201_382439957_1_0_0&highlighted_blocks=1095306201_382439957_1_0_0&matching_block_id=1095306201_382439957_1_0_0&sr_pri_blocks=1095306201_382439957_1_0_0__2754&from=searchresults&map=1,"Néos Kósmos, Athènes","2,8 km du centre",10,Exceptionnel ,Hébergement géré par un particulier,Plus que 1 hébergement à ce prix sur notre site,1 expérience vécue,Taxes et frais compris,"1 nuit, 1 adulte",1 futon,€ 28
Chambre Simple Standard,https://cf.bstatic.com/xdata/images/hotel/square600/168026740.webp?k=6a2fafe9afac5b4df4eba4aa4a9c68a29de3842913340bac70d2b0f707ca887a&o=,Parnis Palace,https://www.booking.com/hotel/gr/parnis-palace.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-814876&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=00a34883204d010e&srepoch=1698920332&all_sr_blocks=29676009_91919386_1_0_0&highlighted_blocks=29676009_91919386_1_0_0&matching_block_id=29676009_91919386_1_0_0&sr_pri_blocks=29676009_91919386_1_0_0__4300&from=searchresults&map=1,"Acharnes, Athènes","16,1 km du centre","5,6",Note ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,502 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 43
Chambre Simple Standard,https://cf.bstatic.com/xdata/images/hotel/square600/382654216.webp?k=0438616360d06d0ac3c8e1fca5bc92218c8bdba407c3291dcb338811e4104cae&o=,FALIREON HOTEL,https://www.booking.com/hotel/gr/falireon.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-814876&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=00a34883204d010e&srepoch=1698920332&all_sr_blocks=858066201_353495113_1_41_0&highlighted_blocks=858066201_353495113_1_41_0&matching_block_id=858066201_353495113_1_41_0&sr_pri_blocks=858066201_353495113_1_41_0__7460&from=searchresults&map=1,"Paleó Fáliro, Athènes","6,6 km du centre","8,0",Très bien ,1 lit simple,Plus que 3 hébergements à ce prix sur notre site,484 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 78€ 75-5 %
Chambre Deluxe,https://cf.bstatic.com/xdata/images/hotel/square600/453518497.webp?k=e444d5f17b2e78ae178141f5e3c58c3d60d81ac17eb57985bbecbe6e9aee7eb2&o=,ROH Suites,https://www.booking.com/hotel/gr/stefanion-suites.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-814876&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=00a34883204d010e&srepoch=1698920332&all_sr_blocks=772946009_335244685_0_2_0&highlighted_blocks=772946009_335244685_0_2_0&matching_block_id=772946009_335244685_0_2_0&sr_pri_blocks=772946009_335244685_0_2_0__9576&from=searchresults&map=1,"Pláka, Athènes","0,5 km du centre","8,5",Très bien ,1 très grand lit double,Plus que 1 hébergement à ce prix sur notre site,1 020 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 126€ 96-24 %
Appartement 1 Chambre,https://cf.bstatic.com/xdata/images/hotel/square600/483037316.webp?k=f23c121486692e334335e33facb6496a096ecf3e8de778d280f86b19c9c495a6&o=,IQ Residences - The Pi & Fi Suites,https://www.booking.com/hotel/gr/iq-residences-the-pi-amp-fi-suites.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-814876&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=00a34883204d010e&srepoch=1698920332&all_sr_blocks=988138202_371184015_2_0_0&highlighted_blocks=988138202_371184015_2_0_0&matching_block_id=988138202_371184015_2_0_0&sr_pri_blocks=988138202_371184015_2_0_0__10393&from=searchresults&map=1,"Néos Kósmos, Athènes","1,9 km du centre","9,6",Exceptionnel ,"2 lits (1 lit double, 1 canapé-lit)",Plus que 1 à ce prix sur notre site,8 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 lit double, 1 canapé-lit)",€ 104
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square600/262501695.webp?k=9183a0f22f7d4b22ddf3744db76dc8400a8cbc85dfc41139faf7a7ca68f88b50&o=,Hotel Marina,https://www.booking.com/hotel/gr/marina-athens.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-814876&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=00a34883204d010e&srepoch=1698920332&all_sr_blocks=50555301_0_1_1_0&highlighted_blocks=50555301_0_1_1_0&matching_block_id=50555301_0_1_1_0&sr_pri_blocks=50555301_0_1_1_0__3953&from_sustainable_property_sr=1&from=searchresults&map=1,"Athens City Centre, Athènes","1,3 km du centre","7,1",Bien  ,1 lit double,,1 449 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 40
Lit Simple dans Dortoir pour Hommes,https://cf.bstatic.com/xdata/images/hotel/square600/255195188.webp?k=edd55b57226a513c5e99433535174af6673fad0bdb7954683d2885918dfa146a&o=,Thanasis Place,https://www.booking.com/hotel/gr/thanasis-place.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-814876&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=00a34883204d010e&srepoch=1698920332&all_sr_blocks=543283802_377818993_1_0_0&highlighted_blocks=543283802_377818993_1_0_0&matching_block_id=543283802_377818993_1_0_0&sr_pri_blocks=543283802_377818993_1_0_0__1170&from=searchresults&map=1,"Athens City Centre, Athènes","1,8 km du centre","7,3",Bien  ,Hébergement géré par un particulier,,1 323 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 12
Appartement Deluxe,https://cf.bstatic.com/xdata/images/hotel/square600/493865139.webp?k=8d051be7aa7dbbaaad36da42c8c48dfc9864649869253d08f9fba6e4af0efd11&o=,Harokopio Apartment in Athens,https://www.booking.com/hotel/gr/harokopio-apartment-in-athens-kallithea-near-harokopio-park.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-814876&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=00a34883204d010e&srepoch=1698920332&all_sr_blocks=394603901_357640625_1_0_0&highlighted_blocks=394603901_357640625_1_0_0&matching_block_id=394603901_357640625_1_0_0&sr_pri_blocks=394603901_357640625_1_0_0__15866&from_sustainable_property_sr=1&from=searchresults&map=1,"Kallithéa, Athènes","2,7 km du centre","9,0",Fabuleux  ,Hébergement géré par un particulier,,32 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","4 lits (2 lits simples, 1 très grand lit double, 1 canapé-lit)",€ 206€ 159-23 %
