Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Chambre Simple Standard,https://cf.bstatic.com/xdata/images/hotel/square600/322703142.webp?k=840cc71dc0e255212969f82592a571f31af56b7c695d51fed084cd745f205990&o=,Bob W Mitte,https://www.booking.com/hotel/de/the-dude.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d900648ad59e0204&srepoch=1698934681&all_sr_blocks=37293319_373073830_0_0_0&highlighted_blocks=37293319_373073830_0_0_0&matching_block_id=37293319_373073830_0_0_0&sr_pri_blocks=37293319_373073830_0_0_0__12348&from_sustainable_property_sr=1&from=searchresults&map=1,"Mitte, Berlin","2,5 km du centre","8,5",Très bien ,1 lit simple,Plus que 3 hébergements à ce prix sur notre site,763 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 206€ 123-40 %
Chambre Lit King-Size Luc,https://cf.bstatic.com/xdata/images/hotel/square600/434738584.webp?k=a218dcdf73314823e5601bb796d3093d4dbf44efcb9d7950d67b17c7006836af&o=,"Hotel Luc, Autograph Collection",https://www.booking.com/hotel/de/gendarmenmarkt.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=d900648ad59e0204&srepoch=1698934681&all_sr_blocks=6442644_331492937_0_2_0&highlighted_blocks=6442644_331492937_0_2_0&matching_block_id=6442644_331492937_0_2_0&sr_pri_blocks=6442644_331492937_0_2_0__29832&nad_id=08515a11-8374-4583-b3ab-b80583b2c364_3&nad_cpc=0.45&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9TQkRJRjhoSjQ2cG9EOWVFVlZqeUZ4cTNCLzJ0UGpwOWlwUERvRENPUG84bFdrdHA1czVlQXdGZXFRdENuditwOUFvV3ArUmlxUDdxVmJZZERFYkJ4VzdMNmN5VlFRK1NXay9LWFdvN2daMmc3ZzJvbkJ4T05EVTEzY0R6Z3Naa2l1eXlWcUIrMlVsTTd4TThRUFBFVndYN3VyZC9Mekc1eE5oMkIxVGJ0MzFNcFFjL25kOFliNTVhUjRQN09XTi9aTVNTU05rcTdQZzRoSld4K2IyZkRER0hiUzkzdnp2UE96ZDVlcmhzekhBTXJMU21OeWVwajU3RkZUQjZZZm50L1FDM3FlOW93Wk55dnF4R29Qd0dIc3NReG5NaWdBYXVLbnljdFI5MkltOVl4TDM2YmdZUTE4cU9Cd0tWOXg1STUxYlRaNzhGL0lCZWZXd0hvUzl4ekVPTG9kMmtCUDkzb3J1cXo5MUpwRHBIQ0FYMkVoK3pUUmt3Q2d2THhlRlBTSEwydUhMdU53Z1NoajVOQXZmUEpiS0FKMVpBME5RRUF2M3U3YzJWUGQwa0xWdFRxdTE2MUdSeFJ2MjVhK0lOc2RIbFhWM2lIdkFKVzlWQTBPQ3BqQm9DUWNXanNkak1XWmxZY0l6U2ZWZnZEa3EwOWJHRmx6S0kzYXNXK1RzdXZrQ2REZHByQ3M5NWZxb0dLOTAwYTdYck0zTVVBSk9IcU1VZC9aYVFzeHpBYnBnRk04RlloSitvQTdHT0hETXoyaVNTOW1xSnFudTA0dHhIWTJSb01aTC8rY3VpeEJiSGNQaFRaTUNUd0pBZVYzWDJTSE0xSUhQc1d2WHBWcU9ILy8xRFl5aGczMkQ4M0IveFFoNVpiR1ducUZ2TC9mL3lFLzBMeW5uOXdnb2FORFl4Qi81aytqcTB2aldCQnp4aTEzOHJ5a1dlcjBxOXVmUWEvNHVXcG1HZnhOaHRJSjJFdjRsQ1FKdFFyWDlUQ2RnUUJtZFdXNkFvSXNUM3NzSTlYcTRDUDhhM0ptNVVsTzNoZW9YV1g4SnpialFySEdDTUJ3OG5xb2Q4RERxMlY5QkVvL0RxaEx2Y3JCSG1Vc1F6b09udk5XOVhnN2FpemNlYXhwZFVacWhmbkNhd1R0ZXNrVWIxMzc1aHVEaDV0SDF1TGlVdURSdDhMUVdxdWpPNXpjNDlYN011bUh1REZiWG1DSU1XY2lUWHIrTldXcmsrR1dvdnhFTkRRRFdjL0ZKMm9YMnRacjU2cVpGbEFTM0tpOVlGcmxPdkljbTBkS1V1ZG40aUhybjJFbjF3TE9GSzdmZjNxekJQVkxkY0NmZlY4VG5zTWl6VFZNNVNTZ2kyVTN3dFRuUG1yUXRMRlRBb3BEdmxxbWx6QjVqeFh4S29ZY2FDL3RaSVRXVjJPOGZZSHh2cXZBcjF1YVhaUmVNWExCUlUvV1FQNHBZTXF4bnVMcEpXYWJ3enBhdWJaM2E4emZpM1lXNlkzV1N1QWpXTm5WUklWWThlV3VKcWN2bjEyZGdpMnFTVHN0VUVrTG9aSUMxdVNRZFpBbzExWTZRWUVBcTVKYWIreVBxTmF0QUNQZlpTaWRidUN6WWl1dlVmOHpQMTVvY0F4SE1YM2xXNGhPc0dWV3ZRRDc0TTV0MlY3VlozQm10dTQ3aGtJalNGdWpDNDFCSEV3Q1Z0cjRNbUQzODZnRU1YUFNBaTRqYW1ySkJmZmg5WnE2dDNsb2ZmT1Q2M3p3NWpaS0JBQXpkSFhUbXdweVMxZzFTWmg0YnJDNlh1dnNjeHo3QStPN0Ercm5LbzZmenZzQ1NIVnRmMXg3TUNURXIzRGlrMXZRaHcra3lsTEpPTjZlN3BkTjRRUWtUSGRIcmhHZmxoUEZKeUtnNXhRbDk3a2tta3JZM3VBcVI0MFhvdk1VL0dOUG1IODhvcTVJa1hUWjRxa05ON2J4eSs1UkhiUTBjQUlsNVpFNXBTb21EdXluZWtwMERTNHJtb1V6ZkVmRlMzd2ZuTCsxU1kyOGJSSWsvR2FmQWVRK012NVlVM0xZbUt0QmVJZDJ5ZTc2TWVSbTZDREtHMWh0VUxGdFFDZHE1elJhMTJSUlhxWEVpVVNkeFl1YWlZSUFldDY2UzZsYjc4aXg3SmFmTFEvUXRzZHk2K3A3YWljQWxPYXA4K1J6L1FkdGc2RE5HRWx3YlpzVUpyMzU3bHFuM0lOaHQ1dlBiQUJGWkhoaHlSTWFrTHkyRVNoNHpHd1NxUzN0NWRmM0N2Ukloa0ZQeUlSYTZzdmdOeTZnU2M1R2g0M0FyRk5wVEZoWHpFRHBqWTdadXRVR08vY1kzNXRHdFUxNERDTUE5a1luc1VVN3kwOWRPbWZtWitSWk5XZCtuZnoySXBxaGYzeUJOOE4wUUtJYTNONldERE5pZEVBeVpMa2I0UDNidU1IYTl6alk1aDVBWFBuS0toRkl5bWczUVVsUzNuWVJNNnhMblRxak94MXJxT2V3cFlsdnFzdUlyZlV3UlRPanlvVllZOXg4Yk9DOFFtWEV5Z252aXpSUGkxOGkyYjB1WGsvbVlyWkJBai84OFM5aTlhYnFVRzE4UndNRHBDYmwvNndWcmtNR1hvekI5RVh0TkUyT0hvOXZ0ck1sMzZ4V2xHeFF3R0h1WmJpWk9pRnRTR0VwbTNIYUpmd3EvQkFPRUFYZEtGWmNBRlNSS21ubldnNDdMQi8zYm5NN0ZBYVNaSURFaUNvT21yazdxVjlXQmZEY1hvR2NYVmhjMXZ3b0NMSHp1NU1QQmxwa3lqSndtSGJsakwvK1dZSmpqQm1ZUUFkbTh1dGtQSld0RlFmVWVBZFBMa0pIMmhGeFp2KzYrRUQvZnVKamoyKzJ2SkRwRkc1QW92VFFoTm5QNVBMSmRZV1JHeFFaYllPSGUyVnFDSzhGQVZFY3UvUFdqZnppLzhYTk9VNFV4UEFEZXhsclNrRk4ybzlPcVFrUFJ1K2xYbkoybzB5NGdiRnBxOHh6a3hNNXdXRUhhMHhTaDVkeVc4VVA0Tm8zZjg1MndoTGJuYlRiT2N5bWdjdGV5d09UMnFISmhmN2wxWjlCc3RGNGZpdmtZL2RRVkdqNDk3ZlIrQnYzaHJadkJSeDZuUlJ5anRxQUM4ak5ITVo5dHUyMm9nNmgyUTZUQkRQYS9uakdML3RTZVJWVVRjcXdXamo0LzhQbEpTM2crWmtlZGE1NGY3bmkyMUlDN1NvdzhnbWc2Ymt0a3lad0RCNlhKSzkrdldMUnYrbDNzallkQjM3NHVOa1htUEtXUlMzVXRQTWVMYjRHWVRrNkJlaUJBeXA5dnV3R1l0RmM3bHR3WThEaFhLOXdaVXppNVljeXRWTWpuRGJxbHlBVUx3VmVsRUQ4TVFYK0xUNEpqWDkra1JNZm92VHU4RkxEN01lR0sweHNCWFZZb0NoVktYb1AzRTBDTm5XSW9FT0x4Q0dLdFJmSGNqTU12bEhrelBjYWlIQjAvdWs2Q2F3aUsrSnFGZjdlOVE4aW9ja2gyZGY0MlJZM281YUJIcUxmclh3U1kwODMrSTRzY0c5VHVMSGNIbTNXc01GQUx6dXpRZXk1WVVLSWcxcjYyaVp1bktzT083RVk2Umh5bHRWZ2pyREVzc2hXQzEzbk5ZSGY4RXkrdjhnaGM4RkZ0RUhYdkQyWXVRaE5ZamtVNDZrOEkrak9wTGhVSGZyTGIxSElGZjkvSi9HSXB5aytqSlNjNHIxQWIvWVA1cEt2TDNvMTNvUGQ0RGc9PSJ9&from_sustainable_property_sr=1&from=searchresults&map=1,"Mitte, Berlin",1 km du centre,"8,9",Superbe ,1 très grand lit double,Plus que 5 hébergements à ce prix sur notre site,455 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 298
Appartement 1 Chambre,https://cf.bstatic.com/xdata/images/hotel/square600/503067908.webp?k=204e238ab801d78b7da8011c99d73d8c85c5d6e546f911dcaa8c6c5d8e8dba46&o=,Schönes Serviced Apartment in Berlin,https://www.booking.com/hotel/de/schones-serviced-apartment-in-berlin.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=d900648ad59e0204&srepoch=1698934681&all_sr_blocks=847531701_382806109_1_0_0&highlighted_blocks=847531701_382806109_1_0_0&matching_block_id=847531701_382806109_1_0_0&sr_pri_blocks=847531701_382806109_1_0_0__19826&from_sustainable_property_sr=1&from=searchresults&map=1,"Arrondissement de Friedrichshain-Kreuzberg, Berlin","1,5 km du centre",,,"2 lits (1 très grand lit double, 1 canapé-lit)",Plus que 1 à ce prix sur notre site,"1 nuit, 1 adulte",Taxes et frais compris,Taxes et frais compris,"2 lits (1 très grand lit double, 1 canapé-lit)",€ 198
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square600/350641744.webp?k=ec1d1fb2b2f27dfd5a6b88a4d73512ff5abf59cce14f1c3831c8d9f631e4e6c7&o=,Scandic Berlin Kurfürstendamm,https://www.booking.com/hotel/de/scandic-kurfurstendamm.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=d900648ad59e0204&srepoch=1698934681&all_sr_blocks=112934414_244701304_1_2_0&highlighted_blocks=112934414_244701304_1_2_0&matching_block_id=112934414_244701304_1_2_0&sr_pri_blocks=112934414_244701304_1_2_0__10900&from_sustainable_property_sr=1&from=searchresults&map=1,"Charlottenburg-Wilmersdorf, Berlin","3,2 km du centre","8,1",Très bien ,1 lit simple,Plus que 4 hébergements à ce prix sur notre site,7 725 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 109
Chambre Lit King-Size,https://cf.bstatic.com/xdata/images/hotel/square600/482030166.webp?k=165ee8e8600c1af96c5a10737aedfc756894b21aa814660ad5d0e8a4db53a23e&o=,Motel One Berlin-Bellevue,https://www.booking.com/hotel/de/motel-one-berlin-bellevue.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=d900648ad59e0204&srepoch=1698934681&all_sr_blocks=18181603_99202274_1_2_0&highlighted_blocks=18181603_99202274_1_2_0&matching_block_id=18181603_99202274_1_2_0&sr_pri_blocks=18181603_99202274_1_2_0__9345&from_sustainable_property_sr=1&from=searchresults&map=1,"Mitte, Berlin","1,5 km du centre","8,2",Très bien ,1 grand lit double,,3 391 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 93
Chambre Double ou Lits Jumeaux Confort ,https://cf.bstatic.com/xdata/images/hotel/square600/173701995.webp?k=52d0be5c01083b59786d3d8d53f441997d8f24aa7c5ca09b2c9fa0167f38e05d&o=,Hollywood Media Hotel am Kurfürstendamm,https://www.booking.com/hotel/de/hollywood-media.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=d900648ad59e0204&srepoch=1698934681&all_sr_blocks=6678703_338459225_1_2_0&highlighted_blocks=6678703_338459225_1_2_0&matching_block_id=6678703_338459225_1_2_0&sr_pri_blocks=6678703_338459225_1_2_0__10868&from_sustainable_property_sr=1&from=searchresults&map=1,"Charlottenburg-Wilmersdorf, Berlin","4,1 km du centre","8,3",Très bien ,Types de lits : 1 lit double ou 2 lits simples,Plus que 5 hébergements à ce prix sur notre site,7 987 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 109
Chambre Lits Jumeaux,https://cf.bstatic.com/xdata/images/hotel/square600/472425136.webp?k=682dd3b2aef915393affe0d9055a3c22ed5b7c11a246da8ac7fccbe8d05d0a48&o=,B&B Hotel Berlin City-West,https://www.booking.com/hotel/de/ibisberlinfehrbelliner.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=d900648ad59e0204&srepoch=1698934681&all_sr_blocks=6163912_382836983_0_2_0&highlighted_blocks=6163912_382836983_0_2_0&matching_block_id=6163912_382836983_0_2_0&sr_pri_blocks=6163912_382836983_0_2_0__6545&from_sustainable_property_sr=1&from=searchresults&map=1,"Charlottenburg-Wilmersdorf, Berlin","5,1 km du centre","7,1",Bien  ,2 lits simples,,2 176 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 lits simples,€ 77€ 65-15 %
Chambre Double Standard,https://cf.bstatic.com/xdata/images/hotel/square600/283440615.webp?k=2187f666a777a834954f638aa8b20dfdba7d62f18a6255fba6dff81ae95753e2&o=,Scandic Berlin Potsdamer Platz,https://www.booking.com/hotel/de/scandic-berlin-potsdamer-platz.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=d900648ad59e0204&srepoch=1698934681&all_sr_blocks=23731002_244700869_1_2_0&highlighted_blocks=23731002_244700869_1_2_0&matching_block_id=23731002_244700869_1_2_0&sr_pri_blocks=23731002_244700869_1_2_0__11120&from_sustainable_property_sr=1&from=searchresults&map=1,"Mitte, Berlin","1,3 km du centre","8,1",Très bien ,1 très grand lit double,,12 527 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 139€ 111-20 %
Chambre Double Supérieure,https://cf.bstatic.com/xdata/images/hotel/square600/120198181.webp?k=8a4c44712b98d11eebee759d180e897deb140fcb804bf1c7638231ec348e429c&o=,Eurostars Berlin,https://www.booking.com/hotel/de/eurostars-berlin.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=d900648ad59e0204&srepoch=1698934681&all_sr_blocks=27706002_265586512_2_2_0&highlighted_blocks=27706002_265586512_2_2_0&matching_block_id=27706002_265586512_2_2_0&sr_pri_blocks=27706002_265586512_2_2_0__12000&from_sustainable_property_sr=1&from=searchresults&map=1,"Mitte, Berlin","0,9 km du centre","7,9",Bien  ,Types de lits : 1 lit double ou 2 lits simples,,4 812 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 120
Chambre Lit Queen-Size.,https://cf.bstatic.com/xdata/images/hotel/square600/271216914.webp?k=bc52342554008a30d726111bd252b13e640a5d7ae8173ad6db8f85505e2aa58e&o=,Motel One Berlin-Hauptbahnhof,https://www.booking.com/hotel/de/motel-one-berlin-hauptbahnhof.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=d900648ad59e0204&srepoch=1698934681&all_sr_blocks=28191002_159148334_1_2_0&highlighted_blocks=28191002_159148334_1_2_0&matching_block_id=28191002_159148334_1_2_0&sr_pri_blocks=28191002_159148334_1_2_0__11445&from_sustainable_property_sr=1&from=searchresults&map=1,"Mitte, Berlin","1,3 km du centre","8,5",Très bien ,1 lit double,,7 169 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 114
