Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Appartement Deluxe,https://cf2.bstatic.com/xdata/images/hotel/square200/303285923.webp?k=aa2193b1737522164de16cf6d1f236949c85858bdc31836de183fd1e4f3f3c6a&o=,Jarila Boutique Apartment,https://www.booking.com/hotel/sk/jarila-boutique-apartment.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-840999&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=3d645fd35f4e00ce&srepoch=1698932266&all_sr_blocks=436547601_130835067_1_0_0&highlighted_blocks=436547601_130835067_1_0_0&matching_block_id=436547601_130835067_1_0_0&sr_pri_blocks=436547601_130835067_1_0_0__12102&from_sustainable_property_sr=1&from=searchresults&map=1,"Staré Mesto, Bratislava","1,8 km du centre","8,3",Très bien ,"2 lits (1 canapé-lit, 1 grand lit double)",Plus que 1 à ce prix sur notre site,81 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 canapé-lit, 1 grand lit double)",€ 270€ 121-55 %
Appartement 1 Chambre,https://cf2.bstatic.com/xdata/images/hotel/square200/498198841.webp?k=80eee14052d833c98d52597e3ba5e6cf1643e055543622fca1a024227d1126d6&o=,Like a Feather by AtelierFOR,https://www.booking.com/hotel/sk/like-a-feather-by-atelierfor.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-840999&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=3d645fd35f4e00ce&srepoch=1698932266&all_sr_blocks=1089110001_381854562_1_0_0&highlighted_blocks=1089110001_381854562_1_0_0&matching_block_id=1089110001_381854562_1_0_0&sr_pri_blocks=1089110001_381854562_1_0_0__9100&from_sustainable_property_sr=1&from=searchresults&map=1,"Staré Mesto, Bratislava",1 km du centre,"8,5",Très bien ,Hébergement géré par un particulier,,2 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 91
Appartement - Vue sur Jardin,https://cf2.bstatic.com/xdata/images/hotel/square200/256628031.webp?k=9f31e4c127a2813a29dda82ce8169fce6cf3d282c67a02418b9d2e94cae647bf&o=,apartman-Rača,https://www.booking.com/hotel/sk/apartman-raca.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-840999&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=3d645fd35f4e00ce&srepoch=1698932266&all_sr_blocks=200369902_331569054_1_0_0&highlighted_blocks=200369902_331569054_1_0_0&matching_block_id=200369902_331569054_1_0_0&sr_pri_blocks=200369902_331569054_1_0_0__4300&from=searchresults&map=1,"Rača, Bratislava","8,1 km du centre","8,2",Très bien ,Hébergement géré par un particulier,Plus que 1 à ce prix sur notre site,262 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 canapé-lit, 1 grand lit double)",€ 45€ 43
Lit dans Dortoir Mixte de 10 Lits,https://cf2.bstatic.com/xdata/images/hotel/square200/494193088.webp?k=dc0a692465de23a630dccfad9c5b7d652844b18fa2a34674a2aaa7c95e6f661d&o=,Wild Elephants Hostel,https://www.booking.com/hotel/sk/wild-elephants-hostel-bratislava.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-840999&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=3d645fd35f4e00ce&srepoch=1698932266&all_sr_blocks=307592614_361406594_0_32_0&highlighted_blocks=307592614_361406594_0_32_0&matching_block_id=307592614_361406594_0_32_0&sr_pri_blocks=307592614_361406594_0_32_0__1744&from_sustainable_property_sr=1&from=searchresults&map=1,"Staré Mesto, Bratislava",350 m du centre,"8,3",Très bien ,1 lit simple,,1 238 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 17
Lit Simple en Dortoir (6 adultes) avec Salle de Bains Commune,https://cf2.bstatic.com/xdata/images/hotel/square200/154789709.webp?k=c6ff19bfe9e010148ab809336c90861e4f3176278ff9d97e9765efccd3890bd9&o=,Patio Hostel,https://www.booking.com/hotel/sk/patio-hostel.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-840999&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=3d645fd35f4e00ce&srepoch=1698932266&all_sr_blocks=2406207_366118830_0_0_0&highlighted_blocks=2406207_366118830_0_0_0&matching_block_id=2406207_366118830_0_0_0&sr_pri_blocks=2406207_366118830_0_0_0__1736&from_sustainable_property_sr=1&from=searchresults&map=1,"Staré Mesto, Bratislava","0,7 km du centre","7,9",Bien  ,1 lit superposé,Plus que 1 lit à ce prix sur notre site,5 282 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 19€ 17-8 %
Appartement 1 Chambre,https://cf2.bstatic.com/xdata/images/hotel/square200/11609316.webp?k=4f8e92628466cac1753d9db2c2e9d992f1ec114dfe19a81fac920533e81ed62e&o=,SKARITZ Hotel & Residence,https://www.booking.com/hotel/sk/skaritz-residence.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-840999&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=3d645fd35f4e00ce&srepoch=1698932266&all_sr_blocks=2410906_369675120_2_0_0&highlighted_blocks=2410906_369675120_2_0_0&matching_block_id=2410906_369675120_2_0_0&sr_pri_blocks=2410906_369675120_2_0_0__9850&from_sustainable_property_sr=1&from=searchresults&map=1,"Staré Mesto, Bratislava",150 m du centre,"8,7",Superbe ,1 grand lit double,Plus que 4 à ce prix sur notre site,2 466 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 99
Chambre Simple,https://cf2.bstatic.com/xdata/images/hotel/square200/367140652.webp?k=5adbdd0d8f9cc7118ca97ee6c42abcc25d1ba4d1eb1a8a094e9868ea26c00bc1&o=,Hotel Saffron,https://www.booking.com/hotel/sk/saffron.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-840999&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=3d645fd35f4e00ce&srepoch=1698932266&all_sr_blocks=36741905_88562983_0_2_0&highlighted_blocks=36741905_88562983_0_2_0&matching_block_id=36741905_88562983_0_2_0&sr_pri_blocks=36741905_88562983_0_2_0__7250&from_sustainable_property_sr=1&from=searchresults&map=1,"Staré Mesto, Bratislava","1,2 km du centre","8,7",Superbe ,1 lit simple,Plus que 3 hébergements à ce prix sur notre site,6 468 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 73
Capsule Supérieure Classique de 90 cm dans Dortoir de 10 Lits,https://cf2.bstatic.com/xdata/images/hotel/square200/378201520.webp?k=21a907811d63d8901f0b1379353f7f52930d74beb88393b5f2ecab1ac7e2f07a&o=,CHORS like a hotel - 1st World NFT Block & Art Capsule Hostel MetaCHORS,https://www.booking.com/hotel/sk/chors.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-840999&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=3d645fd35f4e00ce&srepoch=1698932266&all_sr_blocks=416298304_135844501_1_2_0&highlighted_blocks=416298304_135844501_1_2_0&matching_block_id=416298304_135844501_1_2_0&sr_pri_blocks=416298304_135844501_1_2_0__2948&from_sustainable_property_sr=1&from=searchresults&map=1,"Staré Mesto, Bratislava","0,6 km du centre","8,6",Superbe ,1 lit simple,Plus que 1 lit à ce prix sur notre site,4 346 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 42€ 29-30 %
Chambre Double ou Lits Jumeaux Standard,https://cf2.bstatic.com/xdata/images/hotel/square200/356476469.webp?k=48dd51865c24daf408322fd78aa114ca6b40ec2f73257aa42735d3a35d54fee9&o=,NH Bratislava Gate One,https://www.booking.com/hotel/sk/gate-one.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-840999&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=3d645fd35f4e00ce&srepoch=1698932266&all_sr_blocks=17524604_94110472_0_2_0&highlighted_blocks=17524604_94110472_0_2_0&matching_block_id=17524604_94110472_0_2_0&sr_pri_blocks=17524604_94110472_0_2_0__9300&from_sustainable_property_sr=1&from=searchresults&map=1,"Ruzinov, Bratislava","5,7 km du centre","8,5",Très bien ,Types de lits : 1 lit double ou 2 lits simples,,2 433 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 93
Chambre Simple,https://cf2.bstatic.com/xdata/images/hotel/square200/268558178.webp?k=ea1ede1fc0bce9c2493bba6b8f52e04157557f7d6cb6758e20d6c592df20cd2b&o=,Danubia Gate,https://www.booking.com/hotel/sk/danubia-gate.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-840999&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=3d645fd35f4e00ce&srepoch=1698932266&all_sr_blocks=4627701_88995071_1_2_0&highlighted_blocks=4627701_88995071_1_2_0&matching_block_id=4627701_88995071_1_2_0&sr_pri_blocks=4627701_88995071_1_2_0__8190&from_sustainable_property_sr=1&from=searchresults&map=1,"Staré Mesto, Bratislava","0,7 km du centre","8,5",Très bien ,1 lit simple,Plus que 4 hébergements à ce prix sur notre site,1 517 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 101€ 82-19 %
