Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Appartement Deluxe,https://cf.bstatic.com/xdata/images/hotel/square600/497544521.webp?k=8f1247f3f461b09d9dd55a6e41fe1e8b9d6d021b0b0b6a0d9f2d084f99d9a101&o=,Yasu Luxury Rooms,https://www.booking.com/hotel/ro/yasu-luxury-rooms.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1153951&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f462496fec9a00b8&srepoch=1698920803&all_sr_blocks=1088224702_381743655_1_0_0&highlighted_blocks=1088224702_381743655_1_0_0&matching_block_id=1088224702_381743655_1_0_0&sr_pri_blocks=1088224702_381743655_1_0_0__37730&from=searchresults&map=1,"Sector 1, Bucarest","3,8 km du centre","9,7",Exceptionnel ,"2 lits (1 canapé-lit, 1 grand lit double)",Plus que 2 à ce prix sur notre site,8 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 canapé-lit, 1 grand lit double)","€ 108€ 76
-30 %"
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square600/497557605.webp?k=8c83b9a88f0958d4eece88d39bac2de46b0784e184af5b014ffda9a0716b2cd8&o=,Darin Hotel,https://www.booking.com/hotel/ro/darin.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1153951&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=f462496fec9a00b8&srepoch=1698920803&all_sr_blocks=1088093101_381723310_1_42_0&highlighted_blocks=1088093101_381723310_1_42_0&matching_block_id=1088093101_381723310_1_42_0&sr_pri_blocks=1088093101_381723310_1_42_0__26100&from=searchresults&map=1,"Sector 4, Bucarest","1,4 km du centre","7,6",Bien  ,1 lit simple,Plus que 2 hébergements à ce prix sur notre site,11 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 53
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square600/48962251.webp?k=7a40a8d8dd39e05452cb6282347fe6151e0a4a81760f71ec1038d826ebfaa922&o=,Hotel Amphitryon,https://www.booking.com/hotel/ro/amphitryon.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1153951&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=f462496fec9a00b8&srepoch=1698920803&all_sr_blocks=36318505_131971100_0_0_0&highlighted_blocks=36318505_131971100_0_0_0&matching_block_id=36318505_131971100_0_0_0&sr_pri_blocks=36318505_131971100_0_0_0__20000&from=searchresults&map=1,"Sector 2, Bucarest","2,2 km du centre","8,1",Très bien ,1 lit simple,Plus que 4 hébergements à ce prix sur notre site,286 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 40
Chambre Simple avec Salle de Bains Commune,https://cf.bstatic.com/xdata/images/hotel/square600/490700387.webp?k=890dd3b711284e53062996e0a84f2f24040960188bd9dbf6470f265e1bf007d0&o=,Hotel Sir Gara de Nord,https://www.booking.com/hotel/ro/das-president.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1153951&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=f462496fec9a00b8&srepoch=1698920803&all_sr_blocks=28289203_86119246_0_0_0&highlighted_blocks=28289203_86119246_0_0_0&matching_block_id=28289203_86119246_0_0_0&sr_pri_blocks=28289203_86119246_0_0_0__14000&from_sustainable_property_sr=1&from=searchresults&map=1,"Sector 1, Bucarest","2,4 km du centre","7,3",Bien  ,1 lit simple,Plus que 4 hébergements à ce prix sur notre site,3 456 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 28
Chambre Lits Jumeaux/Double Standard,https://cf.bstatic.com/xdata/images/hotel/square600/140037486.webp?k=3e99209706c5ceb61e84c183eecbe46a751e1cb3a2a183d408d0d3071c1fa58b&o=,Capital Plaza Hotel,https://www.booking.com/hotel/ro/capital-plaza.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1153951&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=f462496fec9a00b8&srepoch=1698920803&all_sr_blocks=17893201_129960014_1_2_0&highlighted_blocks=17893201_129960014_1_2_0&matching_block_id=17893201_129960014_1_2_0&sr_pri_blocks=17893201_129960014_1_2_0__36800&from_sustainable_property_sr=1&from=searchresults&map=1,"Sector 1, Bucarest","2,2 km du centre","8,5",Très bien ,Plusieurs types de lits,Plus que 4 hébergements à ce prix sur notre site,1 961 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Plusieurs types de lits,€ 74
Chambre Lits Jumeaux,https://cf.bstatic.com/xdata/images/hotel/square600/496520709.webp?k=fae4cb47b4df0d5e0843742efe3e8f7e9365ae784f14b3a429ba3532fc04dc68&o=,Acomodoro Residence,https://www.booking.com/hotel/ro/acomodoro-residence.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1153951&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=f462496fec9a00b8&srepoch=1698920803&all_sr_blocks=992122203_372181527_1_0_0&highlighted_blocks=992122203_372181527_1_0_0&matching_block_id=992122203_372181527_1_0_0&sr_pri_blocks=992122203_372181527_1_0_0__20777&from=searchresults&map=1,"Sector 3, Bucarest","3,8 km du centre","8,9",Superbe ,"3 lits (2 lits simples, 1 lit double)",,234 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","3 lits (2 lits simples, 1 lit double)",€ 42
Lit dans Dortoir Mixte de 9 Lits,https://cf.bstatic.com/xdata/images/hotel/square600/366867741.webp?k=e0b36e351562e0fabf7c9cc4c0928799a61e0e912eeee87711469936acba046e&o=,Popcorn Hostel,https://www.booking.com/hotel/ro/bicycle-hostel-bucharest.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1153951&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=f462496fec9a00b8&srepoch=1698920803&all_sr_blocks=250765314_351061215_1_0_0&highlighted_blocks=250765314_351061215_1_0_0&matching_block_id=250765314_351061215_1_0_0&sr_pri_blocks=250765314_351061215_1_0_0__6899&from_sustainable_property_sr=1&from=searchresults&map=1,"Sector 1, Bucarest","2,8 km du centre","8,4",Très bien ,1 lit superposé,,1 004 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 14
Chambre avec 1 Lit King-Size Standard,https://cf.bstatic.com/xdata/images/hotel/square600/439505729.webp?k=7b7bfd4e8a4c9fca2fb35dd8f4fd959bb4334cf4915d4671860e6c3502686970&o=,Courtyard by Marriott Bucharest Floreasca,https://www.booking.com/hotel/ro/courtyard-by-marriott-bucharest-floreasca.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1153951&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=f462496fec9a00b8&srepoch=1698920803&all_sr_blocks=483866501_230661805_0_2_0&highlighted_blocks=483866501_230661805_0_2_0&matching_block_id=483866501_230661805_0_2_0&sr_pri_blocks=483866501_230661805_0_2_0__8991&from_sustainable_property_sr=1&from=searchresults&map=1,"Sector 2, Bucarest",5 km du centre,"8,9",Superbe ,1 très grand lit double,,2 147 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 90
Chambre Double Standard,https://cf.bstatic.com/xdata/images/hotel/square600/265739014.webp?k=33916ff28e5586d341e4269595c41be6b625b929539bfd986dda586806adff70&o=,Hotel Michelangelo,https://www.booking.com/hotel/ro/michelangelo.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1153951&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=f462496fec9a00b8&srepoch=1698920803&all_sr_blocks=3998701_129959412_1_2_0&highlighted_blocks=3998701_129959412_1_2_0&matching_block_id=3998701_129959412_1_2_0&sr_pri_blocks=3998701_129959412_1_2_0__36467&from=searchresults&map=1,"Sector 1, Bucarest","1,8 km du centre","8,8",Superbe ,1 grand lit double,Plus que 1 hébergement à ce prix sur notre site,1 228 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,"€ 97€ 73
-24 %"
Chambre Simple Économique,https://cf.bstatic.com/xdata/images/hotel/square600/160581771.webp?k=3d759504934d079d599a0f6042f1fd31a48df8549f158dcc02bb3aeeadb64906&o=,B&B Duo Caffe,https://www.booking.com/hotel/ro/duo-caffe.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1153951&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=f462496fec9a00b8&srepoch=1698920803&all_sr_blocks=158289104_132150060_0_0_0&highlighted_blocks=158289104_132150060_0_0_0&matching_block_id=158289104_132150060_0_0_0&sr_pri_blocks=158289104_132150060_0_0_0__23400&from_sustainable_property_sr=1&from=searchresults&map=1,"Sector 2, Bucarest","1,6 km du centre","8,3",Très bien ,1 lit simple,Plus que 4 hébergements à ce prix sur notre site,761 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,"€ 78€ 47
-40 %"
