Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Lit Simple dans Dortoir Mixte,https://cf2.bstatic.com/xdata/images/hotel/square200/500451389.webp?k=68dc51cba116ec2270a5bc4e5633c9ebbf53fd0328db91a0318ba5fa1332f283&o=,Sax Pub Hostel Ljubljana,https://www.booking.com/hotel/si/sax-pub-hostel-ljubljana.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-87271&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=cc936040443f00ee&srepoch=1698932485&all_sr_blocks=1093483702_382276636_1_0_0&highlighted_blocks=1093483702_382276636_1_0_0&matching_block_id=1093483702_382276636_1_0_0&sr_pri_blocks=1093483702_382276636_1_0_0__2293&from=searchresults&map=1,Ljubljana,"0,9 km du centre","9,5",Exceptionnel ,1 lit simple,Plus que 7 lits à ce prix sur notre site,2 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 25€ 23-9 %
Maison 1 Chambre,https://cf2.bstatic.com/xdata/images/hotel/square200/311024827.webp?k=0a9966a3eee3ef257f3da9654d28e00e26774e7305cfec179ed3b2d54379a7da&o=,Floating House & River House Ljubljanica,https://www.booking.com/hotel/si/riverhouse-ljubljanica-ljubljana.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-87271&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=cc936040443f00ee&srepoch=1698932485&all_sr_blocks=758259502_332844274_1_0_0&highlighted_blocks=758259502_332844274_1_0_0&matching_block_id=758259502_332844274_1_0_0&sr_pri_blocks=758259502_332844274_1_0_0__12313&from=searchresults&map=1,Ljubljana,"2,6 km du centre","9,6",Exceptionnel ,"2 lits (1 canapé-lit, 1 grand lit double)",Plus que 1 à ce prix sur notre site,90 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 canapé-lit, 1 grand lit double)",€ 132€ 123-7 %
Chambre Simple,https://cf2.bstatic.com/xdata/images/hotel/square200/23206584.webp?k=0e597e4e6e0b48884efca81ec3d33b6349f826ab092afbc0b1ba11d2af6cb690&o=,B&B Janežič,https://www.booking.com/hotel/si/penzion-gostilna-janea3-4ia.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-87271&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=cc936040443f00ee&srepoch=1698932485&all_sr_blocks=78750204_86308942_0_1_0&highlighted_blocks=78750204_86308942_0_1_0&matching_block_id=78750204_86308942_0_1_0&sr_pri_blocks=78750204_86308942_0_1_0__5375&from=searchresults&map=1,Ljubljana,9 km du centre,"8,1",Très bien ,1 lit simple,Plus que 2 hébergements à ce prix sur notre site,1 060 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 57€ 54-5 %
Appartement 1 Chambre,https://cf2.bstatic.com/xdata/images/hotel/square200/310286818.webp?k=abfc7e0ae5812439697db310131a67ffd445382974086382c453b4ee9d9c5ce5&o=,INDUSTRIAL STUDIO 2,https://www.booking.com/hotel/si/industrial-studio-2.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-87271&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=cc936040443f00ee&srepoch=1698932485&all_sr_blocks=749746801_331249417_1_0_0&highlighted_blocks=749746801_331249417_1_0_0&matching_block_id=749746801_331249417_1_0_0&sr_pri_blocks=749746801_331249417_1_0_0__5113&from=searchresults&map=1,"Centre-ville de Ljubljana, Ljubljana","1,4 km du centre","8,0",Très bien ,1 lit double,,182 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 51
Chambre Double Classique,https://cf2.bstatic.com/xdata/images/hotel/square200/460372780.webp?k=59920ffdf3dddcc014f8a3a23dc57aeb7ecb64ce7ddc42527a6a9c1075232034&o=,ibis Styles Ljubljana Centre,https://www.booking.com/hotel/si/garni.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-87271&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=cc936040443f00ee&srepoch=1698932485&all_sr_blocks=3951445_376293263_1_2_0&highlighted_blocks=3951445_376293263_1_2_0&matching_block_id=3951445_376293263_1_2_0&sr_pri_blocks=3951445_376293263_1_2_0__7113&from_sustainable_property_sr=1&from=searchresults&map=1,"Centre-ville de Ljubljana, Ljubljana",450 m du centre,"8,0",Très bien ,1 lit double,Plus que 7 hébergements à ce prix sur notre site,3 560 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 71
Chambre Simple Économique,https://cf2.bstatic.com/xdata/images/hotel/square200/501751377.webp?k=19b68ce5e676a2ec9e8201d9ac4d512562d7bbde366ee941b695f4854742c6dc&o=,Best Western Premier Hotel Slon,https://www.booking.com/hotel/si/best-western-premier-slon.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-87271&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=cc936040443f00ee&srepoch=1698932485&all_sr_blocks=3989401_88531824_0_1_0&highlighted_blocks=3989401_88531824_0_1_0&matching_block_id=3989401_88531824_0_1_0&sr_pri_blocks=3989401_88531824_0_1_0__8575&from_sustainable_property_sr=1&from=searchresults&map=1,"Centre-ville de Ljubljana, Ljubljana",200 m du centre,"8,3",Très bien ,1 grand lit double,,7 051 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 95€ 86-10 %
Chambre Double ou Lits Jumeaux Classique,https://cf2.bstatic.com/xdata/images/hotel/square200/206178293.webp?k=6d0c8bbb43ebe13bbb6953825e7d375b384f2c3e783c892fc4e50ffbc1f78f4c&o=,Exe Lev,https://www.booking.com/hotel/si/lev.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-87271&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=cc936040443f00ee&srepoch=1698932485&all_sr_blocks=3952803_367904245_2_2_0&highlighted_blocks=3952803_367904245_2_2_0&matching_block_id=3952803_367904245_2_2_0&sr_pri_blocks=3952803_367904245_2_2_0__8713&from_sustainable_property_sr=1&from=searchresults&map=1,"Centre-ville de Ljubljana, Ljubljana","0,6 km du centre","8,2",Très bien ,Types de lits : 1 lit double ou 2 lits simples,,4 684 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 87
Cabine Lit Double avec Salle de Bains Commune - Étage Supérieur,https://cf2.bstatic.com/xdata/images/hotel/square200/458408375.webp?k=fc2e3a2ae839b91c2b66aa82aadc9ab08426b2785365487fc9933fc3aad314a9&o=,ibis Styles Ljubljana The Fuzzy Log,https://www.booking.com/hotel/si/the-fuzzy-log.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-87271&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=cc936040443f00ee&srepoch=1698932485&all_sr_blocks=593832609_376293117_1_2_0&highlighted_blocks=593832609_376293117_1_2_0&matching_block_id=593832609_376293117_1_2_0&sr_pri_blocks=593832609_376293117_1_2_0__3713&from=searchresults&map=1,"Centre-ville de Ljubljana, Ljubljana",500 m du centre,"8,1",Très bien ,1 lit double,Plus que 7 hébergements à ce prix sur notre site,4 398 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 37
Chambre Double ou Lits Jumeaux,https://cf2.bstatic.com/xdata/images/hotel/square200/370220614.webp?k=6dbc3cdc25bf357d63cdbef1b4c1491564644d0a2802f590bccbe6834cdb5f22&o=,ONE66 Hotel,https://www.booking.com/hotel/si/one66.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-87271&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=cc936040443f00ee&srepoch=1698932485&all_sr_blocks=727924302_364834691_1_2_0&highlighted_blocks=727924302_364834691_1_2_0&matching_block_id=727924302_364834691_1_2_0&sr_pri_blocks=727924302_364834691_1_2_0__6463&from_sustainable_property_sr=1&from=searchresults&map=1,Ljubljana,"3,1 km du centre","9,3",Fabuleux  ,1 très grand lit double,,3 453 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 65
Chambre Double sans Fenêtre,https://cf2.bstatic.com/xdata/images/hotel/square200/409033217.webp?k=d61b056c0bcfa5afa651db0ec48ea3d8ff5185e55e70442f4df4876afc680549&o=,The Hotel Ljubljana,https://www.booking.com/hotel/si/the-ljubljana.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-87271&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=cc936040443f00ee&srepoch=1698932485&all_sr_blocks=889049601_376102560_1_2_0&highlighted_blocks=889049601_376102560_1_2_0&matching_block_id=889049601_376102560_1_2_0&sr_pri_blocks=889049601_376102560_1_2_0__9079&from_sustainable_property_sr=1&from=searchresults&map=1,"Centre-ville de Ljubljana, Ljubljana",300 m du centre,"8,7",Superbe ,1 grand lit double,,1 318 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 91
