Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Chambre Simple,https://cf2.bstatic.com/xdata/images/hotel/square200/30747067.webp?k=7dee94f40ac3a7a5b3acdf4815e7267845200cc4415d8a0d707a131b2659103d&o=,Altius Boutique Hotel,https://www.booking.com/hotel/cy/altius-boutique.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2738616&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=612f5886736200ec&srepoch=1698928529&all_sr_blocks=45799404_89039740_1_1_0&highlighted_blocks=45799404_89039740_1_1_0&matching_block_id=45799404_89039740_1_1_0&sr_pri_blocks=45799404_89039740_1_1_0__9000&from=searchresults&map=1,Nicosie,"0,8 km du centre","7,3",Bien  ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,2 339 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 90
Chambre Simple,https://cf2.bstatic.com/xdata/images/hotel/square200/469084576.webp?k=16b8327ce4e355a6cad393b9ac7a868194bc384a436fe2c457c96b28464b0643&o=,NAGAS Hotel & Restaurant at Historical Part of Nicosia,https://www.booking.com/hotel/cy/family-apartments-lefkosa.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2738616&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=612f5886736200ec&srepoch=1698928529&all_sr_blocks=1025950502_375622290_0_2_0&highlighted_blocks=1025950502_375622290_0_2_0&matching_block_id=1025950502_375622290_0_2_0&sr_pri_blocks=1025950502_375622290_0_2_0__4675&from_sustainable_property_sr=1&from=searchresults&map=1,Nicosie,1 km du centre,"6,9",Note ,1 lit simple,Plus que 5 hébergements à ce prix sur notre site,69 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 55€ 47
Chambre Simple Supérieure,https://cf2.bstatic.com/xdata/images/hotel/square200/3894532.webp?k=d25b6d3c949602d340e30ee4a97d858c2200ba7cd7635e623a849974c37f29de&o=,Allegra GSP Sport Center,https://www.booking.com/hotel/cy/allegra-gsp-sport-center.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2738616&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=612f5886736200ec&srepoch=1698928529&all_sr_blocks=17203301_89029252_1_1_0&highlighted_blocks=17203301_89029252_1_1_0&matching_block_id=17203301_89029252_1_1_0&sr_pri_blocks=17203301_89029252_1_1_0__6000&from=searchresults&map=1,Nicosie,"6,4 km du centre","8,4",Très bien ,1 lit simple,Plus que 2 hébergements à ce prix sur notre site,215 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 60
Chambre Double ou Lits Jumeaux Standard,https://cf2.bstatic.com/xdata/images/hotel/square200/474268456.webp?k=a83ec3a118d6b40b0d81ae31112ac4b056fb2803c15b91557528ac929f5c8559&o=,Cleopatra Hotel,https://www.booking.com/hotel/cy/cleopatra.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2738616&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=612f5886736200ec&srepoch=1698928530&all_sr_blocks=34153201_89035806_0_41_0&highlighted_blocks=34153201_89035806_0_41_0&matching_block_id=34153201_89035806_0_41_0&sr_pri_blocks=34153201_89035806_0_41_0__14200&from=searchresults&map=1,Nicosie,"0,8 km du centre","7,4",Bien  ,Types de lits : 1 lit double ou 2 lits simples,Plus que 3 hébergements à ce prix sur notre site,755 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 142
Chambre Double,https://cf2.bstatic.com/xdata/images/hotel/square200/133233896.webp?k=6b749e349d7182ce73e6944cb7a265830e2bcc5ddc7bc33ddc1b90e6f002ec93&o=,Elysium Capital Residence,https://www.booking.com/hotel/cy/elysium-capital-residence.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2738616&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=612f5886736200ec&srepoch=1698928530&all_sr_blocks=50420902_146969278_0_0_0&highlighted_blocks=50420902_146969278_0_0_0&matching_block_id=50420902_146969278_0_0_0&sr_pri_blocks=50420902_146969278_0_0_0__4900&from=searchresults&map=1,Nicosie,"1,3 km du centre","6,6",Note ,Hébergement géré par un particulier,Plus que 2 hébergements à ce prix sur notre site,623 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 49
Lit Superposé dans Dortoir Mixte,https://cf2.bstatic.com/xdata/images/hotel/square200/157105019.webp?k=d9e6bb746a68a30e123e68d611f7f7da48ea82b9c6aef269b755eece84649729&o=,NEX Hostel,https://www.booking.com/hotel/cy/nex-hostel.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2738616&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=612f5886736200ec&srepoch=1698928530&all_sr_blocks=388951301_122167407_0_0_0&highlighted_blocks=388951301_122167407_0_0_0&matching_block_id=388951301_122167407_0_0_0&sr_pri_blocks=388951301_122167407_0_0_0__2200&from_sustainable_property_sr=1&from=searchresults&map=1,Nicosie,"0,9 km du centre","8,9",Superbe ,1 lit superposé,Plus que 3 lits à ce prix sur notre site,962 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 22
Chambre Simple avec Salle de Bains Commune,https://cf2.bstatic.com/xdata/images/hotel/square200/333992665.webp?k=dad019aa7f7c351df3701240de437b8534cdacdf5452773209b9d63a07cd2297&o=,Datacom Guest House,https://www.booking.com/hotel/cy/datacom-guest-house.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2738616&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=612f5886736200ec&srepoch=1698928530&all_sr_blocks=323669503_239223095_1_0_0&highlighted_blocks=323669503_239223095_1_0_0&matching_block_id=323669503_239223095_1_0_0&sr_pri_blocks=323669503_239223095_1_0_0__3825&from_sustainable_property_sr=1&from=searchresults&map=1,Nicosie,"1,8 km du centre","8,6",Superbe ,Hébergement géré par un particulier,Plus que 1 hébergement à ce prix sur notre site,255 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 45€ 38
Chambre Simple Supérieure,https://cf2.bstatic.com/xdata/images/hotel/square200/354871711.webp?k=fb0f19be11c0f77524c67658a97b9e0ec672c35e053dcbdb235e9c729b833738&o=,Castelli Hotel Nicosia,https://www.booking.com/hotel/cy/castelli.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2738616&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=612f5886736200ec&srepoch=1698928530&all_sr_blocks=2390804_95147786_0_1_0&highlighted_blocks=2390804_95147786_0_1_0&matching_block_id=2390804_95147786_0_1_0&sr_pri_blocks=2390804_95147786_0_1_0__9200&from=searchresults&map=1,Nicosie,300 m du centre,"7,2",Bien  ,Plusieurs types de lits,Plus que 5 hébergements à ce prix sur notre site,755 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Plusieurs types de lits,€ 92
Chambre Simple avec Balcon,https://cf2.bstatic.com/xdata/images/hotel/square200/451253487.webp?k=dc932e880e52b5b29e559b4966f2a5c4fc21487d2363a90c36bc84a25b7c8679&o=,The Tony,https://www.booking.com/hotel/cy/the-tony.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2738616&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=612f5886736200ec&srepoch=1698928530&all_sr_blocks=869428501_364466172_1_0_0&highlighted_blocks=869428501_364466172_1_0_0&matching_block_id=869428501_364466172_1_0_0&sr_pri_blocks=869428501_364466172_1_0_0__5000&from=searchresults&map=1,Nicosie,"0,7 km du centre","7,0",Bien  ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,79 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 50
Chambre Simple Classique,https://cf2.bstatic.com/xdata/images/hotel/square200/15260121.webp?k=4414dfea8f9b85aa1cf6f48d85baa5a59e5cb1713d19bca8341923329a72b920&o=,The Classic Hotel,https://www.booking.com/hotel/cy/theclassichotel.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2738616&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=612f5886736200ec&srepoch=1698928530&all_sr_blocks=1712401_95141928_0_1_0&highlighted_blocks=1712401_95141928_0_1_0&matching_block_id=1712401_95141928_0_1_0&sr_pri_blocks=1712401_95141928_0_1_0__14400&from_sustainable_property_sr=1&from=searchresults&map=1,Nicosie,250 m du centre,"7,9",Bien  ,Plusieurs types de lits,Plus que 2 hébergements à ce prix sur notre site,531 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Plusieurs types de lits,€ 144
