Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Chambre Simple Économique,https://cf.bstatic.com/xdata/images/hotel/square600/337259346.webp?k=23a12eed7899c808b8a46a64f09afd35b27874c43aa0e71ca9bc87be46a66446&o=,Hotel Kerber,https://www.booking.com/hotel/me/kerber.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-92306&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4b2d4f6630ec0163&srepoch=1698923856&all_sr_blocks=9893106_96192192_0_41_0&highlighted_blocks=9893106_96192192_0_41_0&matching_block_id=9893106_96192192_0_41_0&sr_pri_blocks=9893106_96192192_0_41_0__3936&from_sustainable_property_sr=1&from=searchresults&map=1,Podgorica,150 m du centre,"8,0",Très bien ,1 lit simple,Plus que 3 hébergements à ce prix sur notre site,1 066 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 53€ 39-25 %
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square600/32589245.webp?k=9bc4e69615cbf9f50f8acedc425d0fc16d1b6d447b2667660aa438689e666909&o=,Hotel Terminus,https://www.booking.com/hotel/me/terminus-hotel-podgorica.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-92306&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=4b2d4f6630ec0163&srepoch=1698923856&all_sr_blocks=47217601_86298709_0_1_0&highlighted_blocks=47217601_86298709_0_1_0&matching_block_id=47217601_86298709_0_1_0&sr_pri_blocks=47217601_86298709_0_1_0__4430&from=searchresults&map=1,Podgorica,"1,2 km du centre","8,7",Superbe ,1 lit simple,Plus que 2 hébergements à ce prix sur notre site,1 239 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 44
Chambre Lits Jumeaux avec Salle de Bains Privative,https://cf.bstatic.com/xdata/images/hotel/square600/10837761.webp?k=7a2e5fadbdf9069209f044bc455dad79cbe4dd5ddee6d7fca200a709d1d392d1&o=,Hotel Ambasador,https://www.booking.com/hotel/me/ambasador.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-92306&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=4b2d4f6630ec0163&srepoch=1698923856&all_sr_blocks=9914508_236955343_1_41_0&highlighted_blocks=9914508_236955343_1_41_0&matching_block_id=9914508_236955343_1_41_0&sr_pri_blocks=9914508_236955343_1_41_0__5430&from_sustainable_property_sr=1&from=searchresults&map=1,Podgorica,"0,9 km du centre","8,1",Très bien ,2 lits simples,Plus que 2 hébergements à ce prix sur notre site,327 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 lits simples,€ 54
Chambre Double,https://cf.bstatic.com/xdata/images/hotel/square600/176834725.webp?k=7d9f44a1d702be7cc86cb17172acf1879900e99c4d15a30c42196a9e987fd050&o=,Hotel Marienplatz Podgorica,https://www.booking.com/hotel/me/marienplatz-podgorica-crib-and-beer.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-92306&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=4b2d4f6630ec0163&srepoch=1698923856&all_sr_blocks=449254906_338822663_1_41_0&highlighted_blocks=449254906_338822663_1_41_0&matching_block_id=449254906_338822663_1_41_0&sr_pri_blocks=449254906_338822663_1_41_0__5090&from_sustainable_property_sr=1&from=searchresults&map=1,Podgorica,100 m du centre,"8,7",Superbe ,1 grand lit double,Plus que 1 hébergement à ce prix sur notre site,1 007 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 51
Chambre Lits Jumeaux Classique,https://cf.bstatic.com/xdata/images/hotel/square600/285245764.webp?k=f0a7034d8a31696a5c53a48a5adf6ab2f159e6f6e13d081f75431bfbeb17060e&o=,Hotel Podgorica,https://www.booking.com/hotel/me/podgorica-podgorica.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-92306&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=4b2d4f6630ec0163&srepoch=1698923856&all_sr_blocks=28750904_86354040_2_42_0&highlighted_blocks=28750904_86354040_2_42_0&matching_block_id=28750904_86354040_2_42_0&sr_pri_blocks=28750904_86354040_2_42_0__8690&from=searchresults&map=1,Podgorica,"0,5 km du centre","8,1",Très bien ,2 lits simples,Plus que 6 hébergements à ce prix sur notre site,1 880 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 lits simples,€ 87
Chambre Double ou Lits Jumeaux avec Salle de Bains Privative,https://cf.bstatic.com/xdata/images/hotel/square600/424042662.webp?k=dedc2544d3620957b7dc37bffd5a9bfdb1c4b8c1d6eaf037167c2c5c5d9edf6c&o=,Motel Celebic,https://www.booking.com/hotel/me/boutique-celebic.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-92306&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=4b2d4f6630ec0163&srepoch=1698923856&all_sr_blocks=941248301_366365906_1_0_0&highlighted_blocks=941248301_366365906_1_0_0&matching_block_id=941248301_366365906_1_0_0&sr_pri_blocks=941248301_366365906_1_0_0__3573&from=searchresults&map=1,Podgorica,"8,7 km du centre","8,9",Superbe ,Hébergement géré par un particulier,Plus que 6 hébergements à ce prix sur notre site,250 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 36
Dortoir Mixte de 8 Lits ,https://cf.bstatic.com/xdata/images/hotel/square600/340217287.webp?k=4d151ef25f0c0f2c6292418ebf8dcf7df700a9e2497a999b6ea3a57ae2f3263b&o=,Stars Aspava Blue HOSTEL,https://www.booking.com/hotel/me/stars-aspava-blue-hostel-podgorica1.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-92306&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=4b2d4f6630ec0163&srepoch=1698923856&all_sr_blocks=821860204_344946218_1_0_0&highlighted_blocks=821860204_344946218_1_0_0&matching_block_id=821860204_344946218_1_0_0&sr_pri_blocks=821860204_344946218_1_0_0__1490&from=searchresults&map=1,Podgorica,250 m du centre,"7,8",Bien  ,8 lits superposés,Plus que 4 à ce prix sur notre site,607 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Dortoir,€ 15
Chambre Double Supérieure,https://cf.bstatic.com/xdata/images/hotel/square600/287904347.webp?k=352eb5dab8aadb8fe5a644cbb723f4dfaff251eb59274b5224897f7d5fc2fda7&o=,CUE Podgorica,https://www.booking.com/hotel/me/cue-podgorica.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-92306&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=4b2d4f6630ec0163&srepoch=1698923856&all_sr_blocks=200257701_94223575_2_34_0&highlighted_blocks=200257701_94223575_2_34_0&matching_block_id=200257701_94223575_2_34_0&sr_pri_blocks=200257701_94223575_2_34_0__9750&from_sustainable_property_sr=1&from=searchresults&map=1,Podgorica,"1,5 km du centre","9,3",Fabuleux  ,1 très grand lit double,,413 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 98
Appartement 1 Chambre,https://cf.bstatic.com/xdata/images/hotel/square600/336511848.webp?k=27344792b455ce818f6d248e5fb0028380aeb09df2e6acf6cc7f7e4476d6555b&o=,NAKI Apartments,https://www.booking.com/hotel/me/ljubovic-apartmeni.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-92306&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=4b2d4f6630ec0163&srepoch=1698923856&all_sr_blocks=636286801_249195567_4_42_0&highlighted_blocks=636286801_249195567_4_42_0&matching_block_id=636286801_249195567_4_42_0&sr_pri_blocks=636286801_249195567_4_42_0__4140&from=searchresults&map=1,Podgorica,"1,7 km du centre","8,3",Très bien ,Hébergement géré par un particulier,,180 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 lit double, 1 canapé-lit)",€ 41
Chambre Double,https://cf.bstatic.com/xdata/images/hotel/square600/385659018.webp?k=36d0c9557b8350a2edbbefe35e1662e5e290d03d962c6ca6a675d71dbbd02f6c&o=,The european sun,https://www.booking.com/hotel/me/the-european-sun.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-92306&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=4b2d4f6630ec0163&srepoch=1698923856&all_sr_blocks=896082302_363690200_1_0_0&highlighted_blocks=896082302_363690200_1_0_0&matching_block_id=896082302_363690200_1_0_0&sr_pri_blocks=896082302_363690200_1_0_0__2590&from=searchresults&map=1,Podgorica,"0,8 km du centre","7,1",Bien  ,1 lit double,Plus que 2 hébergements à ce prix sur notre site,171 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 26
