Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Loft,https://cf.bstatic.com/xdata/images/hotel/square200/459871557.webp?k=713a142ef36c9acfcc178ddbb6b9e10c8864e9375023066388d24bc04fbe8532&o=,OREA Place Seno,https://www.booking.com/hotel/cz/orea-place-sensa-hlavni-mesto-praha.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-553173&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=dc9f466f1d360193&srepoch=1698919266&all_sr_blocks=725909305_334375764_3_0_0&highlighted_blocks=725909305_334375764_3_0_0&matching_block_id=725909305_334375764_3_0_0&sr_pri_blocks=725909305_334375764_3_0_0__33488&from_sustainable_property_sr=1&from=searchresults&map=1,"Prague 1, Prague","0,6 km du centre","9,4",Fabuleux  ,"2 lits (1 canapé-lit, 1 grand lit double)",Plus que 1 à ce prix sur notre site,1 330 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 canapé-lit, 1 grand lit double)",€ 520€ 335-36 %
Lit Superposé dans Dortoir pour Femmes ,https://cf.bstatic.com/xdata/images/hotel/square200/483077806.webp?k=a263cd4132ea05824815680cd5f581d75e12e06fa888fb5fdcfd5fac8e0a36f8&o=,Women's Only Hostel - Female Only,https://www.booking.com/hotel/cz/her-hostel-woman-39-s-only-hostel.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-553173&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=dc9f466f1d360193&srepoch=1698919266&all_sr_blocks=977591903_379997564_1_0_0&highlighted_blocks=977591903_379997564_1_0_0&matching_block_id=977591903_379997564_1_0_0&sr_pri_blocks=977591903_379997564_1_0_0__3236&from_sustainable_property_sr=1&from=searchresults&map=1,"Prague 1, Prague",200 m du centre,"9,4",Fabuleux  ,1 lit superposé,Plus que 2 lits à ce prix sur notre site,326 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 35€ 32-8 %
Chambre Simple Standard,https://cf.bstatic.com/xdata/images/hotel/square200/31822327.webp?k=76f6ca31e94afbf7a742d05a8301eb7a84b4f40062810b03ac15670a7cd737bd&o=,Attic Hotel,https://www.booking.com/hotel/cz/attic.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-553173&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=dc9f466f1d360193&srepoch=1698919266&all_sr_blocks=23612304_89030581_1_1_0&highlighted_blocks=23612304_89030581_1_1_0&matching_block_id=23612304_89030581_1_1_0&sr_pri_blocks=23612304_89030581_1_1_0__5416&from=searchresults&map=1,"Prague 4, Prague","4,6 km du centre","8,1",Très bien ,1 grand lit double,Plus que 2 hébergements à ce prix sur notre site,1 024 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 59€ 54-8 %
Lit Simple dans Dortoir pour Femmes,https://cf.bstatic.com/xdata/images/hotel/square200/468301927.webp?k=d6bd5b91d022c814364f4916558cf816e3f0ae1e82d0c0332c91895400483bcf&o=,New Generation Hostel Prague Center,https://www.booking.com/hotel/cz/new-generation-hostel-prague-center.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-553173&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=dc9f466f1d360193&srepoch=1698919266&all_sr_blocks=786335003_338169113_0_1_0&highlighted_blocks=786335003_338169113_0_1_0&matching_block_id=786335003_338169113_0_1_0&sr_pri_blocks=786335003_338169113_0_1_0__2520&from=searchresults&map=1,"Prague 1, Prague",250 m du centre,"7,1",Bien  ,1 lit simple,Plus que 1 lit à ce prix sur notre site,308 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 27€ 25-7 %
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square200/27075300.webp?k=a83bb7466c6a2b638c13eeba31b71b09d213af10b89c484c99eb274e51474a0a&o=,Hotel Meritum,https://www.booking.com/hotel/cz/meritum.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-553173&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=dc9f466f1d360193&srepoch=1698919266&all_sr_blocks=7733901_89028157_0_1_0&highlighted_blocks=7733901_89028157_0_1_0&matching_block_id=7733901_89028157_0_1_0&sr_pri_blocks=7733901_89028157_0_1_0__5270&from=searchresults&map=1,"Prague 6, Prague","7,9 km du centre","7,7",Bien  ,1 lit simple,Plus que 2 hébergements à ce prix sur notre site,792 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 57€ 53-8 %
Lit dans Dortoir Mixte de 5 Lits,https://cf.bstatic.com/xdata/images/hotel/square200/100129194.webp?k=2f0ac1700a5af8d68b9f8c73141b3df528645a557dc9f2dfda80d71e78c083ba&o=,Hostel Florenc,https://www.booking.com/hotel/cz/hostel-florenc.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-553173&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=dc9f466f1d360193&srepoch=1698919266&all_sr_blocks=174708005_90655367_0_1_0&highlighted_blocks=174708005_90655367_0_1_0&matching_block_id=174708005_90655367_0_1_0&sr_pri_blocks=174708005_90655367_0_1_0__3335&from_sustainable_property_sr=1&from=searchresults&map=1,"Prague 8, Prague","1,5 km du centre","8,5",Très bien ,1 lit superposé,Plus que 4 lits à ce prix sur notre site,2 325 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 33
Chambre Simple Économique,https://cf.bstatic.com/xdata/images/hotel/square200/423695297.webp?k=198cd18ef3e29a58706bee8d719105415d34044be621f32cf46b8a8c3c18cf4d&o=,Capsule hostel Andel Centre SPIRIT,https://www.booking.com/hotel/cz/capsule-hostel-andel-centre-spirit-hlavni-mesto-praha.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-553173&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=dc9f466f1d360193&srepoch=1698919266&all_sr_blocks=951023303_378202794_1_0_0&highlighted_blocks=951023303_378202794_1_0_0&matching_block_id=951023303_378202794_1_0_0&sr_pri_blocks=951023303_378202794_1_0_0__2884&from=searchresults&map=1,"Prague 5, Prague","2,5 km du centre","7,1",Bien  ,1 lit simple,,1 004 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 31€ 29-8 %
Chambre Double Standard,https://cf.bstatic.com/xdata/images/hotel/square200/234738039.webp?k=e8b54b6e2647be50a88ca283cf1f9780884f9f9c64d31f987451f2fb384a7c10&o=,Ibis Praha Mala Strana,https://www.booking.com/hotel/cz/ibis-praha-mala-strana.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-553173&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=dc9f466f1d360193&srepoch=1698919266&all_sr_blocks=27346001_376297364_2_2_0&highlighted_blocks=27346001_376297364_2_2_0&matching_block_id=27346001_376297364_2_2_0&sr_pri_blocks=27346001_376297364_2_2_0__357500&from=searchresults&map=1,"Prague 5, Prague","2,2 km du centre","8,0",Très bien ,1 grand lit double,Plus que 7 hébergements à ce prix sur notre site,3 100 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 145
Lit dans un dortoir de 4 lits,https://cf.bstatic.com/xdata/images/hotel/square200/137903830.webp?k=e09dc48216cd5241e3a97ce5ae75fe781006daba5fd3f86a7c7bf9e40a8d3340&o=,a&o Prague Rhea,https://www.booking.com/hotel/cz/fortunarhea.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-553173&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=dc9f466f1d360193&srepoch=1698919266&all_sr_blocks=7713414_91461871_0_2_0&highlighted_blocks=7713414_91461871_0_2_0&matching_block_id=7713414_91461871_0_2_0&sr_pri_blocks=7713414_91461871_0_2_0__32248&from_sustainable_property_sr=1&from=searchresults&map=1,Prague,"5,7 km du centre","7,9",Bien  ,1 lit superposé,Plus que 2 lits à ce prix sur notre site,15 830 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 13
Lit dans Dortoir Mixte de 8 Lits ,https://cf.bstatic.com/xdata/images/hotel/square200/157664995.webp?k=8d6559f81676e7dc4757ae33495f48f294b66be95ad196491fa2b0d8310dbedd&o=,Ahoy! Hostel,https://www.booking.com/hotel/cz/ahoy-hostel.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-553173&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=dc9f466f1d360193&srepoch=1698919266&all_sr_blocks=80105604_167614978_0_0_0&highlighted_blocks=80105604_167614978_0_0_0&matching_block_id=80105604_167614978_0_0_0&sr_pri_blocks=80105604_167614978_0_0_0__2388&from_sustainable_property_sr=1&from=searchresults&map=1,"Prague 1, Prague",450 m du centre,"8,5",Très bien ,1 lit superposé,Plus que 3 lits à ce prix sur notre site,145 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 34€ 24-29 %
Chambre Standard,https://cf.bstatic.com/xdata/images/hotel/square200/232797679.webp?k=46a08a9f847aad77b8b7f1ed2e52d3f6c7bc1188e3d0a712a0743a3899ba06b3&o=,Radisson Blu Hotel Prague,https://www.booking.com/hotel/cz/radisson-blu-hotel-prague.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-553173&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=dc9f466f1d360193&srepoch=1698919266&all_sr_blocks=2441938_152745341_2_2_0&highlighted_blocks=2441938_152745341_2_2_0&matching_block_id=2441938_152745341_2_2_0&sr_pri_blocks=2441938_152745341_2_2_0__19924&from_sustainable_property_sr=1&from=searchresults&map=1,"Prague 2, Prague","1,1 km du centre","8,6",Superbe ,Types de lits : 1 lit double ou 2 lits simples,Plus que 7 hébergements à ce prix sur notre site,3 460 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 199
