Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Chambre Double Supérieure,https://cf.bstatic.com/xdata/images/hotel/square200/18199781.webp?k=ea3236d39d708e749955d66ad7bff832ea3c27580e0667ee2165b74ab8dcd51f&o=,Hotel Cesare,https://www.booking.com/hotel/sm/cesare.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-127864&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=9c585bf153c5042e&srepoch=1698930277&all_sr_blocks=9821602_370122071_0_1_0&highlighted_blocks=9821602_370122071_0_1_0&matching_block_id=9821602_370122071_0_1_0&sr_pri_blocks=9821602_370122071_0_1_0__10599&from_sustainable_property_sr=1&from=searchresults&map=1,Saint-Marin,100 m du centre,"8,3",Très bien ,1 grand lit double,Plus que 1 hébergement à ce prix sur notre site,1 890 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 106
Chambre Double ou Lits Jumeaux Classique,https://cf.bstatic.com/xdata/images/hotel/square200/15871456.webp?k=b2174c40e98fd65d664395dee0851beb8d2c09dc0855a7b3b54b9b5c45094709&o=,Grand Hotel San Marino,https://www.booking.com/hotel/sm/grand-san-marino.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-127864&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=9c585bf153c5042e&srepoch=1698930277&all_sr_blocks=9837601_364318404_1_1_0&highlighted_blocks=9837601_364318404_1_1_0&matching_block_id=9837601_364318404_1_1_0&sr_pri_blocks=9837601_364318404_1_1_0__11316&from_sustainable_property_sr=1&from=searchresults&map=1,Saint-Marin,200 m du centre,"8,0",Très bien ,Types de lits : 1 lit double ou 2 lits simples,Plus que 7 hébergements à ce prix sur notre site,628 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 113
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square200/95785732.webp?k=974d9d60ae4b32a8d61fc0411afa0464bdf84ef5285689012f78bac37a031c55&o=,Hotel Crocenzi,https://www.booking.com/hotel/sm/crocenzi.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-127864&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9c585bf153c5042e&srepoch=1698930277&all_sr_blocks=9872601_89063678_0_1_0&highlighted_blocks=9872601_89063678_0_1_0&matching_block_id=9872601_89063678_0_1_0&sr_pri_blocks=9872601_89063678_0_1_0__5308&from=searchresults&map=1,Saint-Marin,"1,2 km du centre","7,7",Bien  ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,1 452 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 53
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square200/479178810.webp?k=84ca48e288256d1814b5d3c56bd1aa63f3a03a486b43f9be202d53f43db14299&o=,Hotel Dogana,https://www.booking.com/hotel/sm/dogana.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-127864&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=9c585bf153c5042e&srepoch=1698930277&all_sr_blocks=24136705_183724411_0_2_0&highlighted_blocks=24136705_183724411_0_2_0&matching_block_id=24136705_183724411_0_2_0&sr_pri_blocks=24136705_183724411_0_2_0__7307&from=searchresults&map=1,Saint-Marin,"6,1 km du centre","7,5",Bien  ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,1 863 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 73
Chambre Double ou Lits Jumeaux Classique,https://cf.bstatic.com/xdata/images/hotel/square200/117191103.webp?k=af0acfd2d15bf48c3cee71c8b64d65ba9f53f6ba4c6ca55310741fad93b4c478&o=,Hotel Titano,https://www.booking.com/hotel/sm/titano.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-127864&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=9c585bf153c5042e&srepoch=1698930277&all_sr_blocks=9836901_364318546_1_1_0&highlighted_blocks=9836901_364318546_1_1_0&matching_block_id=9836901_364318546_1_1_0&sr_pri_blocks=9836901_364318546_1_1_0__11316&from_sustainable_property_sr=1&from=searchresults&map=1,Saint-Marin,100 m du centre,"8,1",Très bien ,Types de lits : 1 lit double ou 2 lits simples,Plus que 3 hébergements à ce prix sur notre site,1 111 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 113
Chambre Double ou Lits Jumeaux,https://cf.bstatic.com/xdata/images/hotel/square200/142741381.webp?k=6e56482097838a3aa629a9e4918b76d97c7ee6bcc7f2167b33220a305c3ff974&o=,Hotel Rossi,https://www.booking.com/hotel/sm/rossi.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-127864&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=9c585bf153c5042e&srepoch=1698930277&all_sr_blocks=30280402_185755471_0_1_0&highlighted_blocks=30280402_185755471_0_1_0&matching_block_id=30280402_185755471_0_1_0&sr_pri_blocks=30280402_185755471_0_1_0__8131&from_sustainable_property_sr=1&from=searchresults&map=1,Saint-Marin,"1,9 km du centre","8,0",Très bien ,Types de lits : 1 lit double ou 2 lits simples,Plus que 1 hébergement à ce prix sur notre site,2 750 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 81
Lit dans Dortoir Mixte de 8 Lits ,https://cf.bstatic.com/xdata/images/hotel/square200/5324770.webp?k=e6a05d8c873bf890ea1fc046487812501dcb783a2df6132ef606e9995afcbab0&o=,Hostel San Marino,https://www.booking.com/hotel/sm/hostel-san-marino.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-127864&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=9c585bf153c5042e&srepoch=1698930277&all_sr_blocks=31257709_278345923_1_0_0&highlighted_blocks=31257709_278345923_1_0_0&matching_block_id=31257709_278345923_1_0_0&sr_pri_blocks=31257709_278345923_1_0_0__2130&from_sustainable_property_sr=1&from=searchresults&map=1,Saint-Marin,"1,4 km du centre","6,5",Note ,1 lit superposé,Plus que 7 lits à ce prix sur notre site,557 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 21
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square200/351576533.webp?k=997da05aa9e3107f2245444f8b183cf9ce28b68fe83b4980f70d2cf7e23a4097&o=,Hotel Joli,https://www.booking.com/hotel/sm/joli.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-127864&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=9c585bf153c5042e&srepoch=1698930277&all_sr_blocks=9821703_380255845_0_34_0&highlighted_blocks=9821703_380255845_0_34_0&matching_block_id=9821703_380255845_0_34_0&sr_pri_blocks=9821703_380255845_0_34_0__6432&from_sustainable_property_sr=1&from=searchresults&map=1,Saint-Marin,350 m du centre,"8,3",Très bien ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,1 737 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 64
Chambre Double,https://cf.bstatic.com/xdata/images/hotel/square200/449647385.webp?k=c0e51914e60cfeccb9cf9d94d4d1e436a492af1b3afcf93eadb03f88b6333aec&o=,Hotel La Rocca,https://www.booking.com/hotel/sm/la-rocca.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-127864&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=9c585bf153c5042e&srepoch=1698930277&all_sr_blocks=154121205_380298332_1_0_0&highlighted_blocks=154121205_380298332_1_0_0&matching_block_id=154121205_380298332_1_0_0&sr_pri_blocks=154121205_380298332_1_0_0__7825&from_sustainable_property_sr=1&from=searchresults&map=1,Saint-Marin,100 m du centre,"8,5",Très bien ,1 grand lit double,Plus que 1 hébergement à ce prix sur notre site,968 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 78
Studio,https://cf.bstatic.com/xdata/images/hotel/square200/27915501.webp?k=5b3bb4667b3dbe25f02debe159591467070dee650fc689c79c9caed60e2ed910&o=,Residence San Marino,https://www.booking.com/hotel/sm/residence-san-marino.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-127864&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=9c585bf153c5042e&srepoch=1698930277&all_sr_blocks=9882004_146301693_0_0_0&highlighted_blocks=9882004_146301693_0_0_0&matching_block_id=9882004_146301693_0_0_0&sr_pri_blocks=9882004_146301693_0_0_0__12560&from=searchresults&map=1,Saint-Marin,"6,8 km du centre","8,1",Très bien ,Hébergement géré par un particulier,Plus que 1 à ce prix sur notre site,641 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 126
