Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Lit dans Dortoir de 12 Lits,https://cf2.bstatic.com/xdata/images/hotel/square200/359275913.webp?k=00894c39857e50fa6571d823387009fbe528e97345e3779ec8392b270eba14f7&o=,Campus Community A-Hotel,https://www.booking.com/hotel/ua/a-hostel-kyiv.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1044367&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=058e535df33f0166&srepoch=1698925887&all_sr_blocks=481198809_341989040_0_0_0&highlighted_blocks=481198809_341989040_0_0_0&matching_block_id=481198809_341989040_0_0_0&sr_pri_blocks=481198809_341989040_0_0_0__34700&from=searchresults&map=1,"Pecherskyj, Kiev","1,6 km du centre","8,6",Superbe ,1 lit simple,,1 792 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,"€ 11€ 9
-17 %"
Lit Superposé dans Dortoir Mixte,https://cf2.bstatic.com/xdata/images/hotel/square200/482352283.webp?k=89a7bfd43e3220b74a9360332c54e6a14b1f11e739299b4113232de1f18be842&o=,Sun City Hostel 4,https://www.booking.com/hotel/ua/golden-city-hostel.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1044367&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=058e535df33f0166&srepoch=1698925887&all_sr_blocks=433571904_298133209_1_0_0&highlighted_blocks=433571904_298133209_1_0_0&matching_block_id=433571904_298133209_1_0_0&sr_pri_blocks=433571904_298133209_1_0_0__16150&from_sustainable_property_sr=1&from=searchresults&map=1,"Shevchenkivskyj, Kiev",2 km du centre,"8,8",Superbe ,1 lit simple,Plus que 7 lits à ce prix sur notre site,206 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 4
Chambre Lit Queen-Size - Non-Fumeurs,https://cf2.bstatic.com/xdata/images/hotel/square200/293169455.webp?k=44d597ad27f047ebafa948546a0bbde984b4d6a8b00d3cc0c1a7ebab30b19a23&o=,"Holiday Inn - Kyiv, an IHG Hotel",https://www.booking.com/hotel/ua/holiday-inn-kiev.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1044367&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=058e535df33f0166&srepoch=1698925887&all_sr_blocks=42182523_287713046_2_34_0&highlighted_blocks=42182523_287713046_2_34_0&matching_block_id=42182523_287713046_2_34_0&sr_pri_blocks=42182523_287713046_2_34_0__7073&from_sustainable_property_sr=1&from=searchresults&map=1,"Shevchenkivskyj, Kiev","2,6 km du centre","9,0",Fabuleux  ,1 grand lit double,,1 189 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 71
Chambre Double Standard,https://cf2.bstatic.com/xdata/images/hotel/square200/487343735.webp?k=3e8f0df972468ebb50a8099cdb3907a683ef16d248edb263718076ef1f0ff0ad&o=,Khreschatyk Hotel,https://www.booking.com/hotel/ua/khreschatyk-kiyiv.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1044367&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=058e535df33f0166&srepoch=1698925887&all_sr_blocks=1066379501_379041532_1_2_0&highlighted_blocks=1066379501_379041532_1_2_0&matching_block_id=1066379501_379041532_1_2_0&sr_pri_blocks=1066379501_379041532_1_2_0__195700&from=searchresults&map=1,"Shevchenkivskyj, Kiev",200 m du centre,"8,7",Superbe ,1 très grand lit double,Plus que 2 hébergements à ce prix sur notre site,248 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 51
Chambre Double Standard,https://cf2.bstatic.com/xdata/images/hotel/square200/483946156.webp?k=4f295b7cd1c50e626a73cb4f9c263ef492bc6a33a0c229fcf7ea065c29221e55&o=,Ukraine Hotel,https://www.booking.com/hotel/ua/ukraine.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1044367&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=058e535df33f0166&srepoch=1698925887&all_sr_blocks=32367301_296011850_1_2_0&highlighted_blocks=32367301_296011850_1_2_0&matching_block_id=32367301_296011850_1_2_0&sr_pri_blocks=32367301_296011850_1_2_0__153507&from_sustainable_property_sr=1&from=searchresults&map=1,"Pecherskyj, Kiev",150 m du centre,"7,7",Bien  ,1 grand lit double,,5 320 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,"€ 50€ 40
-19 %"
Chambre Lits Jumeaux Économique,https://cf2.bstatic.com/xdata/images/hotel/square200/337412736.webp?k=39d4738f9ce46be12fce4e0ed9da81059f1e717247e7e4b9acb2618f4039e293&o=,Hotel Mir,https://www.booking.com/hotel/ua/hotel-mir-kiev.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1044367&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=058e535df33f0166&srepoch=1698925887&all_sr_blocks=34395607_87121980_0_42_0&highlighted_blocks=34395607_87121980_0_42_0&matching_block_id=34395607_87121980_0_42_0&sr_pri_blocks=34395607_87121980_0_42_0__89900&from_sustainable_property_sr=1&from=searchresults&map=1,"Holosiivskyj, Kiev","5,7 km du centre","7,9",Bien  ,2 lits simples,Plus que 5 hébergements à ce prix sur notre site,1 927 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 lits simples,"€ 29€ 23
-19 %"
Chambre Double Standard,https://cf2.bstatic.com/xdata/images/hotel/square200/362732175.webp?k=f078d8ebaeff6054fab737e377b23d784c89991665f870b96897ea9a845857a1&o=,Premier Hotel Rus,https://www.booking.com/hotel/ua/rus.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1044367&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=058e535df33f0166&srepoch=1698925887&all_sr_blocks=9921302_264957611_0_2_0&highlighted_blocks=9921302_264957611_0_2_0&matching_block_id=9921302_264957611_0_2_0&sr_pri_blocks=9921302_264957611_0_2_0__159700&from_sustainable_property_sr=1&from=searchresults&map=1,"Pecherskyj, Kiev","1,5 km du centre","7,9",Bien  ,1 lit double,,3 446 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 42
Chambre Double sans Fenêtre,https://cf2.bstatic.com/xdata/images/hotel/square200/279064417.webp?k=3a50384c823bf68d218a20081225e9674f3b94f0e906cc1398622b2cbd963843&o=,irisHotels,https://www.booking.com/hotel/ua/dnd-n-ndod3-4ndud-n.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1044367&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=058e535df33f0166&srepoch=1698925887&all_sr_blocks=39760108_334433467_0_0_0&highlighted_blocks=39760108_334433467_0_0_0&matching_block_id=39760108_334433467_0_0_0&sr_pri_blocks=39760108_334433467_0_0_0__85665&from=searchresults&map=1,"Shevchenkivskyj, Kiev","2,2 km du centre","7,2",Bien  ,1 grand lit double,,3 237 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,"€ 26€ 22
-14 %"
Chambre Double ou Lits Jumeaux Standard,https://cf2.bstatic.com/xdata/images/hotel/square200/498105805.webp?k=509f33697b60bef90972a1092ec7d660be1adeae75cfb0f6749e1d8fdfda8323&o=,Natsionalny Hotel,https://www.booking.com/hotel/ua/natsionalny-hotel-kiev.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1044367&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=058e535df33f0166&srepoch=1698925887&all_sr_blocks=34020906_86322490_0_42_0&highlighted_blocks=34020906_86322490_0_42_0&matching_block_id=34020906_86322490_0_42_0&sr_pri_blocks=34020906_86322490_0_42_0__176700&from=searchresults&map=1,"Pecherskyj, Kiev","0,9 km du centre","8,5",Très bien ,Types de lits : 1 lit double ou 2 lits simples,Plus que 2 hébergements à ce prix sur notre site,468 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,"€ 57€ 46
-19 %"
Chambre Double Classique avec Vue sur la Rivière,https://cf2.bstatic.com/xdata/images/hotel/square200/168583617.webp?k=75af4d16d2913c8fb06edb53bac56fec4d4e04d2e9c8aa273e258951f528af45&o=,Bakkara Hotel,https://www.booking.com/hotel/ua/bakkara.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1044367&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=058e535df33f0166&srepoch=1698925887&all_sr_blocks=23888656_344388514_2_2_0&highlighted_blocks=23888656_344388514_2_2_0&matching_block_id=23888656_344388514_2_2_0&sr_pri_blocks=23888656_344388514_2_2_0__219200&from=searchresults&map=1,"Dniprovskyj, Kiev",3 km du centre,"8,1",Très bien ,1 grand lit double,Plus que 6 hébergements à ce prix sur notre site,1 774 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,"€ 67€ 57
-15 %"
