Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Appartement 1 Chambre,https://cf.bstatic.com/xdata/images/hotel/square600/450262946.webp?k=8068904d41c168dd781a578cafa4a3e4245ac21c730c1bf769a7979fc6324d00&o=,LUXURY APARTMENT DUBRAVA,https://www.booking.com/hotel/hr/luxury-apartment-dubrava.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=993421901_372284410_5_0_0&highlighted_blocks=993421901_372284410_5_0_0&matching_block_id=993421901_372284410_5_0_0&sr_pri_blocks=993421901_372284410_5_0_0__11700&from=searchresults&map=1,Zagreb,"7,3 km du centre",,,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,Taxes et frais compris,"3 lits (1 canapé-lit, 2 grands lits doubles)",€ 117
Chambre Double Économique,https://cf.bstatic.com/xdata/images/hotel/square600/290650919.webp?k=189b70dcdc101c82a1e6963c12dbdeba4c95e75bdfcea86104bba58ed5deea1b&o=,Hotel Laguna Zagreb,https://www.booking.com/hotel/hr/laguna-zagreb.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=24406105_86304825_1_42_0&highlighted_blocks=24406105_86304825_1_42_0&matching_block_id=24406105_86304825_1_42_0&sr_pri_blocks=24406105_86304825_1_42_0__4324&from=searchresults&map=1,Zagreb,"1,8 km du centre","6,4",Note ,1 grand lit double,Plus que 2 hébergements à ce prix sur notre site,1 509 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 43
Lit Simple dans Dortoir à 6 Lits,https://cf.bstatic.com/xdata/images/hotel/square600/215329764.webp?k=c2da12fae7388814c31e2d1e2d04f4cba4778263fc4581f2c044b9afa03f859e&o=,HI Hostel Zagreb,https://www.booking.com/hotel/hr/hi-hostel-zagreb.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=41969303_366453858_0_0_0&highlighted_blocks=41969303_366453858_0_0_0&matching_block_id=41969303_366453858_0_0_0&sr_pri_blocks=41969303_366453858_0_0_0__2009&from=searchresults&map=1,"Lower Town, Zagreb","0,8 km du centre","6,9",Note ,1 lit superposé,,2 622 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 20
Chambre Double ou Lits Jumeaux avec Salle de Bains,https://cf.bstatic.com/xdata/images/hotel/square600/474162326.webp?k=cbc5dc88e1146957f749f198e99ffe3636de7a8745ed366e1683b1c747f036d3&o=,My Way House,https://www.booking.com/hotel/hr/my-way-house-zagreb3.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=1036785803_376222241_2_0_0&highlighted_blocks=1036785803_376222241_2_0_0&matching_block_id=1036785803_376222241_2_0_0&sr_pri_blocks=1036785803_376222241_2_0_0__4659&from=searchresults&map=1,"Lower Town, Zagreb","0,9 km du centre","7,6",Bien  ,1 lit double,Plus que 3 hébergements à ce prix sur notre site,91 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 47
Lit dans Dortoir Mixte de 6 Lits,https://cf.bstatic.com/xdata/images/hotel/square600/309412352.webp?k=fd9f4117ac61b5dfb701bd6cde06da08e3f9c216149ba31cb947b6b6acbb575f&o=,Himalayan Hostel,https://www.booking.com/hotel/hr/appa-himalayan-hostel.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=741980104_357912051_0_0_0&highlighted_blocks=741980104_357912051_0_0_0&matching_block_id=741980104_357912051_0_0_0&sr_pri_blocks=741980104_357912051_0_0_0__2000&from=searchresults&map=1,"Lower Town, Zagreb","0,7 km du centre","8,1",Très bien ,1 lit superposé,Plus que 1 lit à ce prix sur notre site,747 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 20
Lit Simple dans Dortoir pour Hommes,https://cf.bstatic.com/xdata/images/hotel/square600/139367995.webp?k=710fa7e5ba8f483bc0a00338322d3c978e7de62d43ac6f94d1cfdfd5e86ef74d&o=,Love Croatia Hostel-Mir Guesthouse Zagreb,https://www.booking.com/hotel/hr/reobeukeuroatia.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=323358203_363234965_1_1_0&highlighted_blocks=323358203_363234965_1_1_0&matching_block_id=323358203_363234965_1_1_0&sr_pri_blocks=323358203_363234965_1_1_0__3353&from_sustainable_property_sr=1&from=searchresults&map=1,"Upper Town – Medvescak, Zagreb","0,5 km du centre","8,1",Très bien ,Hébergement géré par un particulier,,506 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 34
Appartement,https://cf.bstatic.com/xdata/images/hotel/square600/230644999.webp?k=764b0694540ad84f31582d7fab3ac4dfbacf5c7656d8cbf809470ac9d0e21262&o=,Apartments Rooms FONTANE TRNJE,https://www.booking.com/hotel/hr/apartments-zagreb-3.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=588265502_338357081_2_0_0&highlighted_blocks=588265502_338357081_2_0_0&matching_block_id=588265502_338357081_2_0_0&sr_pri_blocks=588265502_338357081_2_0_0__6000&from=searchresults&map=1,Zagreb,"1,6 km du centre","6,9",Note ,Hébergement géré par un particulier,Plus que 4 à ce prix sur notre site,931 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 60
Appartement 1 Chambre,https://cf.bstatic.com/xdata/images/hotel/square600/374827263.webp?k=cba533c6fc4187e5bc126cc647511c4ad6285d6c202ecb669d5370ced4f2c4de&o=,Cozy uppertown studio,https://www.booking.com/hotel/hr/chic-zagreb-accommodation.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=880011501_357587108_1_0_0&highlighted_blocks=880011501_357587108_1_0_0&matching_block_id=880011501_357587108_1_0_0&sr_pri_blocks=880011501_357587108_1_0_0__4700&from=searchresults&map=1,"Upper Town – Medvescak, Zagreb",1 km du centre,"8,2",Très bien ,Hébergement géré par un particulier,Plus que 1 à ce prix sur notre site,57 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 47
Chambre Double,https://cf.bstatic.com/xdata/images/hotel/square600/466906087.webp?k=2f10590ad4b0d9391a445e7da100d0206f4d6c1fe8f0921da1c1f09e7d758a9f&o=,TOMY,https://www.booking.com/hotel/hr/tomy-zagreb.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=864346503_370722646_2_0_0&highlighted_blocks=864346503_370722646_2_0_0&matching_block_id=864346503_370722646_2_0_0&sr_pri_blocks=864346503_370722646_2_0_0__4100&from_sustainable_property_sr=1&from=searchresults&map=1,Zagreb,"2,2 km du centre","8,2",Très bien ,Hébergement géré par un particulier,Plus que 2 hébergements à ce prix sur notre site,315 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 41
Appartement Deluxe,https://cf.bstatic.com/xdata/images/hotel/square600/175029098.webp?k=a12539ed519d8b4f8a2286551f3a9a70151e19d283bf18d382a8647b6bb23879&o=,Palace Apartments by ZGrent,https://www.booking.com/hotel/hr/palace-apartments-by-zgrent.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=443905902_133921306_2_0_0&highlighted_blocks=443905902_133921306_2_0_0&matching_block_id=443905902_133921306_2_0_0&sr_pri_blocks=443905902_133921306_2_0_0__8000&from_sustainable_property_sr=1&from=searchresults&map=1,"Lower Town, Zagreb","0,7 km du centre","8,3",Très bien ,Hébergement géré par un particulier,Plus que 2 à ce prix sur notre site,220 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 80
