Titre,Lien_du_titre,Date,eventresultdate1,eventresultdate2,location,location3,eventresultgenreitem,eventresultartistlink,prix,btn
"
      LE ROI LION
    ",https://www.ticketmaster.fr/fr/manifestation/le-roi-lion-billet/idmanif/554055,"
    Du
    
      20 septembre 2023
    
    au
    
      30 juin 2024
    ","
      20 septembre 2023
    ","
      30 juin 2024
    ",THEATRE MOGADOR,PARIS,SPECTACLE ET COMEDIE MUSICALE - COMEDIE MUSICALE,"
          LE ROI LION
        ","
      à partir de
      26.00 €","
      Réserver
      
        LE ROI LION, PARIS, , 20 septembre 2023
      "
"
      WEST SIDE STORY
    ",https://www.ticketmaster.fr/fr/manifestation/west-side-story-billet/idmanif/541908,"
    Du
    
      20 octobre 2023
    
    au
    
      31 décembre 2023
    ","
      20 octobre 2023
    ","
      31 décembre 2023
    ",THEATRE DU CHATELET,PARIS,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,"
          WEST SIDE STORY
        ","
      à partir de
      39.90 €","
      Réserver
      
        WEST SIDE STORY, PARIS, , 20 octobre 2023
      "
"
      BLACK LEGENDS, LE MUSICAL
    ",https://www.ticketmaster.fr/fr/manifestation/black-legends-le-musical-billet/idmanif/549395,"
    Du
    
      5 octobre 2023
    
    au
    
      28 janvier 2024
    ","
      5 octobre 2023
    ","
      28 janvier 2024
    ",LE 13EME ART,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,"
          BLACK LEGENDS
        ","
      à partir de
      29.00 €","
      Réserver
      
        BLACK LEGENDS, LE MUSICAL, PARIS, , 5 octobre 2023
      "
"
      MAMMA MIA ! LE MUSICAL
    ",https://www.ticketmaster.fr/fr/manifestation/mamma-mia-le-musical-billet/idmanif/548443,"
    Du
    
      21 octobre 2023
    
    au
    
      21 janvier 2024
    ","
      21 octobre 2023
    ","
      21 janvier 2024
    ",CASINO DE PARIS,PARIS,SPECTACLE ET COMEDIE MUSICALE - COMEDIE MUSICALE,"
          MAMMA MIA
        ","
      à partir de
      16.00 €","
      Réserver
      
        MAMMA MIA ! LE MUSICAL, PARIS, , 21 octobre 2023
      "
"
      DISNEY BILLET DATE 1 JOUR
    ",https://www.ticketmaster.fr/fr/manifestation/disney-billet-date-1-jour-billet/idmanif/564944,"
    Du
    
      3 octobre 2023
    
    au
    
      2 octobre 2024
    ","
      3 octobre 2023
    ","
      2 octobre 2024
    ",DISNEYLAND PARIS,MARNE LA VALLEE CEDEX 4,PARC - PARC DE LOISIRS,"
          DISNEYLAND PARIS
        ","
      à partir de
      52.00 €","
      Réserver
      
        DISNEY BILLET DATE 1 JOUR, MARNE LA VALLEE CEDEX 4, , 3 octobre 2023
      "
"
      DISNEY BILLET DATE 2 JOURS
    ",https://www.ticketmaster.fr/fr/manifestation/disney-billet-date-2-jours-billet/idmanif/565146,"
    Du
    
      3 octobre 2023
    
    au
    
      31 mars 2025
    ","
      3 octobre 2023
    ","
      31 mars 2025
    ",DISNEYLAND PARIS,MARNE LA VALLEE CEDEX 4,PARC - PARC DE LOISIRS,"
          DISNEYLAND PARIS
        ","
      à partir de
      132.00 €","
      Réserver
      
        DISNEY BILLET DATE 2 JOURS, MARNE LA VALLEE CEDEX 4, , 3 octobre 2023
      "
"
      DISNEY BILLET DATE 3 JOURS
    ",https://www.ticketmaster.fr/fr/manifestation/disney-billet-date-3-jours-billet/idmanif/565263,"
    Du
    
      3 octobre 2023
    
    au
    
      31 mars 2025
    ","
      3 octobre 2023
    ","
      31 mars 2025
    ",DISNEYLAND PARIS,MARNE LA VALLEE CEDEX 4,PARC - PARC DE LOISIRS,"
          DISNEYLAND PARIS
        ","
      à partir de
      186.00 €","
      Réserver
      
        DISNEY BILLET DATE 3 JOURS, MARNE LA VALLEE CEDEX 4, , 3 octobre 2023
      "
"
      SHERLOCK HOLMES
    ",https://www.ticketmaster.fr/fr/manifestation/sherlock-holmes-billet/idmanif/552690,"
    Du
    
      24 octobre 2023
    
    au
    
      25 novembre 2023
    ","
      24 octobre 2023
    ","
      25 novembre 2023
    ",LE 13EME ART,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,"
          SHERLOCK HOLMES
        ","
      à partir de
      19.00 €","
      Réserver
      
        SHERLOCK HOLMES, PARIS, , 24 octobre 2023
      "
"
      INHALER
    ",https://www.ticketmaster.fr/fr/manifestation/inhaler-billet/idmanif/547726,"
    Du
    
      24 octobre 2023
    
    au
    
      25 octobre 2023
    ","
      24 octobre 2023
    ","
      25 octobre 2023
    ",La Cigale,PARIS,CONCERT - POP ROCK FOLK,"
          INHALER
        ","
      à partir de
      29.70 €","
      Réserver
      
        INHALER, PARIS, , 24 octobre 2023
      "
"
      VIKTOR VINCENT - FANTASTIK
    ",https://www.ticketmaster.fr/fr/manifestation/viktor-vincent-fantastik-billet/idmanif/550418,"
    Du
    
      6 octobre 2023
    
    au
    
      7 janvier 2024
    ","
      6 octobre 2023
    ","
      7 janvier 2024
    ",THEATRE DE LA TOUR EIFFEL,PARIS,SPECTACLE ET COMEDIE MUSICALE - MAGIE,"
          VIKTOR VINCENT
        ","
      à partir de
      17.00 €","
      Réserver
      
        VIKTOR VINCENT - FANTASTIK, PARIS, , 6 octobre 2023
      "
