Titre,Lien_du_titre,Date,Lieux,Prix
BD Festival Presents: Day Of The Dead 2023,https://www.eventbrite.ie/e/bd-festival-presents-day-of-the-dead-2023-tickets-648984709737?aff=ebdssbdestsearch,Glendalough House,,"55,58 €"
ADMISSION /  EINTRITT @ German Film & Comic Con Winter Edition 2023,https://www.eventbrite.de/e/admission-eintritt-german-film-comic-con-winter-edition-2023-tickets-484420423527?aff=ebdssbdestsearch,Messe Dortmund GmbH / Eingang Nord,,"26,37 €"
MALLOWEEN 2023 - THE HILAND HALLOWEEN SPOOKTACULAR+++!,https://www.eventbrite.ie/e/malloween-2023-the-hiland-halloween-spooktacular-tickets-695563528237?aff=ebdssbdestsearch,"sam. 28 oct., 21:00",Safari's Niteclub (The Hiland),"20,52 €"
BROCK  1st Years,https://www.eventbrite.ie/e/brock-1st-years-tickets-734961348177?aff=ebdssbdestsearch,"sam. 28 oct., 20:00",Blackrock National Hurling Club,"22,42 €"
Red Bull Dance Your Style World Final 2023,https://www.eventbrite.de/e/red-bull-dance-your-style-world-final-2023-tickets-477090820487?aff=ebdssbdestsearch,"sam. 4 nov., 18:00",Festhalle Frankfurt,"10,00 €"
Miveg 2023,https://www.eventbrite.it/e/biglietti-miveg-2023-705450530527?aff=ebdssbdestsearch,samedi prochain à 10:00,Studio Novanta - East End Studios,"0,00 €"
Mini MeXx Halloween Party 2023,https://www.eventbrite.ie/e/mini-mexx-halloween-party-2023-tickets-731163629097?aff=ebdssbdestsearch,vendredi prochain à 20:30,"Mini MeXx Nite Life @ Four Seasons Hotel & Leisure Club, Monaghan","17,02 €"
"""HackInBo Classic Edition Winter 2023 - 21° Edizione",https://www.eventbrite.it/e/registrazione-hackinbo-classic-edition-winter-2023-21-edizione-704445654917?aff=ebdssbdestsearch,"sam. 18 nov., 09:00",Zanhotel & Meeting Centergross,"0,00 €"
BiznagaFest 2023,https://www.eventbrite.es/e/entradas-biznagafest-2023-638556609007?aff=ebdssbdestsearch,samedi prochain à 09:30,E.T.S. Ingeniería Informática. Universidad de Málaga,"9,66 €"
N3 Teenage Disco Cavan,https://www.eventbrite.ie/e/n3-teenage-disco-cavan-tickets-719250005127?aff=ebdssbdestsearch,vendredi prochain à 21:00,The Lavey Inn,"21,49 €"
Shade Presents: Haunted House at Tamango Nightclub | 1st Years,https://www.eventbrite.ie/e/shade-presents-haunted-house-at-tamango-nightclub-1st-years-tickets-713102186837?aff=ebdssbdestsearch,"mer. 1 nov., 20:00",Tamangos,"21,91 €"
FutureTravel Summit 2023,https://www.eventbrite.co.uk/e/futuretravel-summit-2023-tickets-465734744157?aff=ebdssbdestsearch,vendredi prochain à 10:00,Estrella Damm,"180,00 €"
Junior Xangos - 27th October,https://www.eventbrite.ie/e/junior-xangos-27th-october-tickets-728123746727?aff=ebdssbdestsearch,vendredi prochain à 20:00,Castle Arch Hotel,"15,18 €"
Cork Jazz Festival Club at The Metropole Hotel Cork,https://www.eventbrite.ie/e/cork-jazz-festival-club-at-the-metropole-hotel-cork-tickets-671345100267?aff=ebdssbdestsearch,The Metropole Hotel Cork,,"0,00 €"
Ausverkauft: HILDESHEIMS GRÖSSTE HALLOWEEN-PARTY! |  29.10. Kufa Hildesheim,https://www.eventbrite.de/e/ausverkauft-hildesheims-grosste-halloween-party-2910-kufa-hildesheim-tickets-705275717657?aff=ebdssbdestsearch,"dim. 29 oct., 21:00",Kulturfabrik Löseke e.V.,"9,40 €"
#campilehalldisco,https://www.eventbrite.ie/e/campilehalldisco-tickets-732836191777?aff=ebdssbdestsearch,vendredi prochain à 21:00,Y34 DT10,"11,70 €"
Product Management Day 2023,https://www.eventbrite.it/e/biglietti-product-management-day-2023-489983883987?aff=ebdssbdestsearch,Nana Bianca,,"140,00 €"
ALEX SERRA & TOTI DUB // LA CHICA en Barcelona,https://www.eventbrite.es/e/entradas-alex-serra-toti-dub-la-chica-en-barcelona-654980744037?aff=ebdssbdestsearch,vendredi prochain à 21:00,Sala Paral·lel 62,"21,36 €"
Red Bull League of its own,https://www.eventbrite.de/e/red-bull-league-of-its-own-tickets-708403623307?aff=ebdssbdestsearch,"sam. 9 déc., 14:00",Velodrom,"29,99 €"
An Orchestral Rendition of Dr. Dre: 2001 - Amsterdam,https://www.eventbrite.co.uk/e/an-orchestral-rendition-of-dr-dre-2001-amsterdam-tickets-705955561087?aff=ebdssbdestsearch,"ven. 3 nov., 19:00",Panama,"33,17 €"
Fomhair Festival presents FreakNight 2023,https://www.eventbrite.co.uk/e/fomhair-festival-presents-freaknight-2023-tickets-690814894947?aff=ebdssbdestsearch,"sam. 28 oct., 16:00",Live At The Big Top Donegal,"47,35 €"
Martin Hayes & The Common Ground Ensemble,https://www.eventbrite.ie/e/martin-hayes-the-common-ground-ensemble-tickets-629105380127?aff=ebdssbdestsearch,aujourd’hui à 20:00,Live at St Luke's,"35,20 €"
EXTREMODURO + PLATERO Y TU + MAREA + LA RAIZ (SESION ESPECIAL),https://www.eventbrite.es/e/entradas-extremoduro-platero-y-tu-marea-la-raiz-sesion-especial-723280249697?aff=ebdssbdestsearch,"sam. 4 nov., 23:30",Independance Club,"0,00 €"
7ème Ed. du Madras Day - Salon du Madras,https://www.eventbrite.fr/e/billets-7eme-ed-du-madras-day-salon-du-madras-486740573157?aff=ebdssbdestsearch,samedi prochain à 10:00,Paris,"0,00 €"
Billy Bragg,https://www.eventbrite.ie/e/billy-bragg-tickets-561029092117?aff=ebdssbdestsearch,"lun. 20 nov., 19:00",Cyprus Avenue,"38,50 €"
Bixiga 70,https://www.eventbrite.ie/e/bixiga-70-tickets-670742959247?aff=ebdssbdestsearch,"dim. 29 oct., 20:00",Live at St Luke's,"24,64 €"
Hypnotic Brass Ensemble presents Celestial Sounds,https://www.eventbrite.ie/e/hypnotic-brass-ensemble-presents-celestial-sounds-tickets-704496567197?aff=ebdssbdestsearch,samedi prochain à 14:00,Live at St Luke's,"35,20 €"
FIA :: The Trilogy Tour - Live in Amsterdam :: Extra Concert October 24th,https://www.eventbrite.nl/e/tickets-fia-the-trilogy-tour-live-in-amsterdam-extra-concert-october-24th-598871519837?aff=ebdssbdestsearch,mardi prochain à 20:00,Dominicuskerk,"21,80 €"
Porto Tech Hub Conference 2023,https://www.eventbrite.pt/e/porto-tech-hub-conference-2023-tickets-593395761697?aff=ebdssbdestsearch,vendredi prochain à 08:30,Alfandega Congress Center,"90,00 €"
Killarney Pumpkin Farm 2023,https://www.eventbrite.ie/e/killarney-pumpkin-farm-2023-tickets-651647724887?aff=ebdssbdestsearch,"mar. 31 oct., 18:00 + 51 en plus",Killarney Pumpkin Farm,"16,20 €"
BARCELONA TECH JOB FAIR AUTUMN 2023,https://www.eventbrite.co.uk/e/barcelona-tech-job-fair-autumn-2023-tickets-641266002877?aff=ebdssbdestsearch,mercredi prochain à 18:00,ILUNION Barcelona,"0,00 €"
