Titre,Lien_du_titre,eventresultdate,eventresultdate1,eventresultdate2,location_lien,location,location3,eventresultgenreitem,eventresultartistlink,prix
"
      ENTREE WELLNESS ET FITNESS
    ",https://www.ticketmaster.fr/fr/manifestation/entree-wellness-et-fitness-billet/idmanif/517024,"
    Du
    
      1 janvier 2022
    
    au
    
      31 décembre 2024
    ","
      1 janvier 2022
    ","
      31 décembre 2024
    ",https://www.ticketmaster.fr/fr/salle/mondorf-domaine-thermal/idsite/13281,MONDORF DOMAINE THERMAL,MONDORF LES BAINS,LOISIRS ET TOURISME - BIEN-ETRE ET SPORT,"
          MONDORF DOMAINE THERMAL
        ","
      à partir de
      27.00 €"
"
      WALIBI BELGIUM - JOURNEES TERRIFIANTES
    ",https://www.ticketmaster.fr/fr/manifestation/walibi-belgium-journees-terrifiantes-billet/idmanif/563484,"
    Du
    
      21 octobre 2023
    
    au
    
      4 novembre 2023
    ","
      21 octobre 2023
    ","
      4 novembre 2023
    ",https://www.ticketmaster.fr/fr/salle/walibi-belgium/idsite/5307,WALIBI BELGIUM,WAVRE,PARC - PARC DE LOISIRS,"
          WALIBI BELGIUM
        ","
      à partir de
      46.00 €"
"
      PLOPSALAND - PASS SAISON
    ",https://www.ticketmaster.fr/fr/manifestation/plopsaland-pass-saison-billet/idmanif/546911,"
    Du
    
      9 février 2023
    
    au
    
      27 mars 2024
    ","
      9 février 2023
    ","
      27 mars 2024
    ",https://www.ticketmaster.fr/fr/salle/plopsaland/idsite/3471,PLOPSALAND,LA PANNE,PARC - PARC DE LOISIRS,"
          PLOPSALAND
        ","
      à partir de
      55.00 €"
"
      BELLEWAERDE - HALLOWEEN 21/10 & 04/11/23
    ",https://www.ticketmaster.fr/fr/manifestation/bellewaerde-halloween-21-10-04-11-23-billet/idmanif/564117,"
    Du
    
      21 octobre 2023
    
    au
    
      4 novembre 2023
    ","
      21 octobre 2023
    ","
      4 novembre 2023
    ",https://www.ticketmaster.fr/fr/salle/bellewaerde-park/idsite/5306,BELLEWAERDE PARK,YPRES,PARC - PARC DE LOISIRS,"
          BELLEWAERDE
        ","
      à partir de
      41.00 €"
"
      PLOPSALAND - PASS GOLD
    ",https://www.ticketmaster.fr/fr/manifestation/plopsaland-pass-gold-billet/idmanif/547195,"
    Du
    
      14 février 2023
    
    au
    
      27 mars 2024
    ","
      14 février 2023
    ","
      27 mars 2024
    ",https://www.ticketmaster.fr/fr/salle/plopsaland/idsite/3471,PLOPSALAND,LA PANNE,PARC - PARC DE LOISIRS,"
          PLOPSALAND
        ","
      à partir de
      99.00 €"
"
      QUEENS OF THE STONE AGE
    ",https://www.ticketmaster.fr/fr/manifestation/queens-of-the-stone-age-billet/idmanif/557136,"
      5 novembre 2023
    ","
      5 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-main-hall/idsite/6566,ROCKHAL - MAIN HALL,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          QUEENS OF THE STONE AGE
        ",
"
      REAL MADRID / RAYO VALLECANO
    ",https://www.ticketmaster.fr/fr/manifestation/real-madrid-rayo-vallecano-billet/idmanif/560126,"
      5 novembre 2023
    ","
      5 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/stade-santiago-bernabeu-madrid/idsite/13710,STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"
          REAL MADRID CF
        ",
"
      WALIBI BELGIUM - HALLOWEEN EN FAMILLE
    ",https://www.ticketmaster.fr/fr/manifestation/walibi-belgium-halloween-en-famille-billet/idmanif/563470,"
    Du
    
      22 octobre 2023
    
    au
    
      5 novembre 2023
    ","
      22 octobre 2023
    ","
      5 novembre 2023
    ",https://www.ticketmaster.fr/fr/salle/walibi-belgium/idsite/5307,WALIBI BELGIUM,WAVRE,PARC - PARC DE LOISIRS,"
          WALIBI BELGIUM
        ","
      à partir de
      43.00 €"
"
      BELLEWAERDE - JOURNEES HALLOWEEN
    ",https://www.ticketmaster.fr/fr/manifestation/bellewaerde-journees-halloween-billet/idmanif/564102,"
    Du
    
      22 octobre 2023
    
    au
    
      5 novembre 2023
    ","
      22 octobre 2023
    ","
      5 novembre 2023
    ",https://www.ticketmaster.fr/fr/salle/bellewaerde-park/idsite/5306,BELLEWAERDE PARK,YPRES,PARC - PARC DE LOISIRS,"
          BELLEWAERDE
        ","
      à partir de
      40.00 €"
"
      DEATHSTARS
    ",https://www.ticketmaster.fr/fr/manifestation/deathstars-billet/idmanif/552781,"
      6 novembre 2023
    ","
      6 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - HARD METAL,"
          DEATHSTARS
        ","
      à partir de
      29.20 €"
