Titre,Lien_du_titre,eventresultdate,location,location1,eventresultgenreitem,eventresultartistlink,prix
"
      ZARA LARSSON
    ",https://www.ticketmaster.fr/fr/manifestation/zara-larsson-billet/idmanif/567266,"
      24 février 2024
    ",LE TRIANON,PARIS,CONCERT - POP ROCK FOLK,"
          ZARA LARSSON
        ","
      à partir de
      36.20 €"
"
      SHAKA PONK
    ",https://www.ticketmaster.fr/fr/manifestation/shaka-ponk-billet/idmanif/538111,"
      13 octobre 2023
    ",ZENITH DE LILLE,LILLE,CONCERT - POP ROCK FOLK,"
          SHAKA PONK
        ","
      à partir de
      42.00 €"
"
      JAIN
    ",https://www.ticketmaster.fr/fr/manifestation/jain-billet/idmanif/546745,"
      4 novembre 2023
    ",ZENITH DE LILLE,LILLE,CONCERT - POP ROCK FOLK,"
          JAIN
        ","
      à partir de
      34.00 €"
"
      BIGFLO & OLI
    ",https://www.ticketmaster.fr/fr/manifestation/bigflo-oli-billet/idmanif/530677,"
      4 novembre 2023
    ",GALAXIE,AMNEVILLE LES THERMES,CONCERT - RAP HIP-HOP SLAM,"
          BIGFLO ET OLI
        ","
      à partir de
      35.00 €"
"
      MURDA
    ",https://www.ticketmaster.fr/fr/manifestation/murda-billet/idmanif/541380,"
      4 novembre 2023
    ",LE TRABENDO (Parc de la Villette),PARIS,CONCERT - RAP HIP-HOP SLAM,"
          MURDA
        ","
      à partir de
      34.00 €"
"
      LOMEPAL
    ",https://www.ticketmaster.fr/fr/manifestation/lomepal-billet/idmanif/534623,"
      28 mars 2023
    ",ACCOR ARENA,PARIS,CONCERT - RAP HIP-HOP SLAM,"
          LOMEPAL
        ","
      à partir de
      40.00 €"
"
      CHRISTOPHE MAE
    ",https://www.ticketmaster.fr/fr/manifestation/christophe-mae-billet/idmanif/540782,"
      4 novembre 2023
    ",ARENA D'ORLEANS,ORLEANS,CONCERT - VARIETE ET CHANSON FRANCAISE,"
          CHRISTOPHE MAE
        ","
      à partir de
      40.00 €"
"
      CHANTAL GOYA
    ",https://www.ticketmaster.fr/fr/manifestation/chantal-goya-billet/idmanif/547368,"
      4 novembre 2023
    ",SALLE POIREL,NANCY,CONCERT - VARIETE ET CHANSON FRANCAISE,"
          CHANTAL GOYA
        ","
      à partir de
      30.00 €"
"
      LES FATALS PICARDS
    ",https://www.ticketmaster.fr/fr/manifestation/les-fatals-picards-billet/idmanif/555276,"
      4 novembre 2023
    ",SALLE GEORGES BRASSENS,LUNEL,CONCERT - VARIETE ET CHANSON FRANCAISE,"
          LES FATALS PICARDS
        ","
      à partir de
      25.00 €"
"
      KO KO MO
    ",https://www.ticketmaster.fr/fr/manifestation/ko-ko-mo-billet/idmanif/545752,"
      4 novembre 2023
    ",La Cigale,PARIS,CONCERT - POP ROCK FOLK,"
          KO KO MO
        ","
      à partir de
      25.00 €"
"
      ECLAT D'VOIX
    ",https://www.ticketmaster.fr/fr/manifestation/eclat-d-voix-billet/idmanif/561605,"
      3 novembre 2023
    ",CENTRE CULTUREL LES ANGENOISES,BONCHAMP LES LAVAL,CONCERT - VARIETE ET CHANSON FRANCAISE,"
          ECLAT D'VOIX
        ",
"
      LOUIS BERTIGNAC
    ",https://www.ticketmaster.fr/fr/manifestation/louis-bertignac-billet/idmanif/554265,"
      4 novembre 2023
    ",LA CARTONNERIE,REIMS,CONCERT - POP ROCK FOLK,"
          LOUIS BERTIGNAC
        ","
      à partir de
      44.20 €"
"
      CARPENTER BRUT x PERTURBATOR
    ",https://www.ticketmaster.fr/fr/manifestation/carpenter-brut-x-perturbator-billet/idmanif/551948,"
      4 novembre 2023
    ",CHATEAU ROUGE - GRANDE SALLE,ANNEMASSE,CONCERT - MUSIQUE ELECTRONIQUE,"
          CARPENTER BRUT
        ","
      à partir de
      25.00 €"
