Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Chambre Double ou Lits Jumeaux Standard,https://cf.bstatic.com/xdata/images/hotel/square200/360214086.webp?k=d5787f4c51d22b64076871c5dc81fd9058f2448e872d6c0745f9a3ee1a06e6ef&o=,harry's home Bern-Expo,https://www.booking.com/hotel/ch/harry-39-s-home-bern-ostermundigen-amp-apartments.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2551235&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f2835f8cd16600c9&srepoch=1698932125&all_sr_blocks=780739601_336490456_1_2_0&highlighted_blocks=780739601_336490456_1_2_0&matching_block_id=780739601_336490456_1_2_0&sr_pri_blocks=780739601_336490456_1_2_0__10940&from_sustainable_property_sr=1&from=searchresults&map=1,Berne,"2,7 km du centre","8,4",Très bien ,2 lits simples,,1 199 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 lits simples,€ 133€ 114
Lit dans Dortoir pour Hommes de 6 Lits,https://cf.bstatic.com/xdata/images/hotel/square200/306754719.webp?k=0fe634f1eb21241dd5b86951dd62f2afc57b20488f9be15a343f7a4c0bb4d608&o=,Bern Backpackers Hotel Glocke,https://www.booking.com/hotel/ch/bern-backpackers-glocke.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2551235&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=f2835f8cd16600c9&srepoch=1698932125&all_sr_blocks=36048111_342261245_1_0_0&highlighted_blocks=36048111_342261245_1_0_0&matching_block_id=36048111_342261245_1_0_0&sr_pri_blocks=36048111_342261245_1_0_0__4902&from_sustainable_property_sr=1&from=searchresults&map=1,"Old City of Bern, Berne",50 m du centre,"8,3",Très bien ,1 lit superposé,,2 175 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 53€ 51
Chambre Lit Queen-Size ,https://cf.bstatic.com/xdata/images/hotel/square200/453275577.webp?k=b7924c83b62d9c6f5a45a4b92aa0f7ea3475d654e8f5f7c5a73460ce82512065&o=,Moxy Bern Expo,https://www.booking.com/hotel/ch/moxy-bern-expo.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2551235&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=f2835f8cd16600c9&srepoch=1698932125&all_sr_blocks=659581702_270359022_2_2_0&highlighted_blocks=659581702_270359022_2_2_0&matching_block_id=659581702_270359022_2_2_0&sr_pri_blocks=659581702_270359022_2_2_0__15730&from_sustainable_property_sr=1&from=searchresults&map=1,"Breitenrain-Lorraine, Berne","2,6 km du centre","8,5",Très bien ,1 grand lit double,Plus que 5 hébergements à ce prix sur notre site,2 683 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 164
Chambre Double,https://cf.bstatic.com/xdata/images/hotel/square200/468523925.webp?k=e83fc38b52518567bcb9315ec0b74a585ff50f11354cc7b7213a89e4b557f1fc&o=,prizeotel Bern-City,https://www.booking.com/hotel/ch/prizeotel-bern-city.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2551235&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=f2835f8cd16600c9&srepoch=1698932125&all_sr_blocks=552953605_203498532_1_2_0&highlighted_blocks=552953605_203498532_1_2_0&matching_block_id=552953605_203498532_1_2_0&sr_pri_blocks=552953605_203498532_1_2_0__13205&from_sustainable_property_sr=1&from=searchresults&map=1,"Breitenrain-Lorraine, Berne",1 km du centre,"8,3",Très bien ,1 très grand lit double,,9 439 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 138
Lit dans Dortoir Mixte de 6 Lits,https://cf.bstatic.com/xdata/images/hotel/square200/137465559.webp?k=b799bec9f890eeb3c92ed689790804e1703a2ac0500146e9ff25b29bfb41291c&o=,Bern Youth Hostel,https://www.booking.com/hotel/ch/youthhostel-bern.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2551235&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=f2835f8cd16600c9&srepoch=1698932125&all_sr_blocks=33307419_346729123_0_41_0&highlighted_blocks=33307419_346729123_0_41_0&matching_block_id=33307419_346729123_0_41_0&sr_pri_blocks=33307419_346729123_0_41_0__6650&from_sustainable_property_sr=1&from=searchresults&map=1,"Mattenhof-Weissenbühl, Berne",300 m du centre,"8,4",Très bien ,1 lit superposé,Plus que 7 lits à ce prix sur notre site,2 465 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 69
Chambre Triple Économique,https://cf.bstatic.com/xdata/images/hotel/square200/244988276.webp?k=6acc327c14bccaf84000fc96ac1da5f80985b0e878b10ff45096441ed118a50d&o=,ibis budget Bern Expo,https://www.booking.com/hotel/ch/ibis-budget-bern-expo.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2551235&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=f2835f8cd16600c9&srepoch=1698932125&all_sr_blocks=57655002_376293096_2_2_0&highlighted_blocks=57655002_376293096_2_2_0&matching_block_id=57655002_376293096_2_2_0&sr_pri_blocks=57655002_376293096_2_2_0__12470&from_sustainable_property_sr=1&from=searchresults&map=1,Berne,"1,7 km du centre","7,5",Bien  ,"2 lits (1 lit simple, 1 lit double)",,2 899 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 lit simple, 1 lit double)",€ 130
Chambre Lit Queen-Size Supérieure ,https://cf.bstatic.com/xdata/images/hotel/square200/477818988.webp?k=10ec0bdb66cfe66ef3ad23e24964c13ca9c06914127a1bd59cd84e4014d4d6ac&o=,ibis Styles Bern City,https://www.booking.com/hotel/ch/hotel-astoria.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2551235&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=f2835f8cd16600c9&srepoch=1698932125&all_sr_blocks=6539218_376291649_1_1_0&highlighted_blocks=6539218_376291649_1_1_0&matching_block_id=6539218_376291649_1_1_0&sr_pri_blocks=6539218_376291649_1_1_0__15470&from_sustainable_property_sr=1&from=searchresults&map=1,"Mattenhof-Weissenbühl, Berne","1,5 km du centre","8,5",Très bien ,1 grand lit double,,1 320 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 161
Chambre Double Confort Cosy,https://cf.bstatic.com/xdata/images/hotel/square200/421922457.webp?k=742fb6c558645c20a23a2bcae9fb0c761e3f87215c52cfbf809d65d637437c65&o=,Stay KooooK Bern City - Online Check In,https://www.booking.com/hotel/ch/staykooookberncity.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2551235&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=f2835f8cd16600c9&srepoch=1698932125&all_sr_blocks=6503213_373222511_1_0_0&highlighted_blocks=6503213_373222511_1_0_0&matching_block_id=6503213_373222511_1_0_0&sr_pri_blocks=6503213_373222511_1_0_0__24630&from_sustainable_property_sr=1&from=searchresults&map=1,"Old City of Bern, Berne",250 m du centre,"8,8",Superbe ,1 lit double,Plus que 1 hébergement à ce prix sur notre site,1 569 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 320€ 257
Chambre Deluxe Double ou Lits Jumeaux,https://cf.bstatic.com/xdata/images/hotel/square200/387486814.webp?k=d6ecfd1e57fc76816085f5d2694aec022f37ee98a231520077ec628141666958&o=,Evi's Home Hotel & Apartments,https://www.booking.com/hotel/ch/evis-home-amp-apartments.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2551235&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=f2835f8cd16600c9&srepoch=1698932125&all_sr_blocks=864950404_363077543_1_0_0&highlighted_blocks=864950404_363077543_1_0_0&matching_block_id=864950404_363077543_1_0_0&sr_pri_blocks=864950404_363077543_1_0_0__13697&from_sustainable_property_sr=1&from=searchresults&map=1,"Breitenrain-Lorraine, Berne","2,1 km du centre","8,8",Superbe ,Plusieurs types de lits,Plus que 5 hébergements à ce prix sur notre site,662 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Plusieurs types de lits,€ 143
Chambre Deluxe,https://cf.bstatic.com/xdata/images/hotel/square200/446752843.webp?k=6fe4080df3f20aa508021aa3d36ddde547801aa946f8e28b81b706b26aa9ae3a&o=,Comfortable room in bern,https://www.booking.com/hotel/ch/comfortable-room-in-bern.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-2551235&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=f2835f8cd16600c9&srepoch=1698932125&all_sr_blocks=984437001_377635232_1_0_0&highlighted_blocks=984437001_377635232_1_0_0&matching_block_id=984437001_377635232_1_0_0&sr_pri_blocks=984437001_377635232_1_0_0__8530&from=searchresults&map=1,Berne,"4,4 km du centre","5,8",Note ,Hébergement géré par un particulier,Plus que 1 hébergement à ce prix sur notre site,26 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 89
