Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square200/363961471.webp?k=53e91749f766580b0c0c2eb3873aa75f100ea673eb8788fd507fd6b4ef3db6a6&o=,Craves,https://www.booking.com/hotel/be/craves.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e102628fb7af0211&srepoch=1698674466&all_sr_blocks=2004702_206172417_0_2_0&highlighted_blocks=2004702_206172417_0_2_0&matching_block_id=2004702_206172417_0_2_0&sr_pri_blocks=2004702_206172417_0_2_0__11835&from=searchresults&map=1,"Centre de Bruxelles, Bruxelles",250 m du centre,"8,5",Très bien ,1 lit simple,Plus que 3 hébergements à ce prix sur notre site,3 820 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 167€ 118
Appartement,https://cf.bstatic.com/xdata/images/hotel/square200/462491807.webp?k=6c8beafba48266160d5d7c17bc25c30f71548c7e75146e4eb6537de11a298602&o=,Albert gare du Midi 31,https://www.booking.com/hotel/be/albert-31-47-1.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=e102628fb7af0211&srepoch=1698674466&all_sr_blocks=352524904_377584576_2_0_0&highlighted_blocks=352524904_377584576_2_0_0&matching_block_id=352524904_377584576_2_0_0&sr_pri_blocks=352524904_377584576_2_0_0__10210&from=searchresults&map=1,"Anderlecht, Bruxelles","2,3 km du centre","4,6",Note ,Hébergement géré par un particulier,Plus que 1 à ce prix sur notre site,163 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 106€ 102
Appartement,https://cf.bstatic.com/xdata/images/hotel/square200/462528957.webp?k=85ebbfd9dc6c44b3f64da9ab4803bd400c5846a945fe8201d01169dc172dc257&o=,Dupont gare du Nord,https://www.booking.com/hotel/be/akdeniz-dupont-1.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e102628fb7af0211&srepoch=1698674466&all_sr_blocks=288544102_341729999_2_0_0&highlighted_blocks=288544102_341729999_2_0_0&matching_block_id=288544102_341729999_2_0_0&sr_pri_blocks=288544102_341729999_2_0_0__9974&from=searchresults&map=1,"Schaerbeek, Bruxelles","1,6 km du centre","4,1",Note ,Hébergement géré par un particulier,Plus que 1 à ce prix sur notre site,174 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 103€ 100
Studio Standard,https://cf.bstatic.com/xdata/images/hotel/square200/166386354.webp?k=c83202ff5808f300da76a59deb043ab64c8d7368d07037873a63ea76a79db89c&o=,Appart'City Confort Bruxelles Centre Gare du Midi,https://www.booking.com/hotel/be/appart-39-city-confort-bruxelles-midi.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e102628fb7af0211&srepoch=1698674466&all_sr_blocks=350334401_375659256_0_2_0&highlighted_blocks=350334401_375659256_0_2_0&matching_block_id=350334401_375659256_0_2_0&sr_pri_blocks=350334401_375659256_0_2_0__10399&from_sustainable_property_sr=1&from=searchresults&map=1,"Anderlecht, Bruxelles","1,7 km du centre","8,4",Très bien ,1 grand lit double,,2 149 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Studio entier • 1 salle de bains • 17m²,€ 104
Chambre Double ou Lits Jumeaux Standard,https://cf.bstatic.com/xdata/images/hotel/square200/177376795.webp?k=fb865823f3dd3d3d738c30b1acf1523c8cebb85c11ad03a4270e5dd352e95b82&o=,Dansaert Hotel,https://www.booking.com/hotel/be/dansaert.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e102628fb7af0211&srepoch=1698674466&all_sr_blocks=149999602_87755088_0_2_0&highlighted_blocks=149999602_87755088_0_2_0&matching_block_id=149999602_87755088_0_2_0&sr_pri_blocks=149999602_87755088_0_2_0__13474&from_sustainable_property_sr=1&from=searchresults&map=1,"Centre de Bruxelles, Bruxelles",450 m du centre,"7,6",Bien  ,Types de lits : 1 lit double ou 2 lits simples,Plus que 2 hébergements à ce prix sur notre site,2 782 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 135
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square200/59617951.webp?k=0cb01c12016e8fa40f8d8db1730580f041922db1630b6707f9f5a4957f55ac54&o=,Hotel Aviation,https://www.booking.com/hotel/be/aviation-anderlecht.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e102628fb7af0211&srepoch=1698674466&all_sr_blocks=80432502_91939764_1_2_0&highlighted_blocks=80432502_91939764_1_2_0&matching_block_id=80432502_91939764_1_2_0&sr_pri_blocks=80432502_91939764_1_2_0__6500&from=searchresults&map=1,"Anderlecht, Bruxelles","1,2 km du centre","4,5",Note ,1 lit simple,,3 353 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 65
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square200/256780261.webp?k=cdbc3d43c4b411929dfa5ceb5171234ae9d28daa381967263118d3164c4fd22f&o=,Hotel Du Congres,https://www.booking.com/hotel/be/ducongres.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e102628fb7af0211&srepoch=1698674466&all_sr_blocks=2027901_95145020_0_2_0&highlighted_blocks=2027901_95145020_0_2_0&matching_block_id=2027901_95145020_0_2_0&sr_pri_blocks=2027901_95145020_0_2_0__9374&from_sustainable_property_sr=1&from=searchresults&map=1,"Centre de Bruxelles, Bruxelles","1,1 km du centre","8,0",Très bien ,1 lit simple,,4 459 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 94
Chambre Double,https://cf.bstatic.com/xdata/images/hotel/square200/482030928.webp?k=2bc6da536072733217d3fec24d0d331910007f80cdd624c3c1f5ed68c082eda3&o=,Motel One Brussels,https://www.booking.com/hotel/be/motel-one-brussels.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e102628fb7af0211&srepoch=1698674466&all_sr_blocks=90689305_279603370_1_2_0&highlighted_blocks=90689305_279603370_1_2_0&matching_block_id=90689305_279603370_1_2_0&sr_pri_blocks=90689305_279603370_1_2_0__11324&from_sustainable_property_sr=1&from=searchresults&map=1,"Centre de Bruxelles, Bruxelles","0,8 km du centre","8,7",Superbe ,1 lit double,,15 987 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 113
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square200/10887661.webp?k=8555fa846f5095775163e2b5805401a51e82bd0a5c9f682a290599c8822d1a31&o=,Hotel Manhattan,https://www.booking.com/hotel/be/manhattan.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e102628fb7af0211&srepoch=1698674466&all_sr_blocks=2002801_86328133_0_0_0&highlighted_blocks=2002801_86328133_0_0_0&matching_block_id=2002801_86328133_0_0_0&sr_pri_blocks=2002801_86328133_0_0_0__7174&from=searchresults&map=1,"Centre de Bruxelles, Bruxelles","0,9 km du centre","4,0",Note ,1 lit simple,Plus que 2 hébergements à ce prix sur notre site,1 967 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 72
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square200/59468627.webp?k=bd3b6ba1fe31d3c053b305ca080caaa6d7a545f95ebe7fe7c119acbd5543d0ef&o=,Hotel Mozart,https://www.booking.com/hotel/be/mozart-sa.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e102628fb7af0211&srepoch=1698674466&all_sr_blocks=2118101_184333995_0_1_0&highlighted_blocks=2118101_184333995_0_1_0&matching_block_id=2118101_184333995_0_1_0&sr_pri_blocks=2118101_184333995_0_1_0__9000&from=searchresults&map=1,"Centre de Bruxelles, Bruxelles",150 m du centre,"5,8",Note ,Plusieurs types de lits,Plus que 3 hébergements à ce prix sur notre site,2 814 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Plusieurs types de lits,€ 90
