Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square200/163329279.webp?k=1777a228b21c2b128aeea6ff0ef04837985537e561d3317881ce82f9788885f5&o=,Castle Hotel,https://www.booking.com/hotel/ie/castle.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-1502554&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=db1b89805646019c&srepoch=1698694404&all_sr_blocks=4003001_199566055_0_1_0&highlighted_blocks=4003001_199566055_0_1_0&matching_block_id=4003001_199566055_0_1_0&sr_pri_blocks=4003001_199566055_0_1_0__13900&from=searchresults&map=1,"Parnell Square, Dublin","0,6 km du centre","8,1",Très bien ,Plusieurs types de lits,Plus que 3 hébergements à ce prix sur notre site,8 624 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Plusieurs types de lits,€ 139
Chambre Double Standard,https://cf.bstatic.com/xdata/images/hotel/square200/405565460.webp?k=b6233aceccfe6449d68ed5486da39eb35ca3014dc07961abc83006fcab7b82e3&o=,Sonder The Earl,https://www.booking.com/hotel/ie/sonder-the-earl.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-1502554&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=db1b89805646019c&srepoch=1698694404&all_sr_blocks=920923205_363695760_2_0_0&highlighted_blocks=920923205_363695760_2_0_0&matching_block_id=920923205_363695760_2_0_0&sr_pri_blocks=920923205_363695760_2_0_0__11574&nad_id=8e66c701-c585-4712-8ce3-b0409f23a976_0&nad_cpc=0.93&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IksrQUZxcXIrazEybXNibzNsd2hDeFFsZURIVzNQczMvSzlzTWNOendDZkpuQWRrcHVvUS83bytxY3hCMk43OGNJSWJrQ0hjanY0MTVlN1d4eTNtQ0wxYWhZbGZCSWxJTzR4dUt3bTBHdnk3ZDVaRndoQ1BsaEdwMmJXZCtxLzJiNU91VjdFMHltNmtWR3dJc1I4Y1AyL2VNZVlZZm5HWkc2eEhaYlk1cC9iVTErYW9FMUxHZnZFWURnSDhxdEs1Y1NUY29GQm5wOWFIcnBPd2pBNG92YnF2d0ZrT0FITnlDZERWdXBnL1FieDRrRVF5Qjl5MmFxb3hCVm5ndVZnSysrWU1tZ0JCeGdnN1pHcmp1OEJyd2hHZFpiclViSUpvZFIwT2pEeXJRQnpvcFZ0aVU1SGFUaHgrS3Q5N0JtMUhadEh5cFhxN0hUa21ma0YyMFYrbGxBQ0d2YUZNZTM5c1daamt4YzRIckNPWFdnYVhTVE54SXJwblVCOW8zVmFVUmQyejJoQWZ5Tlh1NldEbEMrR3NnZHdLWXBRU3pjM1lRdlpjZVVZNnpFa1hNa2ZKTjlxMUdQZHRVVzNPRGZTdldQK0hCeWcxZTYrSkVDZ3dUWCtaS2ErbTFzQkZ0dkp5L25WZUs3UGpla1d0eDZ3bGVhQ09XT3pvczVmdWNUK1RiaDZ1c2tKWnpBQlFlaW0yRVpXOGpjUEd3MERpUStwOENSdC9CNUdYNVgwYVZodTR2ZUlYTi9JUERRYVJIOUFuc05GamROcWUxUjhFNE93OTNzaUxYeGxhMURHdThWVUN2eW1RU2RiNzN3S2xwdkRuQkFkZ1lDOWtPeVBzMEpENS9BWXd1c0plMENlMVMxanhZUGNQZEE2NVRRNis3cGRiWjF6VEg2ZGs1MFNzemFESC9wcHdQSGRQZHhZVFhJRTFzaXYyREg3WFRYMlFwVnhDY0Q0dk9LZjA5YllXdW9tckpzTjB3RDExVFpLZlhxbTlVdjJJSHZiRXFHZVZVTEdmcGpTRlN2dy9KQzQ2YXpCa0daOVZ1N2l5bWNPTWVKWitQRHYrRXhjM3NHNXlnVEM2ZUZTM2VsZ1VNVlZhdVRaZXFVM3hlakU1TzZWdEEzcDRtR3pweVRXTXF2TWZXNmQ1OGVLQnp3Y1VpVlVNNVVFSzk2VzdTazVBdFpPSzRSbUNkdzFtdmpuNUk2ay81bkJRUWlpOWR6ZkdaYnVJQmZENW5qTG1pUzAwQWlEMzlIeHU0djRGN2JvTURaRHdySmZpY0l3djhyWFB1c3RTN0NEOFE5RWxxdE04ZTQ3aHpQVWpGVVRjbjN4SnAvYUs1WW45eGpyVFB1VFFzN2VIT2JMdnZHbDdsRXgxQ0tMVU43UmI2dUZ4VWt2MFp0Z1pGQ0ZzbmR6R1duR2hxaDFvMEYxclZIb3M4MDF2alVxZmdWcTFxc0JnSWlLN29hSTB3bW9BVjRGSXNYdW5vaFl1RmNnMlk0TGlabjJLYk4wMGQwNW44ajI4MDZYdkxnTTkrNUtJRlZmaFB3YjdXZ2dRVWVPY3NPSytYZjRqOVJ0Q1o2enU5N1BBUjF0QVpLSlZjRWlBT3R6b29xMExpV3JBdWdMMHR5TC80dXd3REtvUDdJUWluRmdyRi9Zb3ByK2pCdGN0SDg0VHo2R0c3aU15b3ZQR0tDc0NRc0lFa2U3Y0ZQejhiTUp3UjBORUdNdDlRQ3NFU204YVYzWmNadUZwUCtMcnlXSU4xQUtiLzM5QUtSdzdNSGFnbncvNCtOeG5Gc0NEZDVZZFpiK2V5VUg0MHlTYzMwSk9qRlEzUVZ0TDdRWEpFUWphOXlpdHRHRXFlaFA5ZTNDNThNeVIxTTJDd3dqMjRhclF1NmtCbnJVaklMQmxLeWlySXRTdEhzYTZkd2laRXlaaTdRNTJwODJLd09lOGptSSt4Sk01UFVtRnZkamgxYTJYaWVPNlhwdGFVZ3JUV2RzUEF2S1prMDI5T0RTNDBndXBMTG95OGYvc1Awdi9oTGk5N3RQUUdYK1dPTitHR0grbGhDN3F4QVdLRVJhSkx5YjJBNEhSMEV6aGhYdURMOS8vM0JteVQ0YnMvc012c05mVlIwZGxQNmcvVHY3YS9PVTZ5WkYvRThGQXI1Y3FaZUUzWVo3WVAwMUowRkJRUjBrZmc1TXNOT3pIeVpRbEFCWDhlOWFGZXdOTERoZ1dTSFVjTkZZTkhWYnFnRzB3KzJUamJqaVFqTUpnYmdQeU9MVkNpVTFLeXpXRE53bys5dGFRdEZKQ0FCSENZWjAxZDNUZ2VLMGhLSkRCTEJ1aDZ5aWQrWE5wZ2xKdnZoV0ZYeWZhTGo2L0ZnK20wbk5NVjBaNUpBbzQ4eXYzZEZkN2tWY3RTSm8wMTUvaFBoQXd1YVpBV0JqVUFnUVBoMXcxbjF0dEpOSTJGMjYzYjNBb3ZiMzNjdVp1T3VZd05HYUtySCs5UWIxTTlzRXZ6WXN1WFpoejJ2eTJZbWRtN0NNT2E4Ti9TRXlqb1poYVcrak5nUHB3TGh5MWIyNUpkeTk5YjgvWmNQcWtiTFhBVC85Y3Q3WG1oaWgxMFNKQm5ET1lOWXozRnRaQWgxOWJuMGdtQTNaMlprSVREcS9CTnZXZFdkWlQ3S0ZFU3JJOUNDV1MyNG1CeHFXeDNKaW9vRXFteDJQdWxrbVk3aEZrWE5HSUtTSC84VkhZNFczL2g0dFU2TWxlYlZNUHZIWm1NSGEwSk15aXRsYVF0RHlOTnR0OVUxMDBpaUxQdHNXNGV4c3JpdFloYkVjeUNpUjVKdGZlTDNuaUxjME9EZ202MHdaUW1LSThWSk1odWs5S0ZPdGpMZU52eSszZ3VMZXdUSVZZSkJueWlUVGNWQVVtT2w0d0xhZjE1NU4yUEhFcW9lRDNnTTBmVGRWR05Ddzhvd1VMZGZuY3JMeGVkR21ncTNhVVhmMUVaNjJIUnE2Nm5kVkk4L2xhNkc3UU5nbVJoaHlDRHpzQ2gxSXpTbWxrTEpSMlR5M0svU0t3SXNyZXJ5dWxKcS9lYlUzMEpPczNybkllbi9mTFl5a0xGOW53cjkxRmt2SlZrbFlSU1liVHZQODExdkVINWZZMzZyL1YvSVJDSUV2MGErcmZucVFSaEJ4NVRKMlJWaWNHVlN2NFRKTEZKZUV5QUlBcGtRbmVoVWpRMW51akRpcEdHVFVGcmtYa3hqZW1wajRLelFneEpNNnI4RUp6QllDYzA1Z0NQUW5BdTFXSFRZMzRqR1NCRXlzb09WVFFKK2RkYkZ4ckdkSCtGUS93aHFXeVFsYjdLNlR6Q2JvQ2VZN3ZCQktTWjV1YndlYnBOWHArbTViRStuV1dVTHdEdE5iajNlRm90cEN6bzhhL01aSFM4d1hOZm54OTc5VkNGWXhOVnNiUFFjU2tGZ1NQbTAxM2Y1b2JoenErWHNqQmtIcFZJc0xselZ0cVdscmVXZFlCYnhTdzFlU29EN2JBWElVbnplZmtJWVNrSHRrL2JnUG1mWkluVTNBRlE0WDcyNHc4V054Uy8yOEZBRHRWRkUrWnFvaWloTHBzUE9Kb2k1cVlCSW1GZ1cwRFd0UVhyL09tMlpscGdkbllYSWM2TGZlOEJNd0ZkM2VxeVFZbG15bmU1K1RCaHNaS1FKTHlRWjRKK3ZEUGM2UWxIOXJ3bHVmRmRIUGNpK0FCaVVJOGhxcjRlMlRINnBsaHBFd3I2V3Y0TXVKM3dGZHhsVTN5bTRTVlJ2cGk4YzBRUEJOaWZBakE1UDNOQThoQnVhT2J2L3NjVSJ9&from=searchresults&map=1,"Saint Stephen's Green, Dublin","1,8 km du centre","7,5",Bien  ,1 lit double,Plus que 1 hébergement à ce prix sur notre site,121 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 160€ 116
Lit en Dortoir Mixte de 8 Lits avec Salle de Bains et Toilettes Communes,https://cf.bstatic.com/xdata/images/hotel/square200/349076009.webp?k=bbe42bb87865e45d9feff4044490f7bc6176f69f27dd2ac474c4dc6f27325add&o=,Generator Dublin,https://www.booking.com/hotel/ie/generator-hostel.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-1502554&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=db1b89805646019c&srepoch=1698694404&all_sr_blocks=29453801_372486521_0_2_0&highlighted_blocks=29453801_372486521_0_2_0&matching_block_id=29453801_372486521_0_2_0&sr_pri_blocks=29453801_372486521_0_2_0__3400&from_sustainable_property_sr=1&from=searchresults&map=1,"Dublin City Centre, Dublin","1,2 km du centre","7,4",Bien  ,1 lit superposé,,5 971 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 34
Chambre Lits Jumeaux,https://cf.bstatic.com/xdata/images/hotel/square200/483507927.webp?k=8ce02221fbc5c8bde6bb2baba11af38dc1986e360b13093ea2697e8657ae593a&o=,Celtic Lodge Guesthouse - Restaurant & Bar,https://www.booking.com/hotel/ie/celticlodgeguesthouse-bar.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-1502554&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=db1b89805646019c&srepoch=1698694404&all_sr_blocks=4033002_88544987_0_2_0&highlighted_blocks=4033002_88544987_0_2_0&matching_block_id=4033002_88544987_0_2_0&sr_pri_blocks=4033002_88544987_0_2_0__9900&from=searchresults&map=1,"Dublin City Centre, Dublin",350 m du centre,"7,3",Bien  ,2 lits simples,Plus que 1 hébergement à ce prix sur notre site,2 025 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 lits simples,€ 99
Chambre Lit King-Size Standard,https://cf.bstatic.com/xdata/images/hotel/square200/482686372.webp?k=db1b53116b1520ca2e5219addf3db6f906a07c1edfcf496d87253e84bfffbbfe&o=,Motel One Dublin,https://www.booking.com/hotel/ie/motel-one-dublin-dublin.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-1502554&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=db1b89805646019c&srepoch=1698694404&all_sr_blocks=843008102_381862080_2_2_0&highlighted_blocks=843008102_381862080_2_2_0&matching_block_id=843008102_381862080_2_2_0&sr_pri_blocks=843008102_381862080_2_2_0__13900&from_sustainable_property_sr=1&from=searchresults&map=1,"Dublin City Centre, Dublin",300 m du centre,"8,8",Superbe ,1 très grand lit double,,1 327 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 139
Chambre Lit King-Size Standard,https://cf.bstatic.com/xdata/images/hotel/square200/287103680.webp?k=412a7ee020ffd77515e847bf2465a44fb31180bcb8fdb989ceebbb48778409cd&o=,Clayton Hotel Burlington Road,https://www.booking.com/hotel/ie/the-burlington.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-1502554&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=db1b89805646019c&srepoch=1698694404&all_sr_blocks=4028426_231375478_0_2_0&highlighted_blocks=4028426_231375478_0_2_0&matching_block_id=4028426_231375478_0_2_0&sr_pri_blocks=4028426_231375478_0_2_0__12780&from_sustainable_property_sr=1&from=searchresults&map=1,"Ballsbridge, Dublin","2,3 km du centre","8,3",Très bien ,1 très grand lit double,,7 596 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 142€ 128
Chambre Lits Jumeaux,https://cf.bstatic.com/xdata/images/hotel/square200/270641666.webp?k=98e4b14f57eea22496071068a3e7ce399613e9ae1d79207cc45ac93138b3ba19&o=,Dublin Citi Hotel of Temple Bar,https://www.booking.com/hotel/ie/dublin-citi.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-1502554&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=db1b89805646019c&srepoch=1698694404&all_sr_blocks=4034802_91900660_1_42_0&highlighted_blocks=4034802_91900660_1_42_0&matching_block_id=4034802_91900660_1_42_0&sr_pri_blocks=4034802_91900660_1_42_0__9895&from_sustainable_property_sr=1&from=searchresults&map=1,"Temple Bar, Dublin","0,6 km du centre","7,2",Bien  ,2 lits simples,Plus que 1 hébergement à ce prix sur notre site,859 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 lits simples,€ 99
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square200/328187682.webp?k=dbc10ba8671cf0d85f015f9a40cea1d287f3184098cb85daa22ee4445a6c5565&o=,Clifden House by Nina,https://www.booking.com/hotel/ie/clifden-guesthouse-dublin.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-1502554&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=db1b89805646019c&srepoch=1698694404&all_sr_blocks=18008808_91911082_0_0_0&highlighted_blocks=18008808_91911082_0_0_0&matching_block_id=18008808_91911082_0_0_0&sr_pri_blocks=18008808_91911082_0_0_0__8400&from=searchresults&map=1,"Dublin City Centre, Dublin","0,7 km du centre","7,6",Bien  ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,1 707 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 84
Chambre Lit King-Size Standard,https://cf.bstatic.com/xdata/images/hotel/square200/146736010.webp?k=ad7117905fd63c9ab0c8d4e5d3da5f9419b1ec6d5855ae2d4bfe55e4a912d4d1&o=,Butlers Townhouse,https://www.booking.com/hotel/ie/butlers.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-1502554&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=db1b89805646019c&srepoch=1698694404&all_sr_blocks=22443203_88545064_0_0_0&highlighted_blocks=22443203_88545064_0_0_0&matching_block_id=22443203_88545064_0_0_0&sr_pri_blocks=22443203_88545064_0_0_0__9500&from=searchresults&map=1,"Ballsbridge, Dublin","2,6 km du centre","7,6",Bien  ,1 très grand lit double,Plus que 1 hébergement à ce prix sur notre site,1 457 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 95
Capsule dans Dortoir pour Femmes de 10 Lits,https://cf.bstatic.com/xdata/images/hotel/square200/221636514.webp?k=ab1c1bbeb0328e274cab94061dbe0f42732f9f74ad93d848904e4b5f5997397a&o=,Jacobs Inn Dublin,https://www.booking.com/hotel/ie/jacobs-inn.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-1502554&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=db1b89805646019c&srepoch=1698694404&all_sr_blocks=4030235_332718678_0_2_0&highlighted_blocks=4030235_332718678_0_2_0&matching_block_id=4030235_332718678_0_2_0&sr_pri_blocks=4030235_332718678_0_2_0__4322&from_sustainable_property_sr=1&from=searchresults&map=1,"Dublin City Centre, Dublin","0,6 km du centre","8,3",Très bien ,1 lit superposé,,8 737 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 50€ 43
