Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Offre Spéciale - Chambre Lits Jumeaux Supérieure,https://cf.bstatic.com/xdata/images/hotel/square200/156721577.webp?k=d775ecbed2c275b41bd229ae9cd999672e8fc76884bfc2b81723a87cb5be80b8&o=,TURIM Marques Hotel,https://www.booking.com/hotel/pt/turim-marques.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-2167973&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=09875e446caa026e&srepoch=1698672269&all_sr_blocks=209754905_95803057_0_2_0&highlighted_blocks=209754905_95803057_0_2_0&matching_block_id=209754905_95803057_0_2_0&sr_pri_blocks=209754905_95803057_0_2_0__10840&from_sustainable_property_sr=1&from=searchresults&map=1,"Santo Antonio, Lisbonne","1,4 km du centre","8,2",Très bien ,2 lits simples,Plus que 7 hébergements à ce prix sur notre site,3 659 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 lits simples,€ 192€ 108
Chambre Double avec Salle de Bains Commune,https://cf.bstatic.com/xdata/images/hotel/square200/336076485.webp?k=521eff968558f656d451b96a63d5ee6c77ce049bbcfe4913eba5583956683ed8&o=,Majesticlara Lisbon Guest House,https://www.booking.com/hotel/pt/majesticlara-lisbon-guest-house.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-2167973&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=09875e446caa026e&srepoch=1698672269&all_sr_blocks=813644901_365581573_1_0_0&highlighted_blocks=813644901_365581573_1_0_0&matching_block_id=813644901_365581573_1_0_0&sr_pri_blocks=813644901_365581573_1_0_0__6900&from=searchresults&map=1,"Alvalade, Lisbonne","4,1 km du centre","8,0",Très bien ,Hébergement géré par un particulier,Plus que 2 hébergements à ce prix sur notre site,460 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 69
Chambre Double,https://cf.bstatic.com/xdata/images/hotel/square200/476233888.webp?k=6b8ffa897e8118aabc23f2831ccb6a47a25043a25248c90db829dd730561aea4&o=,GuestReady - Corleone boat in Parque das Nações,https://www.booking.com/hotel/pt/guestready-corleone-boat-in-parque-das-nacoes.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-2167973&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=09875e446caa026e&srepoch=1698672269&all_sr_blocks=1041500601_378582988_2_0_0&highlighted_blocks=1041500601_378582988_2_0_0&matching_block_id=1041500601_378582988_2_0_0&sr_pri_blocks=1041500601_378582988_2_0_0__16980&from=searchresults&map=1,"Parque das Nações, Lisbonne","6,2 km du centre","3,5",Note ,1 lit double,,2 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 170
Appartement 1 Chambre,https://cf.bstatic.com/xdata/images/hotel/square200/499009485.webp?k=5cb388f0d8e32708c6f660e61187ac38e0766b6320d42e62b20898e0c1829ea2&o=,"Only Room, Habitacion Lujo Cama Doble 5 min aeropuerto",https://www.booking.com/hotel/pt/habitacion-cama-doble-bano-privado.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-2167973&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=09875e446caa026e&srepoch=1698672269&all_sr_blocks=1091473801_382029809_1_0_0&highlighted_blocks=1091473801_382029809_1_0_0&matching_block_id=1091473801_382029809_1_0_0&sr_pri_blocks=1091473801_382029809_1_0_0__5465&from=searchresults&map=1,Lisbonne,"13,4 km du centre",,,1 lit double,,"1 nuit, 1 adulte",Taxes et frais compris,Taxes et frais compris,1 lit double,€ 55
Chambre Lits Jumeaux,https://cf.bstatic.com/xdata/images/hotel/square200/465959810.webp?k=8424ca749a6a0511f2352dedb634601e3cb09a1dce31663a2bb7eec5316ca706&o=,TURIM Iberia Hotel,https://www.booking.com/hotel/pt/turim-iberia.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-2167973&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=09875e446caa026e&srepoch=1698672269&all_sr_blocks=3971708_88531737_0_2_0&highlighted_blocks=3971708_88531737_0_2_0&matching_block_id=3971708_88531737_0_2_0&sr_pri_blocks=3971708_88531737_0_2_0__12729&from_sustainable_property_sr=1&from=searchresults&map=1,"Avenidas Novas, Lisbonne","3,1 km du centre","8,3",Très bien ,2 lits simples,Plus que 3 hébergements à ce prix sur notre site,3 963 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 lits simples,€ 189€ 127
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square200/25504711.webp?k=0ab2421e71135a502704a3fbbe14fd34c3251eb07ffb19dd2dd836032f84dcba&o=,V Dinastia,https://www.booking.com/hotel/pt/pensao-residencial-dinastia.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-2167973&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=09875e446caa026e&srepoch=1698672269&all_sr_blocks=3913604_369256238_1_2_0&highlighted_blocks=3913604_369256238_1_2_0&matching_block_id=3913604_369256238_1_2_0&sr_pri_blocks=3913604_369256238_1_2_0__5000&from=searchresults&map=1,"Campo de Ourique, Lisbonne","1,7 km du centre","7,0",Bien  ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,2 730 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 50
Chambre Lits Jumeaux,https://cf.bstatic.com/xdata/images/hotel/square200/9645176.webp?k=31ef268e3c5a768209d93e266fb3452939fd3388c5f00032f262e8ead543b952&o=,TURIM Lisboa Hotel,https://www.booking.com/hotel/pt/turim-lisboa.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-2167973&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=09875e446caa026e&srepoch=1698672269&all_sr_blocks=3893109_95163430_2_2_0&highlighted_blocks=3893109_95163430_2_2_0&matching_block_id=3893109_95163430_2_2_0&sr_pri_blocks=3893109_95163430_2_2_0__12595&from_sustainable_property_sr=1&from=searchresults&map=1,"Avenidas Novas, Lisbonne","2,2 km du centre","7,9",Bien  ,2 lits simples,Plus que 6 hébergements à ce prix sur notre site,2 207 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 lits simples,€ 187€ 126
Chambre Double,https://cf.bstatic.com/xdata/images/hotel/square200/259346610.webp?k=d3384c002883a37b41919ec3eeb45b8a265657cf9c299a3a22ab30910a2a1800&o=,Hotel Avenida Park,https://www.booking.com/hotel/pt/avenida-parque.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-2167973&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=09875e446caa026e&srepoch=1698672269&all_sr_blocks=3891702_0_1_0_0&highlighted_blocks=3891702_0_1_0_0&matching_block_id=3891702_0_1_0_0&sr_pri_blocks=3891702_0_1_0_0__6196&from=searchresults&map=1,"Avenidas Novas, Lisbonne","1,8 km du centre","6,8",Note ,1 lit double,,632 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 62
Chambre Simple avec Salle de Bains Commune,https://cf.bstatic.com/xdata/images/hotel/square200/332025459.webp?k=ac5736b5194b5254ab6f2c27bf725d5e257ca5d7bb725b2e505cf817eae4d3b2&o=,Residência Almirante,https://www.booking.com/hotel/pt/residencia-almirante.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-2167973&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=09875e446caa026e&srepoch=1698672269&all_sr_blocks=149769105_87730139_0_0_0&highlighted_blocks=149769105_87730139_0_0_0&matching_block_id=149769105_87730139_0_0_0&sr_pri_blocks=149769105_87730139_0_0_0__4190&from=searchresults&map=1,"Arroios, Lisbonne","1,1 km du centre","6,9",Note ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,956 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 42
Studio Supérieur,https://cf.bstatic.com/xdata/images/hotel/square200/72000604.webp?k=844dbde84b8dd9181b5053647357ad5d95e890bc19226ab165a47b1e76d94705&o=,Ascensor da Bica - Lisbon Serviced Apartments,https://www.booking.com/hotel/pt/lisbon-serviced-apartments-ascensor-da-bica.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-2167973&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=09875e446caa026e&srepoch=1698672269&all_sr_blocks=172511702_374124226_0_0_0&highlighted_blocks=172511702_374124226_0_0_0&matching_block_id=172511702_374124226_0_0_0&sr_pri_blocks=172511702_374124226_0_0_0__12400&from=searchresults&map=1,"Misericordia, Lisbonne","0,9 km du centre","8,0",Très bien ,"2 lits (1 canapé-lit, 1 grand lit double)",Plus que 1 à ce prix sur notre site,2 524 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Studio entier • 1 salle de bains • 34m²,€ 124
