Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Chambre Premium - Vue sur Fjord,https://cf.bstatic.com/xdata/images/hotel/square200/242762292.webp?k=65dc20e053622ad60de514a3b3a881fc941ca9c6ffc9005d039d1be271f96925&o=,"Radisson Blu Scandinavia Hotel, Oslo",https://www.booking.com/hotel/no/radisson-blu-scandinavia-oslo.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-273837&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c7008b92b4de00a1&srepoch=1698695465&all_sr_blocks=2377634_184334238_2_2_0&highlighted_blocks=2377634_184334238_2_2_0&matching_block_id=2377634_184334238_2_2_0&sr_pri_blocks=2377634_184334238_2_2_0__199500&from_sustainable_property_sr=1&from=searchresults&map=1,"Oslo City Centre, Oslo","0,6 km du centre","7,8",Bien  ,Types de lits : 1 lit double ou 2 lits simples,,8 005 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 242€ 169
Chambre Standard,https://cf.bstatic.com/xdata/images/hotel/square200/232797070.webp?k=2514b4e98fad7a1de3d79785b35eb62b740739592a8c33ccc885afd00abb7432&o=,"Radisson Blu Hotel Nydalen, Oslo",https://www.booking.com/hotel/no/radisson-blu-nydalen.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-273837&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c7008b92b4de00a1&srepoch=1698695465&all_sr_blocks=2377515_203920906_2_2_0&highlighted_blocks=2377515_203920906_2_2_0&matching_block_id=2377515_203920906_2_2_0&sr_pri_blocks=2377515_203920906_2_2_0__132500&from_sustainable_property_sr=1&from=searchresults&map=1,Oslo,"4,2 km du centre","8,0",Très bien ,Types de lits : 1 lit double ou 2 lits simples,,3 383 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 112
Mini-Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square200/71392257.webp?k=37b821354ee6843e041c344c4a90c5d87eb90fb6dceecaa597385a30574f7b11&o=,Smarthotel Oslo,https://www.booking.com/hotel/no/smarthotel-oslo.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-273837&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c7008b92b4de00a1&srepoch=1698695465&all_sr_blocks=54011401_330912560_0_2_0&highlighted_blocks=54011401_330912560_0_2_0&matching_block_id=54011401_330912560_0_2_0&sr_pri_blocks=54011401_330912560_0_2_0__113000&from_sustainable_property_sr=1&from=searchresults&map=1,"Oslo City Centre, Oslo","0,5 km du centre","7,8",Bien  ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,11 149 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 96
Petite Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square200/388743441.webp?k=4fd93959fbc97361435a2d2bbee4af96eb66875518d7d23960f4e6635b6d65d1&o=,Citybox Oslo,https://www.booking.com/hotel/no/citybox-oslo.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-273837&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=c7008b92b4de00a1&srepoch=1698695465&all_sr_blocks=54730801_245114580_0_0_0&highlighted_blocks=54730801_245114580_0_0_0&matching_block_id=54730801_245114580_0_0_0&sr_pri_blocks=54730801_245114580_0_0_0__104465&from_sustainable_property_sr=1&from=searchresults&map=1,"Oslo City Centre, Oslo","0,5 km du centre","8,0",Très bien ,1 lit simple,,23 448 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 104€ 89
Lit dans Dortoir pour Hommes de 6 Lits,https://cf.bstatic.com/xdata/images/hotel/square200/405311562.webp?k=e72450b85806b8dff787f83e3a4ade7dc435a837d7cef4ce1f563a116c873982&o=,HI Oslo Haraldsheim,https://www.booking.com/hotel/no/oslo-vandrerhjem-haraldsheim.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-273837&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c7008b92b4de00a1&srepoch=1698695465&all_sr_blocks=34335305_242643541_0_1_0&highlighted_blocks=34335305_242643541_0_1_0&matching_block_id=34335305_242643541_0_1_0&sr_pri_blocks=34335305_242643541_0_1_0__53550&from_sustainable_property_sr=1&from=searchresults&map=1,Oslo,"4,1 km du centre","8,2",Très bien ,1 lit superposé,,4 673 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 45
Chambre Simple Économique,https://cf.bstatic.com/xdata/images/hotel/square200/114749244.webp?k=3727a45d95a053b226afb2bab5489e63533ace1ad2ddfafb828ba77642952662&o=,Comfort Hotel Xpress Youngstorget,https://www.booking.com/hotel/no/comfort-xpress.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-273837&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=c7008b92b4de00a1&srepoch=1698695465&all_sr_blocks=24650215_359758995_1_0_0&highlighted_blocks=24650215_359758995_1_0_0&matching_block_id=24650215_359758995_1_0_0&sr_pri_blocks=24650215_359758995_1_0_0__104900&from_sustainable_property_sr=1&from=searchresults&map=1,"Grünerløkka, Oslo","0,7 km du centre","7,6",Bien  ,1 lit simple,,3 671 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 89
Petite Chambre Lits Jumeaux Économique,https://cf.bstatic.com/xdata/images/hotel/square200/339637234.webp?k=f29549014ab317f7b2690ce636803df6d5245d9cc1b617612440e0554f59d6a6&o=,The Verdandi Hotel,https://www.booking.com/hotel/no/verdandi-oslo.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-273837&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=c7008b92b4de00a1&srepoch=1698695465&all_sr_blocks=369602901_379532466_2_2_0&highlighted_blocks=369602901_379532466_2_2_0&matching_block_id=369602901_379532466_2_2_0&sr_pri_blocks=369602901_379532466_2_2_0__107900&from_sustainable_property_sr=1&from=searchresults&map=1,"Oslo City Centre, Oslo",200 m du centre,"7,5",Bien  ,2 lits simples,Plus que 5 hébergements à ce prix sur notre site,6 880 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 lits simples,€ 91
Chambre Standard,https://cf.bstatic.com/xdata/images/hotel/square200/232810924.webp?k=61b06a1336d2f529e11213753648ba2f0f48be90129ed71dee41bf747317716f&o=,Park Inn by Radisson Oslo,https://www.booking.com/hotel/no/park-inn-oslo.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-273837&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=c7008b92b4de00a1&srepoch=1698695465&all_sr_blocks=17510906_246091040_2_2_0&highlighted_blocks=17510906_246091040_2_2_0&matching_block_id=17510906_246091040_2_2_0&sr_pri_blocks=17510906_246091040_2_2_0__202200&from_sustainable_property_sr=1&from=searchresults&map=1,"Oslo City Centre, Oslo",300 m du centre,"8,1",Très bien ,Types de lits : 1 lit double ou 2 lits simples,,4 248 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 171
Chambre Simple Supérieure,https://cf.bstatic.com/xdata/images/hotel/square200/422620137.webp?k=dbeda8d1355807d01b14ee3a2e61dcc109910715864e6eab8c330b88be1f4528&o=,Cochs Pensjonat,https://www.booking.com/hotel/no/cochs-pensjonat.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-273837&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c7008b92b4de00a1&srepoch=1698695465&all_sr_blocks=28086209_91065003_0_0_0&highlighted_blocks=28086209_91065003_0_0_0&matching_block_id=28086209_91065003_0_0_0&sr_pri_blocks=28086209_91065003_0_0_0__105000&from_sustainable_property_sr=1&from=searchresults&map=1,"Frogner, Oslo",1 km du centre,"8,1",Très bien ,1 lit simple,Plus que 5 hébergements à ce prix sur notre site,3 905 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 89
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square200/443994853.webp?k=2bdaa9366e3745322f0d4d229e65c2f7311275bbdaad1740b7fd66174f863bde&o=,Anker Hotel,https://www.booking.com/hotel/no/anker-hotel.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-273837&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=c7008b92b4de00a1&srepoch=1698695465&all_sr_blocks=2373901_275437864_0_2_0&highlighted_blocks=2373901_275437864_0_2_0&matching_block_id=2373901_275437864_0_2_0&sr_pri_blocks=2373901_275437864_0_2_0__99000&from_sustainable_property_sr=1&from=searchresults&map=1,"Grünerløkka, Oslo","1,2 km du centre","7,7",Bien  ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,12 503 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 84
