Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Loft XL,https://cf2.bstatic.com/xdata/images/hotel/square200/448107908.webp?k=c17ff869ab460777cb9b811eed1b7b3efd51930e701a2eb3477e5457a84daac9&o=,Zoku Paris,https://www.booking.com/hotel/fr/zoku-paris.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=661c61b7dbee0227&srepoch=1698933234&all_sr_blocks=937194705_365913036_1_2_0&highlighted_blocks=937194705_365913036_1_2_0&matching_block_id=937194705_365913036_1_2_0&sr_pri_blocks=937194705_365913036_1_2_0__14502&from_sustainable_property_sr=1&from=searchresults&map=1,"17e arr., Paris","5,3 km du centre","9,0",Fabuleux  ,1 très grand lit double,Plus que 3 à ce prix sur notre site,601 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Studio entier • 1 salle de bains • 1 cuisine • 29m²,€ 240€ 145-40 %
Chambre Style,https://cf2.bstatic.com/xdata/images/hotel/square200/466014443.webp?k=5d05c2f38b420240d795fe164a35801e9f7b696615728d9786a7809ad7087e9d&o=,Villa Marquis Member of Meliá Collection,https://www.booking.com/hotel/fr/villa-marquis-member-of-melia-collection.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=661c61b7dbee0227&srepoch=1698933234&all_sr_blocks=5329608_91988888_2_2_0&highlighted_blocks=5329608_91988888_2_2_0&matching_block_id=5329608_91988888_2_2_0&sr_pri_blocks=5329608_91988888_2_2_0__34206&nad_id=21658028-1975-4430-9735-2cf9a24797c7_1&nad_cpc=1.57&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IksrQUZxcXIrazEybXNibzNsd2hDeFFsZURIVzNQczMvSzlzTWNOendDZkpuQWRrcHVvUS83bytxY3hCMk43OGNJSWJrQ0hjanY0MTVlN1d4eTNtQ0wxYWhZbGZCSWxJTzR4dUt3bTBHdnk3ZDVaRndoQ1BsaEdwMmJXZCtxLzJiNU91VjdFMHltNmtWR3dJc1I4Y1AyL2VNZVlZZm5HWkc2eEhaYlk1cC9iVTErYW9FMUxHZnZFWURnSDhxdEs1Y1NUY29GQm5wOWFIcnBPd2pBNG92YnF2d0ZrT0FITnlDZERWdXBnL1FieDRrRVF5Qjl5MmFxb3hCVkhnb1VBRysrWU1tZ0JCeGdnN1pHcmp1OEJyMmhHeFliYlViSUpvZFIwT2pEeXJRQnpvcFZOaWE3M2lUaHgrS3Q5N0JtMUhadEh5cFhxN0ZUaytaazEyMFZlbHJDeSt2YUZNZTM5c1daamt4YzRIckNPWFdnYW1IUXQ5TXJzaldCOWcvQWFBUmR6enhod2Z5TkNpeldHd1ErMnB5ZFF5ZjlsQzNKWFlRdlpjZVVZNnpFMFhIbVBKTjlxMUdQZHRVVzNPRGZTdldQK0hCeWcxZTYrSkVDZ3dUWCtaS2ErbTFzQkZ0dkp5L25WZUs3UGpla1d0eDZ3bGVhQ09XT3pvczVmdWNUK1RiaDZ1c2tKWnpBQlFlaW0yRVpXOGpjUEd3MERpUStwOENSdC9CNUdYNVgwYVZodTR2ZUlYTi9JUERRYVJIOUFYdE5salpKN20xQ29jeE1CTjlxalBVeGxpdEhYV2xSRXp1bFhjR2RxamowK1F2cURIQUhvNVJHTThkaGF3MkpUUmtCcEVockozNFdQMUV4WElUTzkzY0hheFNVT1gxdGNMYnpUYmU1NWd5M0MwN2FqYXp2b1FkSE0zQ3hKckpLRVJzbVBPTlhyN2VXV3d0VFJIS0Y1UGNLT01pYjVpd3FtUEpvdE0rVEZoVmM3YlVxSDVIcW44ZHVLZ25YLzFlTUdtb2hpQlh0eG5lQU1LQ3hnVUlKdHByNGllOGJlNVlQWlNQQ09TS2hOdjFBNTJuVzJtR0RXbkt4Z3NDRTFlblNJaTVSR3RmbWwxQjdCSlkxWUFvWFRGd1FXc3Q4Ti9Pdk41OElleCt3Y0VnVWtwd0hVNi9wbURjMUpzMU1QcWdSbTZUa1Z1eWhtdGI1a3YwMmd3SGxqSlRpZjZjZHZNV2F6OWhsNkd1UTBZSGxTRHhDVXFnNDRaMmNaVkthbll2S09tRk9SM3JxV0Q1NHN5akNERWV0MHhudVlrRzdMcC9OVWpDU0RsbzB3dHcrTFc0ZFd0MW5xTElxRFZxOWVyUGJLZmhWVkw4Q1JaUExia1A5dzNnN2tSY2p1WUZvVWNMQkZzaGREK2Qxelo0a1VoMlVFekVCSlk2M2xyMVJxYXpINzk4b2tSTG42cmhiSTQwMWQ4VnV4TXVVdWZxaDRLTFlnV0Q1L21FMUhDTU5WY2h5YVA5bjNBMTlsRGJ0dGh1c3ZjRkNidFl4YmZHZ1JNY2FLQmtLN21FSTh2NVQ4MlZvR1d5NS9FQ2lvY0xNWjVERXpZVXB6czRxa0RsVktGbDNyMXpzcHZLNGljMVByTEJaQUNtR1hlSHpvRjRyOS9keHBvazNPWFN6QXZTM09TWWdOcUxBK25QbjVvSWU3MDFlRDhiTUp3UjBORUdNdDlRQ3NFU204YVYzWmNadUZwUCtMcnlXSU4xQUtiLzM5QUtSdzdNSGFnbncvNDlOeG5Gc0NEZDVZZFpiK2V5VUg0MHlTYzMwSk9qRlEzUVZ0TDdRWEpFUWphOXlpdHRHRXJLaGY5ZDF5MHJNQ1F1TURMaXdqMi9QTE11NlVKa3FFak5mMDFJa0NxWTVTMUg0cUNkd2laRXlaaTdRNTJwODJLd09lOGptSSt4Sk01UFVtRnZkamgxYTJYaWVPNlhwdGFVZ3JUV2RzUEF2S1prMDI5T0RTNDBndXBMTG95OGYvc1Awdm5qSkN4M3RQUUdYK1dPTitHR0grbGhDN3F4QVdLRVJhSkx4YnlDNEhCckEzWXFXT2pNOWZuNEJuS1g1N1U1dHQybmErZEh3NWNFN0FmVXFyeTlOUnJ0ZDBuWHNSY3I0c0tKZWszUVlLa0p5bFY0Q1JWYWpFZXRzY3RVTG5EL1lROUZDejhhdEs4VGdkS0V5d3FaRUVZS0JJUkhSYWU5VUJJdTBUclpqaVVuUEpjZW1lbkxmR2F5ZkZLZHdVbkh4cGltbzZrc0h0ZlVRQ3VTZFVRQ21uMVBIVmhsS2g5SkwrSiszVHhvVWR0cTA4K3IzbXRGd0tuTTAvalhtdUtybmNVUDNZZ0NYSjArMStlRlZzbnhYOXhZTFk4ejZQTk5pQVJsTjRNQUZYdEhnZ1h2MmdGNzBNaFlNSjJCeTZtTmd3b25mWDNmcHBtU3BZd1NmcVBNRk9OWlpsVTJyRXZxYjhDVlpoN3h2MFBnbDlmMkVkQ044TVRmRWovL2NoS0c3RFJnSTVnRHdEVkR5WkpkeXNORzh1cEJQOHgvTFhvWi85MG43UlBaaEJNeVNZTjRCdUFjYmpUUThvZzUxOWpwa1FTQTNvV0xqWXpXdk90SnRXeE1ZSUhtTGxCZXROTkZCSHVncTI0K3EyZDJMeWduSHFIMndPT2xuR2h0bFU4UU5uRWRTV1g2VlRvZ09ubVE3SUk4SkVDQVdZWDNCWm1DRS9vUEpUKzhnNk10R0NoQXJJUk16eW95ajhQanZ6Z0wxZC9ncEpWY0dJbWF5RWNLc09hU3huL2FhMGllakMrL3pKSXVITGtTYU5CMmc5Q0hPOGJYZU1idisyb2dJNjBZTEZBQk1rcWxmQXdRR1crK25yVWplLzEzcmNXWGVIV3Vjamo0YUVuZE5GcUFEUWNjOFZqY0tHOHpQeFdmRzNZMjNiZ0tlRUlYNVNEYXFxdXZZMFUzc2s2d0I3cExnM2QralNhNS90end6SlMwdTA4VE9nYU1tWHl4RHEwYnJiMnQ4TUpFb3VMY1MyVnZHOXZ6ZzV5NHIveldqMWZZN0hsNTcwa0kwSnRxMjRkT01LemtJc01sb1VIN1k5emlwT2h4Y0FxVkE3b0M0dUxucVYwdENoNVhKV05jd0l5WlNMRWRLdWRQYTF1VEtUbE1YSENyV1N4Z2h1UGZoTWFBVzFaR29ubzlqL3kwaVlQL1doUU5KL3FqUVpLUWZ5UXY0UktZVlhncjJHTGRhams3RWoxS2k5d0pWU01DOU0xTEdsemVmMktMRFBRZ3BHU0JpYlBGN2pHRWRvdWNZN2ZDQUwyWHFlN3hkTEpmV1ptMThLQThnM1daYVJqbU43ajZmbG8ycW0zcTVMN09iR21ueldVT2gwdGc3RkRGYlVGWHFybldTeEFQZ2lQN2cwWFYrSjM0d1AyVnFUcGlKS3hDczdsdWUvR2JuNkxSYlpnYXlpazVjakFvMGFZUUlWNzRkT011VXkwQWgzTFFqYitSYXM3SjFCUkgrbkw5N2drc0FSbjV3OHBBRTlzRkdPdFJpU1dvTzZFNU5kdzY3YnNQYjNoelRFRE51QVRSd1BxbEowSnFhbmhhT04yY2ZmUU1NanRoenZmOVdZTjZ4RHFrNGo1dnRwMmRGNENEZE1ObXRpL1NwQlJjK0xJaXR2eHVJT1EvdHhob1RJRml1TDRJeURhcnZneHlDZ3E2Vkw0SHRaM3hBdkZUWGpxKytUSmJ2cEd6WXdwUTdqQjd2QXNQMTZJUjI4c3I2Rk5NIn0%3D&from_sustainable_property_sr=1&from=searchresults&map=1,"8e arr., Paris","3,6 km du centre","8,6",Superbe ,1 grand lit double,Plus que 5 hébergements à ce prix sur notre site,300 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 472€ 342-28 %
Chambre Simple avec Salle de Bains Privative,https://cf2.bstatic.com/xdata/images/hotel/square200/48655644.webp?k=7b357547e0b7f8fdc0031604bca7a7cb5b22171ae098cfcc5160aa309011c774&o=,Hôtel Avenir Jonquière,https://www.booking.com/hotel/fr/avenir-jonquiere.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=661c61b7dbee0227&srepoch=1698933234&all_sr_blocks=140374106_116641296_0_2_0&highlighted_blocks=140374106_116641296_0_2_0&matching_block_id=140374106_116641296_0_2_0&sr_pri_blocks=140374106_116641296_0_2_0__7000&from=searchresults&map=1,"17e arr., Paris","4,5 km du centre","7,9",Bien  ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,1 823 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 70
Chambre Simple,https://cf2.bstatic.com/xdata/images/hotel/square200/76073434.webp?k=e9ce33e48a4c3e1d172bd495acb73ac61ae6b7622cd41b4d2c6b5409c88c195d&o=,Apollon Montparnasse,https://www.booking.com/hotel/fr/apollon-montparnasse.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=661c61b7dbee0227&srepoch=1698933234&all_sr_blocks=189619306_92687463_0_2_0&highlighted_blocks=189619306_92687463_0_2_0&matching_block_id=189619306_92687463_0_2_0&sr_pri_blocks=189619306_92687463_0_2_0__8688&from_sustainable_property_sr=1&from=searchresults&map=1,"14e arr., Paris","3,5 km du centre","7,9",Bien  ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,1 820 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 87
Chambre Simple Classique,https://cf2.bstatic.com/xdata/images/hotel/square200/16858658.webp?k=a276b0fe8d795b6425ce24b82e59411a216eb3937d215d7d0617c5f7b8ac84b7&o=,Best Western Plus 61 Paris Nation Hotel,https://www.booking.com/hotel/fr/best-western-premier-61-paris-nation-hotel.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=661c61b7dbee0227&srepoch=1698933234&all_sr_blocks=5045421_346755173_1_2_0&highlighted_blocks=5045421_346755173_1_2_0&matching_block_id=5045421_346755173_1_2_0&sr_pri_blocks=5045421_346755173_1_2_0__8978&from_sustainable_property_sr=1&from=searchresults&map=1,"12e arr., Paris","4,4 km du centre","7,6",Bien  ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,1 479 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 90
Chambre Simple Standard,https://cf2.bstatic.com/xdata/images/hotel/square200/110160721.webp?k=f9bbf725cf6b2642e2bae2a40f2bbb6d13964a164265d98ce8193ac9eeaf7b99&o=,Hôtel Saint Marcel,https://www.booking.com/hotel/fr/marcel-paris.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=661c61b7dbee0227&srepoch=1698933234&all_sr_blocks=140974201_86804307_1_2_0&highlighted_blocks=140974201_86804307_1_2_0&matching_block_id=140974201_86804307_1_2_0&sr_pri_blocks=140974201_86804307_1_2_0__7838&from_sustainable_property_sr=1&from=searchresults&map=1,"13e arr., Paris","2,1 km du centre","8,3",Très bien ,1 lit simple,Plus que 3 hébergements à ce prix sur notre site,1 931 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 78
Chambre Simple,https://cf2.bstatic.com/xdata/images/hotel/square200/369485033.webp?k=6f1fa62454a573274fee426bf4514599bb436cefcda64c745ed43a003cf46f39&o=,Hôtel Beauchamps,https://www.booking.com/hotel/fr/beauchamps.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=661c61b7dbee0227&srepoch=1698933234&all_sr_blocks=5516624_332758414_0_2_0&highlighted_blocks=5516624_332758414_0_2_0&matching_block_id=5516624_332758414_0_2_0&sr_pri_blocks=5516624_332758414_0_2_0__11188&from_sustainable_property_sr=1&from=searchresults&map=1,"8e arr., Paris","3,5 km du centre","7,2",Bien  ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,1 663 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 112
Chambre Simple,https://cf2.bstatic.com/xdata/images/hotel/square200/110620860.webp?k=1124bc20fb42833a7da0289e77493b9622b44c87f759a1bbd9eb61d1286dd9d2&o=,Hôtel Liège Strasbourg,https://www.booking.com/hotel/fr/liege-strasbourg.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=661c61b7dbee0227&srepoch=1698933234&all_sr_blocks=5462805_364842147_0_2_0&highlighted_blocks=5462805_364842147_0_2_0&matching_block_id=5462805_364842147_0_2_0&sr_pri_blocks=5462805_364842147_0_2_0__7113&from=searchresults&map=1,"10e arr., Paris","1,9 km du centre","7,2",Bien  ,1 lit double,Plus que 4 hébergements à ce prix sur notre site,2 492 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 71
Chambre Affaires,https://cf2.bstatic.com/xdata/images/hotel/square200/289009461.webp?k=3fcaa01e30ea19bfc55d3169be6de727dc39a203de440e2805758eec005032be&o=,Hotel de L'Esperance,https://www.booking.com/hotel/fr/de-l-39-esperance.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=661c61b7dbee0227&srepoch=1698933234&all_sr_blocks=260922801_104860512_1_2_0&highlighted_blocks=260922801_104860512_1_2_0&matching_block_id=260922801_104860512_1_2_0&sr_pri_blocks=260922801_104860512_1_2_0__12388&from=searchresults&map=1,"5e arr., Paris","2,1 km du centre","8,5",Très bien ,1 lit double,Plus que 2 hébergements à ce prix sur notre site,2 682 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 124
Hébergement Simple Confort,https://cf2.bstatic.com/xdata/images/hotel/square200/463124697.webp?k=e2dee6e66284767fb1747e9733cd28be5b31607f15bf16ffa84efaf8d4d222a5&o=,Hôtel Brittany,https://www.booking.com/hotel/fr/hotelbrittanyparis.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=661c61b7dbee0227&srepoch=1698933234&all_sr_blocks=5155709_266143793_1_2_0&highlighted_blocks=5155709_266143793_1_2_0&matching_block_id=5155709_266143793_1_2_0&sr_pri_blocks=5155709_266143793_1_2_0__11488&from_sustainable_property_sr=1&from=searchresults&map=1,"9e arr., Paris","2,4 km du centre","8,5",Très bien ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,272 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 115
