Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
,https://cf2.bstatic.com/xdata/images/hotel/square600/216702642.webp?k=98951328a13fe49363db9413892d8a3104606d119f998b2ad5eeb620eafb3a05&o=,R13 - A Townhouse Hotel,https://www.booking.com/hotel/is/room-11-a-townhouse.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2651804&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=17024510a2cb00f7&srepoch=1698918564&from_sustainable_property_sr=1&from=searchresults&map=1,"Reykjavík East, Reykjavik",3 km du centre,"8,1",Très bien ,"Situé à Reykjavík, à 2,9 km de la plage géothermique de Nauthólsvík, le R13 - A Townhouse Hotel propose une connexion Wi-Fi gratuite, l'enregistrement et le départ rapides ainsi qu'un bureau...",,2 954 expériences vécues,,,,
,https://cf2.bstatic.com/xdata/images/hotel/square600/203792249.webp?k=3fb2e52d1f7088275f72ecee8fa8f6327926be2c3b60f07dae61cbb3583c9bc4&o=,ODDSSON Hotel,https://www.booking.com/hotel/is/oddsson.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2651804&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=17024510a2cb00f7&srepoch=1698918564&from_sustainable_property_sr=1&from=searchresults&map=1,"Reykjavík East, Reykjavik","3,6 km du centre","8,3",Très bien ,"L’ODDSSON Hotel propose des hébergements modernes dotés d’une télévision par satellite à écran plat et d’une salle de bains privative à Reykjavík, à 1,5 km du parc familial Laugardalur. ",,4 254 expériences vécues,,,,
,https://cf2.bstatic.com/xdata/images/hotel/square600/51920001.webp?k=dd4b7f2a51b5c41850e1839f2c5ff92413add9a9c00878d4ef6795f3fb585667&o=,101 Guesthouse Hotel,https://www.booking.com/hotel/is/101-guesthouse-reykjavik.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2651804&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=17024510a2cb00f7&srepoch=1698918564&from=searchresults&map=1,"Reykjavík 101, Reykjavik","1,2 km du centre","7,3",Bien  ,"Découvrez le confort et la commodité du 101 Guesthouse Hotel, situé sur Laugavegur 101, au cœur de Reykjavik. ",,1 637 expériences vécues,,,,
,https://cf2.bstatic.com/xdata/images/hotel/square600/91754128.webp?k=5536c2a6ecd85ea7a7d8e3b2f04011a93ce2f3b75a3d73c43f61cb0f3633fe88&o=,105 - A Townhouse Hotel,https://www.booking.com/hotel/is/105-a-townhouse.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2651804&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=17024510a2cb00f7&srepoch=1698918564&from=searchresults&map=1,"Reykjavík 101, Reykjavik","1,4 km du centre","8,2",Très bien ,"Le 105 - A Townhouse Hotel se trouve à Reykjavík, à 400 mètres de la place Hlemmur et à 800 mètres de l'église Hallgrímskirkja. Le parking sur place est privé. ",,941 expériences vécues,,,,
,https://cf2.bstatic.com/xdata/images/hotel/square600/327303990.webp?k=248a532b30a6a33865e04511bfaa7578d221bdcdcf0275adfbfafb78399e68a5&o=,Reykjavik Natura - Berjaya Iceland Hotels,https://www.booking.com/hotel/is/loftleidir.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2651804&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=17024510a2cb00f7&srepoch=1698918564&from_sustainable_property_sr=1&from=searchresults&map=1,"Reykjavík 101, Reykjavik","1,9 km du centre","8,1",Très bien ,"Cet établissement respectueux de l’environnement vous accueille à proximité de la paisible colline boisée d’Öskjuhlíd, à 1 km de la plage géothermale de Nauthólsvík. ",,2 218 expériences vécues,,,,
,https://cf2.bstatic.com/xdata/images/hotel/square600/336713022.webp?k=5b51308d7f56828ee00308a6ba2f998a38756a4a9a33b03f71b0b179a64e4875&o=,Guesthouse Pavi,https://www.booking.com/hotel/is/guesthouse-pavi.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2651804&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=17024510a2cb00f7&srepoch=1698918564&from_sustainable_property_sr=1&from=searchresults&map=1,"Reykjavík 101, Reykjavik","1,5 km du centre","7,2",Bien  ,"Le Guesthouse Pavi vous accueille à Reykjavik, à seulement 50 mètres du trek du Laugavegur. ",,2 963 expériences vécues,,,,
,https://cf2.bstatic.com/xdata/images/hotel/square600/144726179.webp?k=7eeee9cd951e306a571c2dd8e5a95ac55f9c735b8ec563610c5a74fa4b54bc2a&o=,201 Hotel,https://www.booking.com/hotel/is/first-kopavogur.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2651804&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=17024510a2cb00f7&srepoch=1698918564&from_sustainable_property_sr=1&from=searchresults&map=1,"Kópavogur, Reykjavik",6 km du centre,"8,0",Très bien ,"Bénéficiant gratuitement d'un parking et d'une connexion Wi-Fi en chambre, le First Hotel Kopavogur propose un enregistrement en libre-service pour plus de commodité. ",,6 454 expériences vécues,,,,
,https://cf2.bstatic.com/xdata/images/hotel/square600/52384955.webp?k=d82f9abe8d18480fa3eb977227746226239c1b292e1551af2be63582bc861489&o=,Hótel Heiðmörk,https://www.booking.com/hotel/is/heidmork.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2651804&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=17024510a2cb00f7&srepoch=1698918564&from=searchresults&map=1,"Kópavogur, Reykjavik","8,7 km du centre","8,1",Très bien ,"Situé à Reykjavík, à 8,1 km du restaurant gastronomique futuriste Perlan, l'Hótel Heiðmörk propose un bar, un parking privé gratuit et un salon commun. ",,1 481 expériences vécues,,,,
,https://cf2.bstatic.com/xdata/images/hotel/square600/496930194.webp?k=ce45809dda491984f99cd5d3921b15f833b3bd0957460ed8c0dfeff3b2778077&o=,Dtown Apartment for 2-3 persons,https://www.booking.com/hotel/is/dtown-apartment-for-2-3-persons-reykjavik1.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2651804&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=17024510a2cb00f7&srepoch=1698918564&from=searchresults&map=1,"Reykjavík 101, Reykjavik",300 m du centre,"9,0",Fabuleux  ,Hébergement géré par un particulier,,2 expériences vécues,,,,
,https://cf2.bstatic.com/xdata/images/hotel/square600/51921109.webp?k=adf1bb986fd7de0cfe9599c182e800a124e8e40e8e1c3567b0095520bbf4f5a7&o=,100 Iceland Hotel,https://www.booking.com/hotel/is/100-iceland.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2651804&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=17024510a2cb00f7&srepoch=1698918564&from_sustainable_property_sr=1&from=searchresults&map=1,"Reykjavík 101, Reykjavik","1,2 km du centre","7,3",Bien  ,"Commode et confortable, le 100 Iceland Hotel est situé au 100 de la rue Laugavegur, au cœur de Reykjavik. ",,1 944 expériences vécues,,,,
