Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Appartement 1 Chambre,https://cf.bstatic.com/xdata/images/hotel/square200/501666376.webp?k=785b40832143a5f7b3649971703bf464e4472dddb0321b665a0df553650095f5&o=,City LEKS apartment,https://www.booking.com/hotel/mk/city-leks-apartment.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-95841&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=52dc4d504cfb01f1&srepoch=1698922790&all_sr_blocks=1095607601_382466510_1_0_0&highlighted_blocks=1095607601_382466510_1_0_0&matching_block_id=1095607601_382466510_1_0_0&sr_pri_blocks=1095607601_382466510_1_0_0__3960&from_sustainable_property_sr=1&from=searchresults&map=1,"Skopje City-Centre, Skopje","1,1 km du centre",,,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,Taxes et frais compris,"2 lits (1 lit double, 1 canapé-lit)",€ 40
Chambre Double Deluxe,https://cf.bstatic.com/xdata/images/hotel/square200/408618599.webp?k=5fd6aa5d977af2f497b7116465edc6b6f1fddfd23373fae95b7ac4c5d8e3c34f&o=,The Bulevard Hotel,https://www.booking.com/hotel/mk/the-bulevard.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-95841&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=52dc4d504cfb01f1&srepoch=1698922790&all_sr_blocks=588606101_370191058_2_0_0&highlighted_blocks=588606101_370191058_2_0_0&matching_block_id=588606101_370191058_2_0_0&sr_pri_blocks=588606101_370191058_2_0_0__2375&from=searchresults&map=1,Skopje,"4,9 km du centre","8,3",Très bien ,2 lits simples,Plus que 3 hébergements à ce prix sur notre site,409 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 lits simples,€ 24
Chambre Double,https://cf.bstatic.com/xdata/images/hotel/square200/462826990.webp?k=67da50f80ac234c23eddbb8f65d8cc43c281566423cdb70361aed7231d4d8108&o=,Hotel Centar,https://www.booking.com/hotel/mk/centar.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-95841&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=52dc4d504cfb01f1&srepoch=1698922790&all_sr_blocks=43281102_371027070_1_1_0&highlighted_blocks=43281102_371027070_1_1_0&matching_block_id=43281102_371027070_1_1_0&sr_pri_blocks=43281102_371027070_1_1_0__5600&from=searchresults&map=1,"Skopje City-Centre, Skopje","1,1 km du centre","8,5",Très bien ,1 grand lit double,Plus que 5 hébergements à ce prix sur notre site,670 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 56
Lit Superposé Simple dans Dortoir Mixte,https://cf.bstatic.com/xdata/images/hotel/square200/200562915.webp?k=44391ae0221a1a12097db95b4ef0001957376ca11a35f12228e4725032e05adc&o=,Hostel Inbox,https://www.booking.com/hotel/mk/hostel-inbox.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-95841&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=52dc4d504cfb01f1&srepoch=1698922790&all_sr_blocks=511031506_180155598_0_0_0&highlighted_blocks=511031506_180155598_0_0_0&matching_block_id=511031506_180155598_0_0_0&sr_pri_blocks=511031506_180155598_0_0_0__1200&from=searchresults&map=1,"Skopje City-Centre, Skopje","0,8 km du centre","7,8",Bien  ,1 lit simple,,1 480 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 12
Chambre Double Deluxe (2 Adultes + 1 Enfant),https://cf.bstatic.com/xdata/images/hotel/square200/128297244.webp?k=d4bd6476e3967fb5f5c9f0b71d16f55a6eba0fe1725ab2bce2a10017ecef1438&o=,Hotel Cara 28,https://www.booking.com/hotel/mk/cara-1928.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-95841&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=52dc4d504cfb01f1&srepoch=1698922790&all_sr_blocks=293066603_120295827_1_1_0&highlighted_blocks=293066603_120295827_1_1_0&matching_block_id=293066603_120295827_1_1_0&sr_pri_blocks=293066603_120295827_1_1_0__6413&from=searchresults&map=1,"Skopje City-Centre, Skopje",250 m du centre,"7,8",Bien  ,"2 lits (1 lit simple, 1 grand lit double)",Plus que 2 hébergements à ce prix sur notre site,531 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 lit simple, 1 grand lit double)",€ 64
Chambre Double,https://cf.bstatic.com/xdata/images/hotel/square200/449111318.webp?k=1f9790a1853b1079d8f865e4e077accb38c1a9d60efdf8515761dec3df4e08e8&o=,Ibis Skopje City Center,https://www.booking.com/hotel/mk/ibis-skopje-city-center.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-95841&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=52dc4d504cfb01f1&srepoch=1698922790&all_sr_blocks=130219701_376291655_1_1_0&highlighted_blocks=130219701_376291655_1_1_0&matching_block_id=130219701_376291655_1_1_0&sr_pri_blocks=130219701_376291655_1_1_0__7300&from_sustainable_property_sr=1&from=searchresults&map=1,"Skopje City-Centre, Skopje",150 m du centre,"8,3",Très bien ,1 grand lit double,,1 454 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 73
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square200/171142740.webp?k=75fbf15820be8c8b7be62b147b07b7a660cca6e945b10a3e4cdc341b627aea54&o=,AEN Hotel-Old City,https://www.booking.com/hotel/mk/aen.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-95841&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=52dc4d504cfb01f1&srepoch=1698922790&all_sr_blocks=270364201_106145009_0_1_0&highlighted_blocks=270364201_106145009_0_1_0&matching_block_id=270364201_106145009_0_1_0&sr_pri_blocks=270364201_106145009_0_1_0__3600&from=searchresults&map=1,"Skopje City-Centre, Skopje","0,9 km du centre","7,8",Bien  ,1 lit simple,Plus que 3 hébergements à ce prix sur notre site,725 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,"€ 40€ 36
-10 %"
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square200/180833301.webp?k=c1851d1f593256f8de444558e99911aa7a644a15f1138aa1148919044bc00104&o=,Hotel Super 8,https://www.booking.com/hotel/mk/super-8.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-95841&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=52dc4d504cfb01f1&srepoch=1698922790&all_sr_blocks=17720405_335364694_0_1_0&highlighted_blocks=17720405_335364694_0_1_0&matching_block_id=17720405_335364694_0_1_0&sr_pri_blocks=17720405_335364694_0_1_0__4950&from=searchresults&map=1,"Skopje City-Centre, Skopje","0,9 km du centre","7,5",Bien  ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,3 431 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 50
Studio avec Balcon (2 Adultes + 1 Enfant) ,https://cf.bstatic.com/xdata/images/hotel/square200/113695023.webp?k=6d74dbe8502fc410d679760d99259614a91ca315ab31b71e4530b4094b86657c&o=,Moodeight Apartments,https://www.booking.com/hotel/mk/moodeight.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-95841&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=52dc4d504cfb01f1&srepoch=1698922790&all_sr_blocks=252525406_103814651_1_0_0&highlighted_blocks=252525406_103814651_1_0_0&matching_block_id=252525406_103814651_1_0_0&sr_pri_blocks=252525406_103814651_1_0_0__3600&from=searchresults&map=1,Skopje,"1,3 km du centre","9,2",Fabuleux  ,Types de lits : 1 lit double ou 2 lits simples,Plus que 1 à ce prix sur notre site,733 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Studio entier • 1 salle de bains • 1 cuisine • 33m²,"€ 45€ 36
-20 %"
Appartement 1 Chambre,https://cf.bstatic.com/xdata/images/hotel/square200/237742513.webp?k=eafaee8e81db39591e6789a6ec58c9d7f73ccc383d51c82d0a677e97c8ba0c26&o=,The ONE Apart Hotel Luxury Suites & Apartments,https://www.booking.com/hotel/mk/the-one-luxury-suites-amp-apartments-skopje.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-95841&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=52dc4d504cfb01f1&srepoch=1698922790&all_sr_blocks=606438101_237681185_1_0_0&highlighted_blocks=606438101_237681185_1_0_0&matching_block_id=606438101_237681185_1_0_0&sr_pri_blocks=606438101_237681185_1_0_0__5795&from=searchresults&map=1,"Skopje City-Centre, Skopje",300 m du centre,"8,6",Superbe ,"2 lits (1 canapé-lit, 1 grand lit double)",,716 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 canapé-lit, 1 grand lit double)",€ 58
