Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Chambre Quadruple,https://cf.bstatic.com/xdata/images/hotel/square600/497574680.webp?k=bb88a3944408e4837ce3aded86bda0239f83bf17fa37bdb1c9174c0c95e2a543&o=,MY HOSTEL,https://www.booking.com/hotel/bg/my-hostel-sofiia.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-838489&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=8f4d4a83480e00d9&srepoch=1698921355&all_sr_blocks=1088288301_381748532_1_0_0&highlighted_blocks=1088288301_381748532_1_0_0&matching_block_id=1088288301_381748532_1_0_0&sr_pri_blocks=1088288301_381748532_1_0_0__6840&from=searchresults&map=1,"Centre de Sofia, Sofia","1,4 km du centre","1,0",Note ,"5 lits (4 lits simples, 1 lit double)",,1 expérience vécue,Taxes et frais compris,"1 nuit, 1 adulte","5 lits (4 lits simples, 1 lit double)",€ 39€ 35
Studio Deluxe,https://cf.bstatic.com/xdata/images/hotel/square600/432467260.webp?k=d81672c82d8b30b761b76dba929bfe02410d868d701ac8171f49b866fa3cc2c2&o=,Gardenia Apartments,https://www.booking.com/hotel/bg/apart-gardenia.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-838489&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=8f4d4a83480e00d9&srepoch=1698921355&all_sr_blocks=677395501_276455274_1_0_0&highlighted_blocks=677395501_276455274_1_0_0&matching_block_id=677395501_276455274_1_0_0&sr_pri_blocks=677395501_276455274_1_0_0__15466&from_sustainable_property_sr=1&from=searchresults&map=1,"Centre de Sofia, Sofia","1,6 km du centre","9,1",Fabuleux  ,1 grand lit double,Plus que 1 à ce prix sur notre site,301 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Studio entier • 1 salle de bains • 1 cuisine • 30m²,€ 99€ 79
Appartement,https://cf.bstatic.com/xdata/images/hotel/square600/407969212.webp?k=3e0b8b47cb5c77b7f788fde16c22d7db46efaab4f0d401a6d332e593ae06a854&o=,Green Eyes Apartments,https://www.booking.com/hotel/bg/green-eyes.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-838489&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=8f4d4a83480e00d9&srepoch=1698921355&all_sr_blocks=915350617_362983198_3_0_0&highlighted_blocks=915350617_362983198_3_0_0&matching_block_id=915350617_362983198_3_0_0&sr_pri_blocks=915350617_362983198_3_0_0__14800&from=searchresults&map=1,Sofia,"5,5 km du centre","9,2",Fabuleux  ,"2 lits (1 canapé-lit, 1 grand lit double)",Plus que 1 à ce prix sur notre site,266 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 canapé-lit, 1 grand lit double)",€ 76
Appartement 1 Chambre,https://cf.bstatic.com/xdata/images/hotel/square600/493588934.webp?k=740bdfbf25ac2e9dcdfe918b67c371e62e9895b5c9b5c8a036eb4b5a9e3b2995&o=,Calm and Comfy Apartment,https://www.booking.com/hotel/bg/calm-and-comfy-apartment.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-838489&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=8f4d4a83480e00d9&srepoch=1698921355&all_sr_blocks=1079609701_380556239_1_0_0&highlighted_blocks=1079609701_380556239_1_0_0&matching_block_id=1079609701_380556239_1_0_0&sr_pri_blocks=1079609701_380556239_1_0_0__9360&from=searchresults&map=1,Sofia,"5,8 km du centre",,,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,Taxes et frais compris,"2 lits (1 lit double, 1 canapé-lit)",€ 48
Chambre Simple Standard,https://cf.bstatic.com/xdata/images/hotel/square600/322566302.webp?k=6128cfc2ebb815342a8067c51c71a3cfd849de7426fbf4bab115412dbb774fb1&o=,Central Hotel Sofia,https://www.booking.com/hotel/bg/central-sofia.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-838489&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=8f4d4a83480e00d9&srepoch=1698921355&all_sr_blocks=143171434_375343404_0_1_0&highlighted_blocks=143171434_375343404_0_1_0&matching_block_id=143171434_375343404_0_1_0&sr_pri_blocks=143171434_375343404_0_1_0__18105&from_sustainable_property_sr=1&from=searchresults&map=1,"Centre de Sofia, Sofia",500 m du centre,"8,3",Très bien ,1 lit simple,Plus que 2 hébergements à ce prix sur notre site,3 375 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 109€ 93
Lit dans Dortoir Mixte Économique de 6 Lits,https://cf.bstatic.com/xdata/images/hotel/square600/478297683.webp?k=150fe490ba773bd059012269524af674a469c938db749dedcac0f36cf2d1602b&o=,Bla Bla Hostel,https://www.booking.com/hotel/bg/h2o-family.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-838489&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=8f4d4a83480e00d9&srepoch=1698921355&all_sr_blocks=386416727_363192541_1_0_0&highlighted_blocks=386416727_363192541_1_0_0&matching_block_id=386416727_363192541_1_0_0&sr_pri_blocks=386416727_363192541_1_0_0__3000&from_sustainable_property_sr=1&from=searchresults&map=1,"Centre de Sofia, Sofia",450 m du centre,"8,1",Très bien ,1 lit superposé,Plus que 3 lits à ce prix sur notre site,1 074 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 15
Lit dans Dortoir Mixte de 6 Lits,https://cf.bstatic.com/xdata/images/hotel/square600/58453556.webp?k=058b4312cf47b96abb25af46164d491b948543e38232889fe1ad20f2ba594a83&o=,Ivory Tower Hostel,https://www.booking.com/hotel/bg/ivory-tay.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-838489&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=8f4d4a83480e00d9&srepoch=1698921355&all_sr_blocks=125991816_224902943_1_2_0&highlighted_blocks=125991816_224902943_1_2_0&matching_block_id=125991816_224902943_1_2_0&sr_pri_blocks=125991816_224902943_1_2_0__2700&from=searchresults&map=1,"Centre de Sofia, Sofia",300 m du centre,"8,2",Très bien ,1 lit simple,Plus que 2 lits à ce prix sur notre site,1 249 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 14
Appartement Standard,https://cf.bstatic.com/xdata/images/hotel/square600/497597317.webp?k=20210c86ec01dcccd85baee02bf2309e537f9ce1a5989c87a75f42cc71bcdf8d&o=,APARTHOTEL VICTORY SOFIA,https://www.booking.com/hotel/bg/aparthotel-victory-sofia.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-838489&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=8f4d4a83480e00d9&srepoch=1698921355&all_sr_blocks=1073015002_380249184_2_0_0&highlighted_blocks=1073015002_380249184_2_0_0&matching_block_id=1073015002_380249184_2_0_0&sr_pri_blocks=1073015002_380249184_2_0_0__8949&from=searchresults&map=1,"Centre de Sofia, Sofia","1,9 km du centre","7,8",Bien  ,2 lits simples,Plus que 1 à ce prix sur notre site,41 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 lits simples,€ 46
Chambre Lits Jumeaux Standard avec Plateau/Bouilloire Gratuit,https://cf.bstatic.com/xdata/images/hotel/square600/202355284.webp?k=89e3ad3c6f2e7224e0b9c4ff3fb9be123af5ae9fc7b7f36bb20391654075e52d&o=,Hotel Forum - Free Parking,https://www.booking.com/hotel/bg/hotel-forum-free-parking.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-838489&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=8f4d4a83480e00d9&srepoch=1698921355&all_sr_blocks=2900412_196340583_1_1_0&highlighted_blocks=2900412_196340583_1_1_0&matching_block_id=2900412_196340583_1_1_0&sr_pri_blocks=2900412_196340583_1_1_0__12144&from=searchresults&map=1,Sofia,"2,4 km du centre","8,3",Très bien ,2 lits simples,,2 061 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 lits simples,€ 62
Chambre Simple avec Parking Gratuit,https://cf.bstatic.com/xdata/images/hotel/square600/180538935.webp?k=6d768a5ba0b25348f0da46698eb1d04fde7714ed6b7b63bce1529f88908ad005&o=,Hotel of Bulgarian Academy of Sciences,https://www.booking.com/hotel/bg/dom-na-ucheniya-ban.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-838489&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=8f4d4a83480e00d9&srepoch=1698921355&all_sr_blocks=117188701_373180591_0_2_0&highlighted_blocks=117188701_373180591_0_2_0&matching_block_id=117188701_373180591_0_2_0&sr_pri_blocks=117188701_373180591_0_2_0__7300&from=searchresults&map=1,"Geo Milev, Sofia","4,3 km du centre","8,1",Très bien ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,1 224 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 37
