Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
,https://cf.bstatic.com/xdata/images/hotel/square200/495134173.webp?k=f9b26a19fb8e9c560062e54e247705a11c5dbf82d4e8055c48e040312632fb8b&o=,Nene and Jonas Bed and breakfast,https://www.booking.com/hotel/se/nene-and-jonas-bed-and-breakfast.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2524279&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4e59440d59200123&srepoch=1698918046&from=searchresults&map=1,"Vällingby, Stockholm","13,8 km du centre",,,Hébergement géré par un particulier,,,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/467586660.webp?k=0b09427e770d35a8532fa04c8edc967682083615bf218ab103e8b76669593068&o=,A wonderful house in the lake.,https://www.booking.com/hotel/se/a-wonderful-house-in-the-lake.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2524279&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=4e59440d59200123&srepoch=1698918046&from=searchresults&map=1,Stockholm,"13,4 km du centre","9,0",Fabuleux  ,Hébergement géré par un particulier,,1 expérience vécue,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/501046365.webp?k=a4e1e38ac823dc2a18bd90f1bcd7ba83631799e232ca3b132c1fc2a3c7042191&o=,Svea Apartments in Rotebro,https://www.booking.com/hotel/se/svea-apartments-in-rotebro.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2524279&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=4e59440d59200123&srepoch=1698918046&from=searchresults&map=1,Stockholm,"18,5 km du centre",,,"Located 16 km from Rosersberg Palace, Svea Apartments in Rotebro provides accommodation with free WiFi and free private parking. ",,,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/498638382.webp?k=cfac9489aa2720014865074211018f6ee5f15ac58d5dc80eb43469a2e40a28f8&o=,"house 20min from sthlm c, 250meters to lake",https://www.booking.com/hotel/se/house-20min-from-sthlm-c-250meters-to-lake.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2524279&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=4e59440d59200123&srepoch=1698918046&from=searchresults&map=1,Stockholm,"14,6 km du centre",,"Fabuleux  9,3",Hébergement géré par un particulier,,27 commentaires externes,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/473428819.webp?k=ad683c2ab3b1296cfde2a472d16ba4e1444469b3b46440f77753f91300d768dc&o=,Fast WiFi / Perfect location / Self Check-in,https://www.booking.com/hotel/se/fast-wifi-perfect-location-self-check-in.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2524279&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=4e59440d59200123&srepoch=1698918046&from=searchresults&map=1,"Vasastan, Stockholm","1,6 km du centre",,Exceptionnel 10,Hébergement géré par un particulier,,16 commentaires externes,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/467697496.webp?k=d7306d06b79c0c32f5ef209d7797cd82fa05b5f67a5080f526b06c98dad170c4&o=,Lovely family friendly villa w large lush garden,https://www.booking.com/hotel/se/lovely-family-friendly-villa-w-large-lush-garden.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2524279&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=4e59440d59200123&srepoch=1698918046&from=searchresults&map=1,"Älvsjö, Stockholm","7,5 km du centre",,"Exceptionnel 9,9",Hébergement géré par un particulier,,14 commentaires externes,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/494825529.webp?k=ae2f9444414ab3402b13c6f538eed43d1857f91c8656ef08e4a1eade41f5f90a&o=,Norrviken Minute Studio,https://www.booking.com/hotel/se/north-bay-mini-studio-stockholm.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2524279&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=4e59440d59200123&srepoch=1698918046&from_sustainable_property_sr=1&from=searchresults&map=1,Stockholm,"15,7 km du centre",10,Exceptionnel ,"Le Norrviken Minute Studio est situé à Stockholm, à 13 km de la Friends Arena, à 17 km de la place Sergels Torg et à 18 km de la gare centrale de Stockholm. ",,5 expériences vécues,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/499947222.webp?k=4bd68b6e15cd6cc66e31ab6684d0f2dd58468af626a0176f4fe17e751e36a647&o=,Gamla Stan,https://www.booking.com/hotel/se/gamla-stan.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2524279&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=4e59440d59200123&srepoch=1698918046&from=searchresults&map=1,"Gamla Stan, Stockholm","0,9 km du centre",,,"Doté d'une connexion Wi-Fi gratuite, le Gamla Stan propose un hébergement à 1,1 km du centre de Stockholm. Sa cuisine est équipée d'un micro-ondes, d'un réfrigérateur et de plaques de cuisson. ",,,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/73825470.webp?k=a7033f888637e5c20fdd3191aaca98bb24d5bc25ec71bc3b9f0a823d75e18b8b&o=,Generator Stockholm,https://www.booking.com/hotel/se/generator-stockholm.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2524279&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=4e59440d59200123&srepoch=1698918046&from_sustainable_property_sr=1&from=searchresults&map=1,"Norrmalm, Stockholm","0,9 km du centre","8,0",Très bien ,"Le Generator Stockholm est situé dans le quartier Norrmalm de Stockholm. Il propose un salon moderne, plusieurs espaces sociaux et un bar servant des cocktails d’inspiration nordique. ",,11 261 expériences vécues,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/86721939.webp?k=2bf58c9c1f58876c4ea9509d1ae35371ac30c46694c0c94989df29a94b6e5210&o=,City Hostel,https://www.booking.com/hotel/se/city-hostel.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-2524279&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=4e59440d59200123&srepoch=1698918046&from_sustainable_property_sr=1&from=searchresults&map=1,"Kungsholmen, Stockholm","1,2 km du centre","7,8",Bien  ,"Situé dans le quartier Kungsholmen, le City Hostel propose un hébergement à Stockholm. La gare centrale de Stockholm et l'hôtel de ville se trouvent à environ 10 minutes à pied. ",,2 202 expériences vécues,,,,
