Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
,https://cf.bstatic.com/xdata/images/hotel/square200/401540871.webp?k=990ebf6d99422806102b0faa92395e5f340db17781f8d388d0c49302bc1c54e5&o=,Hotel Gromada Warszawa Centrum,https://www.booking.com/hotel/pl/gromadawawcentrum.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-534433&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=95fc45b497a7000b&srepoch=1698918892&from_sustainable_property_sr=1&from=searchresults&map=1,"Śródmieście, Varsovie","0,7 km du centre","8,2",Très bien ,"L'Hotel Gromada Warszawa Centrum est situé dans le centre de Varsovie, à 400 mètres de la célèbre rue Nowy Świat. ",,13 127 expériences vécues,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/271364932.webp?k=620dc9a07ed782fb08be8405dd58e645fde25976762895cd4d308e22cf35dab8&o=,a&o Warsaw Wola,https://www.booking.com/hotel/pl/a-amp-o-warschau-wola.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-534433&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=95fc45b497a7000b&srepoch=1698918892&from_sustainable_property_sr=1&from=searchresults&map=1,"Wola, Varsovie","2,5 km du centre","8,6",Superbe ,"Situé à Varsovie, à 1,2 km du musée de l'Insurrection de Varsovie, l'a&o Warsaw Wola propose des hébergements avec un bar, un parking privé et un salon commun. ",,14 882 expériences vécues,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/444769763.webp?k=70049591966f47b233922e50fa40de87050c29fad44744a1b4ec83a0f364e8db&o=,Barceló Warsaw Powiśle,https://www.booking.com/hotel/pl/barcelo-warsaw-powisle.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-534433&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=95fc45b497a7000b&srepoch=1698918892&from_sustainable_property_sr=1&from=searchresults&map=1,"Śródmieście, Varsovie","1,8 km du centre","8,9",Superbe ,"Situé à Varsovie, à 200 mètres du centre des sciences Copernic, le Barceló Warsaw Powiśle propose une piscine extérieure ouverte en saison, un parking privé, une salle de sport et une terrasse. ",,1 393 expériences vécues,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/484081871.webp?k=1cc7c1cd2a0f78df55aba5d425a1066601574d8c6871adeda0a25333c088b995&o=,Hampton by Hilton Warsaw City Centre,https://www.booking.com/hotel/pl/hampton-by-hilton-warsaw-city-centre.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-534433&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=95fc45b497a7000b&srepoch=1698918892&from_sustainable_property_sr=1&from=searchresults&map=1,"Śródmieście, Varsovie","0,6 km du centre","8,7",Superbe ,"Bénéficiant d'un emplacement privilégié dans le centre de Varsovie, le Hampton by Hilton Warsaw City Centre est situé à quelques pas de la gare Warszawa Centralna, le centre commercial Zlote Tarasy et...",,17 509 expériences vécues,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/442595903.webp?k=7acb8d164d9e823b3a5e89caee61ef73ad815fd30cf9b1f7100d64e6436ad88f&o=,Novotel Warszawa Centrum,https://www.booking.com/hotel/pl/novotelwarszawacentrumwarszawa.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-534433&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=95fc45b497a7000b&srepoch=1698918892&from_sustainable_property_sr=1&from=searchresults&map=1,"Śródmieście, Varsovie",250 m du centre,"8,7",Superbe ,"Bénéficiant d'une vue panoramique sur Varsovie, l'hôtel moderne 4 étoiles Novotel Warszawa Centrum est situé dans le centre de Varsovie, à 5 minutes à pied de la gare centrale. ",,19 572 expériences vécues,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/131390993.webp?k=73b6a68d7112c0be9918a2b7c2e844861f9d725e1abae5cc6922deb58779f1b5&o=,Coser Apartamenty Centrum,https://www.booking.com/hotel/pl/apartament-na-grzybowskiej.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-534433&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=95fc45b497a7000b&srepoch=1698918892&from=searchresults&map=1,"Śródmieście, Varsovie","1,1 km du centre","8,0",Très bien ,"Offrant une vue sur la ville et doté d'une connexion Wi-Fi gratuite, le Coser Apartamenty Centrum propose des hébergements idéalement situés dans le centre de Varsovie, à proximité de la gare centrale...",,4 565 expériences vécues,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/456825261.webp?k=ff2991053c65f53ea2f9171234292df23bf45879a239c8c34113df999382c199&o=,"InterContinental Warszawa, an IHG Hotel",https://www.booking.com/hotel/pl/intercontinentalwarsaw.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-534433&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=95fc45b497a7000b&srepoch=1698918892&from_sustainable_property_sr=1&from=searchresults&map=1,"Śródmieście, Varsovie","0,5 km du centre","9,1",Fabuleux  ,"L'InterContinental Warszawa est un hôtel 5 étoiles situé dans le centre de Varsovie, à 500 mètres de la gare centrale de la ville. ",,10 992 expériences vécues,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/107166516.webp?k=61ea3362c55bcdfa4a04c6560443e7caa1f55013926f37cd340cd1cf27a7695c&o=,Royal Park Executive Apt,https://www.booking.com/hotel/pl/executive-apartment-in-downtown-warsaw.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-534433&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=95fc45b497a7000b&srepoch=1698918892&from_sustainable_property_sr=1&from=searchresults&map=1,"Śródmieście, Varsovie","1,8 km du centre",,"Exceptionnel 9,8","Le Royal Park Executive Apt est un appartement situé à Varsovie, à 300 mètres du centre commercial Plac Unii et à 600 mètres de la statue de Frédéric Chopin. ",,24 commentaires externes,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/229572812.webp?k=49648091c497bff17227eb73f656102fec785d16b00971b0ac41c965c6d01924&o=,SleepWell Apartments Nowy Świat,https://www.booking.com/hotel/pl/sleepwell-apartments.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-534433&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=95fc45b497a7000b&srepoch=1698918892&from_sustainable_property_sr=1&from=searchresults&map=1,"Śródmieście, Varsovie",1 km du centre,"8,9",Superbe ,"Entouré de nombreux cafés et restaurants populaires, le SleepWell Apartments Nowy Świat se trouve en plein centre de Varsovie, dans la célèbre rue Nowy Świat, à seulement 2 minutes à pied de la rue...",,1 934 expériences vécues,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/265754047.webp?k=090454e286993cf2bea7f288b95b376b18f694d4a001747773715704f0bb19e1&o=,Premiere Classe Varsovie/Warszawa,https://www.booking.com/hotel/pl/premiereclassewarszawa.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&dest_id=-534433&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=95fc45b497a7000b&srepoch=1698918892&from_sustainable_property_sr=1&from=searchresults&map=1,"Wola, Varsovie","1,4 km du centre","7,0",Bien  ,"Idéalement situé à seulement 4 minutes de route du parc des expositions Expo XXI International et à seulement 10 minutes à pied de la gare centrale de Varsovie et du centre commercial Złote Tarasy,...",,10 739 expériences vécues,,,,
