Date_Départ,Date_arrivée,VILLE_DEPART,VILLE_ARRIVEE,Horaires,Trajet,Type de trajet,Temps de trajet,Prix,Compagnie de vol
2023-11-22,2023-11-28,BER,PAR,20:15 – 22:05,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,119 €,Air France
2023-11-22,2023-11-28,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,123 €,easyJet Europe
2023-11-22,2023-11-28,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,123 €,"easyJet Europe, easyJet"
2023-11-22,2023-11-28,BER,PAR,15:45 – 17:35,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,128 €,Air France
2023-11-22,2023-11-28,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,134 €,"easyJet Europe, easyJet"
2023-11-22,2023-11-28,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,134 €,
2023-11-22,2023-11-28,BER,PAR,18:20 – 20:10,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,133 €,Air France
2023-11-22,2023-11-28,BER,PAR,,,,,,
2023-11-22,2023-11-28,BER,PAR,,,,,,
2023-11-22,2023-11-28,BER,PAR,,,,,,
2023-11-22,2023-11-28,BER,PAR,,,,,,
2023-11-22,2023-11-28,BER,PAR,,,,,,
2023-11-22,2023-11-28,BER,PAR,,,,,,
2023-11-22,2023-11-28,BER,PAR,,,,,,
2023-11-22,2023-11-28,BER,PAR,,,,,,
2023-11-22,2023-11-28,VNO,KIV,,,,,,
2023-11-22,2023-11-28,VNO,KIV,,,,,,
2023-11-22,2023-11-28,VNO,KIV,,,,,,
2023-11-22,2023-11-28,VNO,KIV,,,,,,
2023-11-22,2023-11-28,VNO,KIV,,,,,,
2023-11-22,2023-11-28,VNO,KIV,,,,,,
2023-11-22,2023-11-28,VNO,KIV,,,,,,
2023-11-22,2023-11-28,VNO,KIV,,,,,,
2023-11-22,2023-11-28,VNO,KIV,,,,,,
2023-11-22,2023-11-28,VNO,KIV,,,,,,
2023-11-22,2023-11-28,VNO,KIV,,,,,,
2023-11-22,2023-11-28,VNO,KIV,,,,,,
2023-11-22,2023-11-28,VNO,KIV,,,,,,
2023-11-22,2023-11-28,VNO,KIV,,,,,,
2023-11-22,2023-11-28,VNO,KIV,,,,,,
2023-11-29,2023-12-05,BER,PAR,14:05 – 23:00,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,8h 55min,86 €,"Ryanair, easyJet"
2023-11-29,2023-12-05,BER,PAR,09:05 – 10:55,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,88 €,"easyJet, Ryanair"
2023-11-29,2023-12-05,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,90 €,"easyJet, Ryanair"
2023-11-29,2023-12-05,BER,PAR,09:05 – 10:55,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,91 €,easyJet
2023-11-29,2023-12-05,BER,PAR,10:10 – 21:45,BERAéroport de Berlin Brandebourg-BVAAéroport de Beauvais-Tillé,direct,11h 35min,91 €,"Ryanair, easyJet"
2023-11-29,2023-12-05,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,93 €,easyJet
2023-11-29,2023-12-05,BER,PAR,16:10 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,6h 10min,94 €,Plusieurs compagnies
2023-11-29,2023-12-05,BER,PAR,09:05 – 10:55,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,96 €,easyJet
2023-11-29,2023-12-05,BER,PAR,10:10 – 21:45,BERAéroport de Berlin Brandebourg-BVAAéroport de Beauvais-Tillé,direct,11h 35min,96 €,"Ryanair, easyJet"
2023-11-29,2023-12-05,BER,PAR,21:45 – 09:15+1,BERAéroport de Berlin Brandebourg-BVAAéroport de Beauvais-Tillé,direct,11h 30min,97 €,"Ryanair, easyJet"
2023-11-29,2023-12-05,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,98 €,"easyJet Europe, easyJet"
2023-11-29,2023-12-05,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,98 €,easyJet Europe
2023-11-29,2023-12-05,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,98 €,easyJet
2023-11-29,2023-12-05,BER,PAR,16:10 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,6h 10min,100 €,Plusieurs compagnies
2023-11-29,2023-12-05,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,101 €,easyJet
2023-11-29,2023-12-05,VNO,KIV,,,,,,
2023-11-29,2023-12-05,VNO,KIV,,,,,,
2023-11-29,2023-12-05,VNO,KIV,,,,,,
2023-11-29,2023-12-05,VNO,KIV,,,,,,
2023-11-29,2023-12-05,VNO,KIV,,,,,,
2023-11-29,2023-12-05,VNO,KIV,,,,,,
2023-11-29,2023-12-05,VNO,KIV,,,,,,
2023-11-29,2023-12-05,VNO,KIV,,,,,,
2023-11-29,2023-12-05,VNO,KIV,,,,,,
2023-11-29,2023-12-05,VNO,KIV,,,,,,
2023-11-29,2023-12-05,VNO,KIV,,,,,,
2023-11-29,2023-12-05,VNO,KIV,,,,,,
2023-11-29,2023-12-05,VNO,KIV,,,,,,
2023-11-29,2023-12-05,VNO,KIV,,,,,,
2023-11-29,2023-12-05,VNO,KIV,,,,,,
