Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
,https://cf.bstatic.com/xdata/images/hotel/square200/170116291.webp?k=e4c2f46b024153868d6756897ec8c415b32de64636c829c94c0116184be1f74f&o=,Innotelli Apartments,https://www.booking.com/hotel/fi/innotelli-apartments.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=3c394475f4b8006d&srepoch=1698918254&from=searchresults&map=1,Helsinki,"10,1 km du centre","8,4",Très bien ,"This self-service property, located a 25-minute Metro ride from central Helsinki, offers self-catering apartments with keyless entry and free WiFi. Free parking is possible onsite. ",,2 479 expériences vécues,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/295765036.webp?k=fd1e2997ca4b9fe81e0b9792cdb7f824d8fbd7c86c975c604191b38cee4690d3&o=,VALO Hotel & Work Helsinki,https://www.booking.com/hotel/fi/valo-helsinki-helsinki.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=3c394475f4b8006d&srepoch=1698918254&from_sustainable_property_sr=1&from=searchresults&map=1,Helsinki,"4,5 km du centre","8,6",Superbe ,"Situé à Helsinki, le VALO Hotel & Work Helsinki possède un restaurant, une salle de sport et un bar. Dans cet établissement, vous trouverez des hébergements familiaux agrémentés d’une terrasse. ",,10 970 expériences vécues,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/389275560.webp?k=b02cd5ff80e5793c7481356047d4d02fdadf86551129ab0af77a21e913cf4ade&o=,Scandic Grand Marina,https://www.booking.com/hotel/fi/scandic-grand-marina.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=3c394475f4b8006d&srepoch=1698918254&from_sustainable_property_sr=1&from=searchresults&map=1,"Katajanokka, Helsinki","1,4 km du centre","8,0",Très bien ,"Situé en bord de mer à Katajanokka, le Scandic Grand Marina occupe un bâtiment de style Art nouveau datant des années 1920. ",,4 365 expériences vécues,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/360830720.webp?k=1810b62f31877601b9f122dcba8455515bf9d8c18cd8bbe26ec526d6a102090f&o=,Hotel Mestari,https://www.booking.com/hotel/fi/mestari.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=3c394475f4b8006d&srepoch=1698918254&from_sustainable_property_sr=1&from=searchresults&map=1,"Kamppi, Helsinki","0,6 km du centre","9,0",Fabuleux  ,"Idéalement situé dans le centre d'Helsinki, l'Hotel Mestari propose des chambres climatisées, une salle de sport, une connexion Wi-Fi gratuite et une terrasse. ",,6 249 expériences vécues,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/180986660.webp?k=b24d6ff3475a01aba82c02ed2785afc1cd942f96f74a78c7b017b1c9bd851ffd&o=,Omena Hotel Helsinki Lönnrotinkatu,https://www.booking.com/hotel/fi/omenahotelli-helsinki-lapnnrotinkatu.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=3c394475f4b8006d&srepoch=1698918254&from_sustainable_property_sr=1&from=searchresults&map=1,"Kamppi, Helsinki","0,6 km du centre","7,4",Bien  ,"L'Omena Hotel Helsinki Lönnrotinkatu est un hébergement indépendant situé dans le centre-ville d'Helsinki, à moins de 850 mètres de la gare centrale d'Helsinki et du centre commercial Kamppi. ",,4 935 expériences vécues,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/14440344.webp?k=b04af898c71f999a255e46756e2837e8ee865564baee707a867263c1668e9178&o=,Hotel Finn,https://www.booking.com/hotel/fi/hotelli-finn.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=3c394475f4b8006d&srepoch=1698918254&from_sustainable_property_sr=1&from=searchresults&map=1,"Kamppi, Helsinki",300 m du centre,"8,2",Très bien ,"L'Hotel Finn se trouve juste en face du grand magasin Stockmann, à 5 minutes de marche de la gare centrale d'Helsinki. ",,5 094 expériences vécues,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/5583842.webp?k=4fb4db51b4ded510c6a730fce52352f15a83247228b46de9b68b7994da99c71c&o=,Eurohostel,https://www.booking.com/hotel/fi/eurohostel.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=3c394475f4b8006d&srepoch=1698918254&from_sustainable_property_sr=1&from=searchresults&map=1,"Katajanokka, Helsinki","1,6 km du centre","7,9",Bien  ,"Située sur l'île Katajanokka d'Helsinki, entourée par la mer, l’auberge de jeunesse Eurohostel se trouve à 5 minutes en tramway du centre-ville. L'arrêt de tramway Vyökatu est juste au coin de la rue....",,5 970 expériences vécues,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/271712662.webp?k=70874624ee499b5925695b43dc714b9a48c0e9bcfa410255942139eb59c82e14&o=,Lapland Hotels Bulevardi,https://www.booking.com/hotel/fi/lapland-hotels-bulevardi.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=3c394475f4b8006d&srepoch=1698918254&from_sustainable_property_sr=1&from=searchresults&map=1,"Kamppi, Helsinki","0,8 km du centre","9,4",Fabuleux  ,"Installé à Helsinki, le Lapland Hotels Bulevardi possède un bar et un restaurant sur place. ",,2 925 expériences vécues,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/499936895.webp?k=c2dea6862135a6cd158582699136a7f3cd6fadf6c3b9cbb99433ad2fc2da0501&o=,Clarion Hotel Helsinki,https://www.booking.com/hotel/fi/clarion-helsinki.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=3c394475f4b8006d&srepoch=1698918254&from_sustainable_property_sr=1&from=searchresults&map=1,"Jätkäsaari, Helsinki","1,6 km du centre","8,5",Très bien ,"Clarion Hotel Helsinki is situated along the waterfront in the district Jätkäsaari, 600 metres from the West Ferry Terminal. ",,5 262 expériences vécues,,,,
,https://cf.bstatic.com/xdata/images/hotel/square200/387821889.webp?k=e51081d023764abc1a48ef6444c8ef8e18fd302d5971b9400868cd29df3c73b5&o=,Scandic Helsinki Hub,https://www.booking.com/hotel/fi/scandic-helsinki-hub-helsingfors.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=3c394475f4b8006d&srepoch=1698918254&from_sustainable_property_sr=1&from=searchresults&map=1,"Kamppi, Helsinki","0,6 km du centre","9,1",Fabuleux  ,"Situé à Helsinki, à 1,9 km de la plage d'Uunisaaren, le Scandic Helsinki Hub propose un service de prêt de vélos, un parking privé, une salle de sport et un jardin. ",,4 345 expériences vécues,,,,
