Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Chambre Double Supérieure,https://cf.bstatic.com/xdata/images/hotel/square200/8065688.webp?k=b842f9eb2474b47792d285b120f6634bb1c4fd9b00a2236ce3a72239de188d5f&o=,Le Chatelet,https://www.booking.com/hotel/lu/chatelet.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1736191&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=25285c68955b01b8&srepoch=1698930517&all_sr_blocks=1963024_95144364_1_2_0&highlighted_blocks=1963024_95144364_1_2_0&matching_block_id=1963024_95144364_1_2_0&sr_pri_blocks=1963024_95144364_1_2_0__9875&from=searchresults&map=1,"Gare, Luxembourg","1,1 km du centre","7,9",Bien  ,1 lit double,Plus que 2 hébergements à ce prix sur notre site,1 558 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 99
Chambre INNSIDE,https://cf.bstatic.com/xdata/images/hotel/square200/443538170.webp?k=6e56d3342d02591411ec2be29bb1e3482e8f23330eba3b2844808b0c9177d594&o=,INNSiDE by Meliá Luxembourg,https://www.booking.com/hotel/lu/innside-luxembourg.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1736191&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=25285c68955b01b8&srepoch=1698930517&all_sr_blocks=723815404_310000278_1_34_0&highlighted_blocks=723815404_310000278_1_34_0&matching_block_id=723815404_310000278_1_34_0&sr_pri_blocks=723815404_310000278_1_34_0__13100&nad_id=a6d7213c-cfb3-412b-b36b-0d0d5c9bbb11_0&nad_cpc=2.11&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IlVlOWxiUTRFbU5uK3p2UHo0VnQ0Y0w5b0FHckwvWGVqbXZ3ZTUyak1SdTE1aW9yLytKMUFGaG5vK0R4MXlQUlRVcUZtNllRdlorM1RCb2NUZFBvWGx6TndjUE9aeXJKNm9NOW9KRDFiditxVmdOajN1KzFzdTU2RG5hWE9lRW9IaS9MN1hsS2oxRUQzR3A2Z2VwRzRtM0pjQnBYQjJXQkNiSTd2a0VUSXJ2L2hNd2ErbGpyNmNMa3Y0Wjc5R0hxTG12K3h2aFgxbE5MSkhNeEFBdnpKTVZFNWtnRjdlRjZGN3NHcXNsZUNzcUJ5WGh5WGNIRXh1NEJ5a0J0aW5OUEdPK2ZLNXRtVTFXNEgycG1IdkZwVlF0ckZWSGRjcmxLMktIRzNuSVRXUEg3UkZFOFV0K2RiWVNJNTBhVDhxOUNLTDNhcndWQTcxL21xRDRtaGkweTd2ZHgweVBzMTBjTkw4QWhNOXlpMi96M2F4OFBTSUZiTTROQmE4a0oyU1dUOGpTVTd6Q2YwVml1eHYvR3c3ZEdnWVRPWUZtZUlYZEpqNzhrbHVHbnNnbnBKSmlmQWxFaVJwT0NVTTA1RjZocHBjVHFnRzUwVUJEQkxEbVg1b1MrMlRjNStrclBpNnFOeld3R1BPTlJTeFd4OUtNazRraFNHTmxBTlYzRnU3Q2U3VmFsbm5YaUpKQnhoNUVsRnh4OERKbVJYdFFTUXZnNXMybVFHdkhXNlBjZ3d3MlpxR05YQk1vWWp0TDQ4RU9CUkZiR3JrMEpKRW5BK2FkZVZPNEg1Nm4rWkxEVm9TNk9tQVZkOXJidjNjYU9ZM3dmNnprT21xN1lNK082VXRJV09mSE51aE53NEU3eElhR2ZrOCtKMkoyYml5TXk2YXVpeTdtRVlubC9WRWdKUDF6OGMvT2VwSmMyNVZPNXdzTktuRHpkYkNBSFZZTzAvdnN2ZVprdjVNMHJ5dU9WeUhnT0Y4bStnYitZMURtcHM1azJmOFZjdFF4RVYxLzdVK2FDOVZCYys4TUthY2JmMGRnZFpQSG8veFhFTEVhOUp4L01YeFNZUzlLM3AreWJEdWl6TnRVRE1kd1ZUY0hEbHZwVUkzRm5rY3N3TmdVbVZrWXZwTVV0SG1oRzl5YjNuK2dKMU9Jb0FEVFNvMkZvMnFhd09QaGo1aHBLWHJ5V3FlenA1UW5yREdWT2tpUWxiY3p1NUhwUUZnZ1pPVzg0ZVd1Y3lCR0tuekhUTzF5bUFHcGhWZG54RVZ3MUZEMUZSVHNna3hKVmFQSWdYc1pkNmdLQWh3dWFURjRJdEVzci9QWWNFYUtKNzNZVXFudW1aajROclczaWdQaVNHcWp1L1RyVGxqM2RaTkErUTJQWDBmV3NRNDVnTm9Ha2Yzbzh5M1lEZnoxU0JOcnJ1ZWZyUUpkdk9YT1kyN0ZORkxXYkR4ejBYOFBsaU15bFZPT0gxRENOL2FibWVPRHJsUW9oWjdkRC9PMTZWWXVFY2YxZVU0eWZZNU1lUEluYWUrczZEZmJWV0VrM3pkZ0phK3c2eXo3YjJiUW1KeTlYemYvcW1PZHQraEt6VXMvRW8yc3lldGNpWlRmWmMzNlJBZ0R3Z3dnZjJ0OWdlYXV2bXc0SWVsQ1ZuY0NkdjZQUjdISk9lMjJNK2NjTnB3b0Nkb1hjQjRDcFM5bEJVTmxMT2dpZ082NjllTlNxUkRCb0tGZjVTbTQxUk41dlRZYk5Hc01OQmVxSFdRc3d3M1JVNEw3azF6blljaXhGd2p2RHoxTTYzOEdhT1E4MlQxcThVRndXQWZLU2IrRDRDazh6b1UvYkpTOGhSQyt4L1c3a2d4WHNoQks4L0hYN3R6SXVvdnFCT0NCS0wxM24yS2tNeVhSWm5XWHE4WGdyYlJBYXNuM3poaTBmZGJkeU5GRHNLem9mRTFWMkVwZnJNZzlWTTd1b2VjRWNyVHV4YTlYd1dvMy8xWVFJOVIyV3JRNG43UWhnRTJGTlFmc3YxQjh6eHRNWEljYkZORE9KV3BudHhLZDA4a0NLMnYxNTlsTmNOd1prOGQ0U1Rvbzk0S2xzbUpsQng4cnhzRmNFM1FPc1ZIOFA0SmhxSVJWSU5aRjAxYkN4UXN2a0JtbEpvb2tXcmptSDJQZGxkOEJOa2dRTTJCZmNYZWd3L2g0T3VzSzJ3Q0xyUTRXSmltTVJaeUl5NmtRci82M0loRWdUczZRV3VHL0hrUUNVRm5QT2FuQUtiNTJKMDhZTDdVR0poVFVkMFFndUhXNWVScnFyajVyZm1xL0VvSi85SjltUWdsQW8wZlNIaWg1clpHQ01DUGdTcHZLNFpDSDgyUmxzWmFrUlkyZjNNNG1HZFdFRXU0UTQydTZJRDMwOHlaUGlxZGs5Q3dUVUVIUHVickxUNGVEaU5STWhwWFROUHlHT3pOV3ZHSm80ZFJIRTQrRExXTllZaVJLdjE1L1R4dnVPemZ2K3ZTL2x0eGFHWm8yNW5CdVhxanZzOFVxT0F5NjRnQTRhWHUwZ1dpdkFlcHFNMlRpZXhrZzRCbUtmMEswQnl1K2czcUxublVJczQxTHBUMjlDQmp6VUxMeERvZzNiRU9WNXA5RVlFRzRRRlBHbmF5dE9XNTRwamdPS2hqMVZmOU5SemNTQkh5SWdhUmJkdGgzcVZXd2Z0NXR2SllRZHZMQTdpN3o5K1I4T0hzNUxwUmp6Q1E3MVlNcjd2cjh6eW9mZUhMZU9WQkJxaXdiT2RIOGdseDRKNjlZWlBXbTRRbnB5ZlpCZmNRREdPUVBOMElMMEpnVWlqbmhMejVqbFJWWXQ2K01Vc05KKzFpOTB1MCtvaEdwMWk5dDNub1NxaGs5Mk9yZC9MVnNPNTNsb2xGblM4UkI0VXJVcE4yQUZ2OEVhd1VZU1d2NnlmWHA5QWpBRjN3V2JFUHJjVTVHKzdYQVRVRHJ3MEV6dDlpMGl5WE9KR1lnclJDbnMrbmJOOEwzV3RlMGUvUlJQQ2NINGtQNFhmQzNpTXJWVVBlWDA0V1ZxNVVOQjVENEhLaUMra0phbUF6UnBTWjYxY3c5b25RKzdualVJNVJOMFdObFB1UW9IM08xdjdFV3NyUlVOMEswd0NwTWNLeXJ2MTcvcUFmZVE5NHQ5VjZuRnZSb216UkZJTUpZWitCd0RuWnFaU0doUGU4VTc3aVdMZEdOSzlhL1JJNXo1VitzVC8yRVVoOHljYkRoS0xqMWlmTnJvLy85ZFk5akZWL2VnVzZZeG41TTI0VUk2RGhBYzRWaWtWUXY2L1VrOTdaNENWMElWRE5QaGpIWnFWdmVYRDJaWHZDbUFlRzB5ajA5NlJQSk9WVFhTQmZDNVluMkRWVmp2RmwwZUNGRnh0WGlOYWNnQ0pCZzNPSXUzdDV1UHhpY3NaMG1WSHhpYUlYVEdVVXR5MjZyNlAzVmlwWmsza0d1bkRCWWxSZWdtQ0lRaWRza3NYSFR2WVNOVWVCMVRwdTNYV3ZiTUZSRm44L0Z6YlVrTnRDY0tsL3MvSzdnSVl4K2RSMVdmV2Y5Z2lQN3EvNXE4cFBMalBtN0hxUjlFVlRndXFTU2dSTFNlZURIdU0xYlVwZ0h6KzB0U0RJMVh3MFF2azJ3V05GY0Z6aU5STFY5dVVoRHNKNlJyaVBhMFRKQ2hncTl2Sjd1c3hBcmFuTVZ4WEJja2R5djE5YkU5K1NCUTJXWnNwZzNibkFNRWZudkxLQ1NFZHFHZC91L1BOMlR5d2ZGbmg0UVI0YUJnK0pvRzR3UWRYb2didU12elpzU293Tm9od1VaSTNPU2tjamc9PSJ9&from_sustainable_property_sr=1&from=searchresults&map=1,Luxembourg,"3,6 km du centre","8,7",Superbe ,1 très grand lit double,,2 845 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 154€ 131-15 %
Petite Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square200/224483603.webp?k=56ebd25aa592270858cf04ec72c8ebbfe13d62d3cdd6b2ab67557017a494c53f&o=,Hotel Empire,https://www.booking.com/hotel/lu/empire.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1736191&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=25285c68955b01b8&srepoch=1698930517&all_sr_blocks=1963113_114891418_0_2_0&highlighted_blocks=1963113_114891418_0_2_0&matching_block_id=1963113_114891418_0_2_0&sr_pri_blocks=1963113_114891418_0_2_0__11510&from_sustainable_property_sr=1&from=searchresults&map=1,"Gare, Luxembourg","1,4 km du centre","8,2",Très bien ,1 lit simple,Plus que 6 hébergements à ce prix sur notre site,3 260 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 115
Chambre Lits Jumeaux,https://cf.bstatic.com/xdata/images/hotel/square200/161045546.webp?k=dc26c9935df694a0f2bada4d50c72683e453dc3b42ff806035739143a6e631aa&o=,Mandarina Hotel Luxembourg Airport,https://www.booking.com/hotel/lu/campluxem.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1736191&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=25285c68955b01b8&srepoch=1698930517&all_sr_blocks=1951608_375559868_2_2_0&highlighted_blocks=1951608_375559868_2_2_0&matching_block_id=1951608_375559868_2_2_0&sr_pri_blocks=1951608_375559868_2_2_0__7500&from_sustainable_property_sr=1&from=searchresults&map=1,Luxembourg,"7,1 km du centre","7,4",Bien  ,2 lits simples,Plus que 2 hébergements à ce prix sur notre site,5 889 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 lits simples,€ 75
Chambre Double,https://cf.bstatic.com/xdata/images/hotel/square200/231161362.webp?k=beab955227e4bba83e461974f52b8642504ed8bc63ffe350b95f31ce303e977e&o=,Hotel Perrin - former Carlton,https://www.booking.com/hotel/lu/carlton.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1736191&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=25285c68955b01b8&srepoch=1698930517&all_sr_blocks=17400002_228454474_0_2_0&highlighted_blocks=17400002_228454474_0_2_0&matching_block_id=17400002_228454474_0_2_0&sr_pri_blocks=17400002_228454474_0_2_0__11000&from=searchresults&map=1,"Gare, Luxembourg","1,2 km du centre","8,6",Superbe ,1 grand lit double,,3 761 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 110
Chambre Simple Standard,https://cf.bstatic.com/xdata/images/hotel/square200/168471120.webp?k=ac905b61429fafc5d523725ebe3aef58f4662d194b119586425df3e48023ac2a&o=,Il Piccolo Mondo,https://www.booking.com/hotel/lu/il-piccolo-mondo.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1736191&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=25285c68955b01b8&srepoch=1698930517&all_sr_blocks=17400701_88711894_0_1_0&highlighted_blocks=17400701_88711894_0_1_0&matching_block_id=17400701_88711894_0_1_0&sr_pri_blocks=17400701_88711894_0_1_0__8000&from=searchresults&map=1,Luxembourg,"2,7 km du centre","7,9",Bien  ,1 lit simple,Plus que 4 hébergements à ce prix sur notre site,1 568 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 80
Chambre Double Classique,https://cf.bstatic.com/xdata/images/hotel/square200/263067287.webp?k=0687ff121662779f671368b656c736b58e4b4fe9d4250fb63e12d94af15235c5&o=,Mercure Luxembourg Off Kirchberg,https://www.booking.com/hotel/lu/ponte-vecchio.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1736191&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=25285c68955b01b8&srepoch=1698930517&all_sr_blocks=4724109_376291900_2_2_0&highlighted_blocks=4724109_376291900_2_2_0&matching_block_id=4724109_376291900_2_2_0&sr_pri_blocks=4724109_376291900_2_2_0__12510&from_sustainable_property_sr=1&from=searchresults&map=1,Luxembourg,"2,7 km du centre","8,7",Superbe ,1 lit double,,2 789 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 139€ 125-10 %
Chambre Double avec Salle de Bains Privative,https://cf.bstatic.com/xdata/images/hotel/square200/501559929.webp?k=d58ef8b0b48916e0688ac64ec1b2e0cb089af6dd390d9ca6fbfc59a21993bea7&o=,Nice private room in Luxembourg City,https://www.booking.com/hotel/lu/private-room-in-beggen-house.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1736191&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=25285c68955b01b8&srepoch=1698930517&all_sr_blocks=1097007702_382601186_1_0_0&highlighted_blocks=1097007702_382601186_1_0_0&matching_block_id=1097007702_382601186_1_0_0&sr_pri_blocks=1097007702_382601186_1_0_0__9900&from=searchresults&map=1,"Beggen, Luxembourg","3,5 km du centre",,,1 très grand lit double,Plus que 1 hébergement à ce prix sur notre site,"1 nuit, 1 adulte",Taxes et frais compris,Taxes et frais compris,1 très grand lit double,€ 99
Chambre Standard Lit Queen-Size,https://cf.bstatic.com/xdata/images/hotel/square200/490819468.webp?k=4abb11f1ba301b3b39c3f9c61c37ece98be67815697227f927804aaea279e553&o=,DoubleTree by Hilton Luxembourg,https://www.booking.com/hotel/lu/hilton-luxembourg.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1736191&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=25285c68955b01b8&srepoch=1698930517&all_sr_blocks=1960818_86353116_2_34_0&highlighted_blocks=1960818_86353116_2_34_0&matching_block_id=1960818_86353116_2_34_0&sr_pri_blocks=1960818_86353116_2_34_0__12900&from_sustainable_property_sr=1&from=searchresults&map=1,Luxembourg,"3,4 km du centre","7,3",Bien  ,1 lit double,,5 399 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 129
Chambre Double ou Lits Jumeaux Standard,https://cf.bstatic.com/xdata/images/hotel/square200/356744580.webp?k=65bff8a81ac471f45c52d31a83c65a467cdc6f039f0610c9cee08f1d1831d20a&o=,NH Luxembourg,https://www.booking.com/hotel/lu/nh-luxembourg.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-1736191&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=25285c68955b01b8&srepoch=1698930517&all_sr_blocks=1952910_95144289_0_2_0&highlighted_blocks=1952910_95144289_0_2_0&matching_block_id=1952910_95144289_0_2_0&sr_pri_blocks=1952910_95144289_0_2_0__11600&from_sustainable_property_sr=1&from=searchresults&map=1,Luxembourg,7 km du centre,"8,3",Très bien ,Types de lits : 1 lit double ou 2 lits simples,,2 172 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 116
