Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Chambre Double Extérieure,https://cf.bstatic.com/xdata/images/hotel/square600/448567001.webp?k=87d08c1efac2d28a557803715317eee6d8d606f0f24c2f0fb7bcc3f5365c62c4&o=,Hostal Comercial,https://www.booking.com/hotel/es/hostal-comercial.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=176&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2a1b5b4c124a0003&srepoch=1698670749&all_sr_blocks=2640201_367333052_0_0_0&highlighted_blocks=2640201_367333052_0_0_0&matching_block_id=2640201_367333052_0_0_0&sr_pri_blocks=2640201_367333052_0_0_0__9856&from=searchresults&map=1,"Centre de Madrid, Madrid",Proche du métro,"8,5",Très bien ,1 lit double,Plus que 2 hébergements à ce prix sur notre site,523 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 176€ 99
Petite Chambre Double,https://cf.bstatic.com/xdata/images/hotel/square600/391729993.webp?k=a2f6f9ca813f6724509b1f5367f702a82efa84dac2c7b0546f850b6975b8999c&o=,Hotel Santo Domingo,https://www.booking.com/hotel/es/santodomingo.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=176&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=2a1b5b4c124a0003&srepoch=1698670749&all_sr_blocks=9002619_88452208_0_42_0&highlighted_blocks=9002619_88452208_0_42_0&matching_block_id=9002619_88452208_0_42_0&sr_pri_blocks=9002619_88452208_0_42_0__10406&from_sustainable_property_sr=1&from=searchresults&map=1,"Centre de Madrid, Madrid",Proche du métro,"7,4",Bien  ,1 lit double,,5 910 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 104
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square600/267279029.webp?k=f94793d3262fe3af29b2e17ac7f14094a3c9ffd784b597eb6b93889b15ab0e86&o=,New Go Inn,https://www.booking.com/hotel/es/new-go-inn.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=176&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=2a1b5b4c124a0003&srepoch=1698670749&all_sr_blocks=412405505_382004403_0_0_0&highlighted_blocks=412405505_382004403_0_0_0&matching_block_id=412405505_382004403_0_0_0&sr_pri_blocks=412405505_382004403_0_0_0__4898&from=searchresults&map=1,"Centre de Madrid, Madrid",Proche du métro,"8,1",Très bien ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,3 080 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 79€ 49
Chambre Simple Économique,https://cf.bstatic.com/xdata/images/hotel/square600/310804431.webp?k=a5bfa2b1329ecee2a1db7bf0767fbedaff1f45ec438ddefd8837434b55958a58&o=,Fuencarral Adeco,https://www.booking.com/hotel/es/adeco-fuencarral.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=176&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=2a1b5b4c124a0003&srepoch=1698670749&all_sr_blocks=42645410_368035802_1_0_0&highlighted_blocks=42645410_368035802_1_0_0&matching_block_id=42645410_368035802_1_0_0&sr_pri_blocks=42645410_368035802_1_0_0__4400&from=searchresults&map=1,"Centre de Madrid, Madrid",Proche du métro,"8,5",Très bien ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,1 982 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 44
Lit dans Dortoir Féminin de 8 Lits (Femmes Uniquement),https://cf.bstatic.com/xdata/images/hotel/square600/451623050.webp?k=3f2c161486b144954001cfa27e337fd2771fc37f91791a5e5293b2b06823fa5e&o=,SabiaNatura - boutiqueMadrid,https://www.booking.com/hotel/es/sol-y-arena-madrid.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=176&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=2a1b5b4c124a0003&srepoch=1698670749&all_sr_blocks=993694402_373699284_1_0_0&highlighted_blocks=993694402_373699284_1_0_0&matching_block_id=993694402_373699284_1_0_0&sr_pri_blocks=993694402_373699284_1_0_0__2375&from_sustainable_property_sr=1&from=searchresults&map=1,"Centre de Madrid, Madrid",Proche du métro,"8,1",Très bien ,1 lit simple,Plus que 7 lits à ce prix sur notre site,653 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 24
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square600/17177663.webp?k=68942638fb795c5d03b98dd17f591c66585f894684ea4aabc904a52a8c58575b&o=,Catalonia Atocha,https://www.booking.com/hotel/es/catalonia-atocha.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=176&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=2a1b5b4c124a0003&srepoch=1698670749&all_sr_blocks=26609345_194582517_1_2_0&highlighted_blocks=26609345_194582517_1_2_0&matching_block_id=26609345_194582517_1_2_0&sr_pri_blocks=26609345_194582517_1_2_0__12000&from_sustainable_property_sr=1&from=searchresults&map=1,"Centre de Madrid, Madrid",Proche du métro,"8,7",Superbe ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,4 844 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 120
Chambre Double avec Parking Gratuit,https://cf.bstatic.com/xdata/images/hotel/square600/150789198.webp?k=e7ef32fe1297d2615773aa59ed5d4a795c4134d9cb4bb950210fe701287fe555&o=,Vincci Soho,https://www.booking.com/hotel/es/vinccisoho.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=176&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=2a1b5b4c124a0003&srepoch=1698670749&all_sr_blocks=9186116_338644101_1_2_0&highlighted_blocks=9186116_338644101_1_2_0&matching_block_id=9186116_338644101_1_2_0&sr_pri_blocks=9186116_338644101_1_2_0__15399&from_sustainable_property_sr=1&from=searchresults&map=1,"Centre de Madrid, Madrid",Proche du métro,"8,7",Superbe ,1 lit double,,8 834 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 154
Chambre Simple avec Salle de Bains Commune,https://cf.bstatic.com/xdata/images/hotel/square600/137187351.webp?k=1e2381d5b2ed3d12054149ea657ba072da7f327947b76a5bffadd039ea76ba0c&o=,Hostal Pacios,https://www.booking.com/hotel/es/hostal-pacios.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=176&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=2a1b5b4c124a0003&srepoch=1698670749&all_sr_blocks=24966904_344180684_0_0_0&highlighted_blocks=24966904_344180684_0_0_0&matching_block_id=24966904_344180684_0_0_0&sr_pri_blocks=24966904_344180684_0_0_0__4900&from=searchresults&map=1,"Centre de Madrid, Madrid",Proche du métro,"7,3",Bien  ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,640 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 49
Chambre Simple Standard,https://cf.bstatic.com/xdata/images/hotel/square600/498910024.webp?k=27ef181f4e623b1462d27148fc08e6b863f088d9eb6bc5ce78a35532e8999355&o=,UMusic Hotel Madrid,https://www.booking.com/hotel/es/umusic-madrid.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=176&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=2a1b5b4c124a0003&srepoch=1698670749&all_sr_blocks=0_0_1_0_0&highlighted_blocks=0_0_1_0_0&matching_block_id=0_0_1_0_0&sr_pri_blocks=0_0_1_0_0__16830&from_sustainable_property_sr=1&from=searchresults&map=1,"Centre de Madrid, Madrid",Proche du métro,"8,9",Superbe ,1 lit simple,,1 556 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 168
Chambre Double ou Lits Jumeaux Standard,https://cf.bstatic.com/xdata/images/hotel/square600/148878274.webp?k=4fc932fe2980f36921715322c67319386f66a9981730e16ea0966cb52d96a2d7&o=,Vincci Vía - 66,https://www.booking.com/hotel/es/vincci-via-66.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=176&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=2a1b5b4c124a0003&srepoch=1698670749&all_sr_blocks=9467201_338644097_1_2_0&highlighted_blocks=9467201_338644097_1_2_0&matching_block_id=9467201_338644097_1_2_0&sr_pri_blocks=9467201_338644097_1_2_0__14299&from_sustainable_property_sr=1&from=searchresults&map=1,"Centre de Madrid, Madrid",Proche du métro,"8,5",Très bien ,Types de lits : 1 lit double ou 2 lits simples,,6 591 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 143
