Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Appartement 1 Chambre,https://cf2.bstatic.com/xdata/images/hotel/square200/479601032.webp?k=3497f2fb781a49a403d3983ea2a993671e180a5b4bdc1f7ff7eb8e459a4c0d0d&o=,Appartamento Cornelia-San Pietro con Giardino Pet Friendly,https://www.booking.com/hotel/it/cornelia-san-pietro-giardino-netflix-animali.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=57962&dest_type=landmark&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=bb28592dc615009e&srepoch=1698928862&all_sr_blocks=967861401_369227253_1_0_0&highlighted_blocks=967861401_369227253_1_0_0&matching_block_id=967861401_369227253_1_0_0&sr_pri_blocks=967861401_369227253_1_0_0__15976&from=searchresults&map=1,Rome,"2,8 km de : Vatican","9,5",Exceptionnel ,Hébergement géré par un particulier,,21 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 lit double, 1 canapé-lit)","€ 204€ 160
-22 %"
Chambre Double ou Lits Jumeaux,https://cf2.bstatic.com/xdata/images/hotel/square200/271100252.webp?k=e65529c0fda3e3af63a34ac0614fbf9cbed60b9e62c8244b64b8ff2500c12c39&o=,Hotel Relais Dei Papi,https://www.booking.com/hotel/it/relais-dei-papi-roma.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=57962&dest_type=landmark&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=bb28592dc615009e&srepoch=1698928862&all_sr_blocks=33326601_88171556_0_2_0&highlighted_blocks=33326601_88171556_0_2_0&matching_block_id=33326601_88171556_0_2_0&sr_pri_blocks=33326601_88171556_0_2_0__16325&from_sustainable_property_sr=1&from=searchresults&map=1,"Vaticano Prati, Rome","0,9 km de : Vatican","8,1",Très bien ,Types de lits : 1 lit double ou 2 lits simples,Plus que 2 hébergements à ce prix sur notre site,3 027 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,"€ 222€ 163
-26 %"
Chambre Double ou Lits Jumeaux avec Salle de Bains Privative,https://cf2.bstatic.com/xdata/images/hotel/square200/415065580.webp?k=b23c3ec0ad085e646e187557c05c1199ace1560509b419c9a96762469fe88a1f&o=,Bloom Hotel Rome,https://www.booking.com/hotel/it/bloom-rome.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=57962&dest_type=landmark&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=bb28592dc615009e&srepoch=1698928862&all_sr_blocks=780644301_382632545_2_2_0&highlighted_blocks=780644301_382632545_2_2_0&matching_block_id=780644301_382632545_2_2_0&sr_pri_blocks=780644301_382632545_2_2_0__16806&from_sustainable_property_sr=1&from=searchresults&map=1,"Aurelio, Rome","0,8 km de : Vatican","8,5",Très bien ,1 grand lit double,Plus que 1 hébergement à ce prix sur notre site,1 369 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,"€ 216€ 168
-22 %"
Chambre Triple - Vue sur Ville,https://cf2.bstatic.com/xdata/images/hotel/square200/99866507.webp?k=c4ad1656aed6d3d557d153d9d6cbbe1985613da1d27217e5e44fb3801dc43d61&o=,San Pietro Grand Suite,https://www.booking.com/hotel/it/san-pietro-grand-suite.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=57962&dest_type=landmark&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=bb28592dc615009e&srepoch=1698928862&all_sr_blocks=239368405_203983753_2_1_0&highlighted_blocks=239368405_203983753_2_1_0&matching_block_id=239368405_203983753_2_1_0&sr_pri_blocks=239368405_203983753_2_1_0__26967&from=searchresults&map=1,"Vaticano Prati, Rome","0,5 km de : Vatican","9,1",Fabuleux  ,"2 lits (1 lit simple, 1 grand lit double)",Plus que 1 hébergement à ce prix sur notre site,1 310 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 lit simple, 1 grand lit double)","€ 296€ 270
-9 %"
Chambre Double,https://cf2.bstatic.com/xdata/images/hotel/square200/46453588.webp?k=7f6360b7fc0db29585f86ed83b8a51a2d2eb16e45a70d65a2037e0be063535ab&o=,The Pope's Window,https://www.booking.com/hotel/it/the-pope-window.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=57962&dest_type=landmark&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=bb28592dc615009e&srepoch=1698928862&all_sr_blocks=35524201_88171968_0_0_0&highlighted_blocks=35524201_88171968_0_0_0&matching_block_id=35524201_88171968_0_0_0&sr_pri_blocks=35524201_88171968_0_0_0__15769&from=searchresults&map=1,"Vaticano Prati, Rome",450 m de : Vatican,"8,7",Superbe ,1 très grand lit double,Plus que 1 hébergement à ce prix sur notre site,338 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,"€ 173€ 158
-9 %"
Chambre Simple Confort,https://cf2.bstatic.com/xdata/images/hotel/square200/340142270.webp?k=5010b5433c3a7b56ded231b89c8fff3e92a80f0dc1cd0a8e51d7f428c661a3cf&o=,Hotel Paolo II,https://www.booking.com/hotel/it/paolo-ii.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=57962&dest_type=landmark&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=bb28592dc615009e&srepoch=1698928862&all_sr_blocks=196374010_93686039_1_2_0&highlighted_blocks=196374010_93686039_1_2_0&matching_block_id=196374010_93686039_1_2_0&sr_pri_blocks=196374010_93686039_1_2_0__11493&from_sustainable_property_sr=1&from=searchresults&map=1,"Vaticano Prati, Rome",450 m de : Vatican,"8,6",Superbe ,1 lit double,Plus que 1 hébergement à ce prix sur notre site,1 618 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,"€ 126€ 115
-9 %"
Chambre Double ou Lits Jumeaux,https://cf2.bstatic.com/xdata/images/hotel/square200/415881386.webp?k=813cb02bfd963d72c5d26ca1a74365e56978342232bc24afbd2864612c581014&o=,Fragrance Hotel St. Peter,https://www.booking.com/hotel/it/fragrance-st-peter.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=57962&dest_type=landmark&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=bb28592dc615009e&srepoch=1698928862&all_sr_blocks=101571801_375407506_0_2_0&highlighted_blocks=101571801_375407506_0_2_0&matching_block_id=101571801_375407506_0_2_0&sr_pri_blocks=101571801_375407506_0_2_0__14554&from=searchresults&map=1,"Vaticano Prati, Rome","0,8 km de : Vatican","8,4",Très bien ,Types de lits : 1 lit double ou 2 lits simples,Plus que 1 hébergement à ce prix sur notre site,1 014 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,"€ 186€ 146
-22 %"
Chambre Double Premium XL,https://cf2.bstatic.com/xdata/images/hotel/square200/279308302.webp?k=ac126c07d3a79bd86c8f6e5c524c7ebc6e310f4a299db6cd559b5800479fc192&o=,NH Collection Roma Giustiniano,https://www.booking.com/hotel/it/nh-collection-roma-giustiniano.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=57962&dest_type=landmark&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=bb28592dc615009e&srepoch=1698928862&all_sr_blocks=1731820_95142077_0_34_0&highlighted_blocks=1731820_95142077_0_34_0&matching_block_id=1731820_95142077_0_34_0&sr_pri_blocks=1731820_95142077_0_34_0__31650&from_sustainable_property_sr=1&from=searchresults&map=1,"Vaticano Prati, Rome","0,9 km de : Vatican","8,4",Très bien ,1 grand lit double,,1 709 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 317
Chambre Double Supérieure,https://cf2.bstatic.com/xdata/images/hotel/square200/344571903.webp?k=13835cb5950fd37f9b90ba629f9197c38e3121b6b6d20367452fc83c68b07943&o=,Tmark Hotel Vaticano,https://www.booking.com/hotel/it/alimandivaticanoroma.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=57962&dest_type=landmark&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=bb28592dc615009e&srepoch=1698928862&all_sr_blocks=8122106_366548108_0_1_0&highlighted_blocks=8122106_366548108_0_1_0&matching_block_id=8122106_366548108_0_1_0&sr_pri_blocks=8122106_366548108_0_1_0__24410&from=searchresults&map=1,"Vaticano Prati, Rome","0,6 km de : Vatican","8,0",Très bien ,2 grands lits doubles,Plus que 1 hébergement à ce prix sur notre site,835 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 grands lits doubles,"€ 268€ 244
-9 %"
Chambre Standard Lit Queen-Size,https://cf2.bstatic.com/xdata/images/hotel/square200/477272001.webp?k=12c400a3e17af142e20ee35ad637324347fe03cfd61a601b20c1264456d4574a&o=,Best Western Plus Hotel Spring House,https://www.booking.com/hotel/it/springhouseroma.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=57962&dest_type=landmark&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=bb28592dc615009e&srepoch=1698928862&all_sr_blocks=8135214_94109329_1_2_0&highlighted_blocks=8135214_94109329_1_2_0&matching_block_id=8135214_94109329_1_2_0&sr_pri_blocks=8135214_94109329_1_2_0__19750&from_sustainable_property_sr=1&from=searchresults&map=1,"Trionfale, Rome","0,7 km de : Vatican","8,7",Superbe ,1 grand lit double,Plus que 4 hébergements à ce prix sur notre site,2 401 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 198
