VILLE_DEPART,VILLE_ARRIVEE,Horaires,Trajet,Type de trajet,Temps de trajet,Prix,Compagnie de vol
BER,PAR,20:15 – 22:05,,direct,1h 50min,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,09:00 – 10:50,,direct,1h 50min,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,09:00 – 10:50,,direct,1h 50min,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,18:20 – 20:10,,direct,1h 50min,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,20:15 – 22:05,,direct,1h 50min,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,09:00 – 10:50,,direct,1h 50min,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,15:45 – 17:35,,direct,1h 50min,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,20:15 – 22:05,,direct,1h 50min,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
BER,PAR,,,,,,
